Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,IndustrialCleaningRevenue,SweepingServicesRevenue,WasteCollectionRevenue
FY2022,18.777,,,,0.829,4.4,,-0.004,-0.0,0.0,3.744,9.276,-5.532,2.283,34.445,32.162,22.712,0.698,,,,,,,,millions,NZD,,,
FY2023,34.392,,,,1.448,4.2,5.586,-1.991,-5.8,-0.0035,3.587,8.529,-4.942,9.889,43.117,33.228,27.851,0.873,504.0,0.405,,,,,,millions,NZD,6.183,8.214,19.995
H1 FY2024,20.778,,,,-0.899,-4.3,1.724,-1.097,-5.3,-0.0015,-0.249,2.211,-2.46,17.859,68.638,50.779,35.979,2.506,756.387,0.36,,,,,,millions,NZD,5.26,5.461,10.057
FY2024,48.233,,,,-2.788,-5.8,3.369,-4.135,-8.6,-0.0052,1.197,3.56,-2.363,16.387,67.659,51.272,45.413,1.751,800.946,0.564,,,,,,millions,NZD,11.775,11.027,25.431
H1 FY2025,25.029,,,,-1.829,-7.3,1.801,-5.499,-22.0,-0.0065,3.116,0.014,3.102,10.855,61.415,50.56,44.741,0.368,848.373,0.531,,,,,,millions,NZD,4.93,5.17,14.929
FY2025,56.409,,,,-3.515,-6.2,4.64,-9.854,-17.5,-0.011,4.469,1.038,3.431,15.298,80.136,64.838,56.93,5.854,913.172,0.411,,,,,,millions,NZD,11.071,13.299,32.039
H1 FY2026,35.707,,,,-0.915,-2.6,3.776,-4.967,-13.9,-0.0045,2.879,0.794,2.085,10.474,72.901,62.427,54.824,2.737,1098.373,0.452,,,,,,millions,NZD,6.115,11.768,17.824
FY2026,70.217,,,,-3.889,-5.5,5.851,-12.354,-17.6,-0.011,5.557,1.809,3.748,3.201,70.682,67.481,58.084,1.159,1098.373,0.323,,,,,,millions,NZD,11.759,23.146,35.312
