Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NormalisedNPAT,SharesDiluted,UnderlyingEBITDA,RevenueAustralia,RevenueNewZealand,SegmentEBITDA_BCF,SegmentEBITDA_Macpac,SegmentEBITDA_Rebel,SegmentEBITDA_SCA,SegmentRevenue_BCF,SegmentRevenue_Macpac,SegmentRevenue_Rebel,SegmentRevenue_SCA
FY2015,2238.7,1273.3,965.4,43.1232,153.5,6.8567,220.6,81.1,3.6226,0.412,182.0,72.8,109.2,765.3,1583.1,817.8,392.0,13.1,198.7745,-0.2,,,,,,millions,AUD,,198.7745,,,,,,,,,,,
H1 FY2016,1215.5,686.9,528.6,43.4883,69.7,5.7343,,44.9,3.694,0.228,177.0,45.0,132.0,761.4,1725.8,964.4,365.3,68.1,198.6726,,,,,,,millions,AUD,,198.6726,,,,,,,,,,,
FY2016,2422.2,1372.4,1049.8,43.3408,107.2,4.4257,193.4,62.8,2.5927,0.318,159.2,79.9,79.3,734.0,1569.5,835.5,415.8,15.6,198.7342,0.7,,,,,,millions,AUD,,198.7342,,,,,,,,,,,
H1 FY2017,1295.5,720.5,575.0,44.3844,114.6,8.846,,74.4,5.743,0.377,252.0,42.9,209.1,772.5,1624.4,851.9,271.8,28.9,198.9305,,,,,,,millions,AUD,,198.9305,,,,,,,,,,,
FY2017,2465.8,1364.8,1101.0,44.6508,157.6,6.3914,228.4,101.8,4.1285,0.516,234.5,102.1,132.4,754.6,1558.6,804.0,400.6,19.9,198.4405,2.0,,,,,,millions,AUD,,198.4405,,,,,,,,,,,
H1 FY2018,1323.7,732.5,591.2,44.6627,109.1,8.242,,72.2,5.4544,0.366,293.7,56.3,237.4,776.5,1630.6,854.1,229.5,30.3,198.8981,,,,,,,millions,AUD,,198.8981,,,,,,,,,,,
FY2018,2570.4,1415.5,1154.9,44.9308,193.8,7.5397,271.1,128.3,4.9914,0.65,308.4,107.1,201.3,799.2,1762.6,963.4,438.1,15.2,198.9147,1.1,,,,,,millions,AUD,,198.9147,,,,,,,,,,,
H1 FY2019,1403.2,773.2,630.0,44.8974,111.1,7.9176,,71.7,5.1097,0.363,235.4,40.4,195.0,795.7,1894.5,1098.8,357.4,63.4,199.1667,,,,,,,millions,AUD,,199.1667,,,,,,,,,,,
FY2019,2710.4,1488.2,1222.2,45.093,210.8,7.7774,297.4,139.3,5.1395,0.706,240.9,89.8,151.1,816.0,1779.0,963.0,394.2,7.5,199.2847,1.3,,,,,,millions,AUD,,199.2847,,,,,,,,,,,
H1 FY2020,1443.5,794.0,649.5,44.9948,110.1,7.6273,241.3,57.4,3.9764,0.291,340.6,37.8,302.8,796.1,2724.5,1928.4,303.4,57.1,199.3056,,,,,,,millions,AUD,,199.3056,,,,,,,,,,,
FY2020,2825.2,1555.1,1270.1,44.9561,210.9,7.465,493.1,110.2,3.9006,0.558,610.7,68.4,542.3,991.3,2775.1,1783.8,247.8,285.1,199.2767,0.2,,,,,,millions,AUD,,199.2767,,,,,,,,,,,
H1 FY2021,1776.3,929.6,846.7,47.6665,267.9,15.0819,,172.8,9.7281,0.767,527.2,29.4,497.8,1159.7,2997.4,1837.7,0.0,416.8,226.4744,,,,,,,millions,AUD,,226.4744,,,,,,,,,,,
FY2021,3453.1,1797.2,1655.9,47.954,468.6,13.5704,768.0,301.0,8.7168,1.334,600.0,85.0,515.0,1226.5,2982.8,1756.3,0.0,242.3,227.8577,7.7,,,,,,millions,AUD,306.8,227.8577,776.2,3234.6,218.9,167.1,35.7,285.9,315.7,797.7,149.6,1197.0,1308.8
H1 FY2022,1705.1,910.6,794.5,46.5955,180.1,10.5624,,110.8,6.4982,0.491,157.0,63.3,93.7,1213.8,3090.1,1876.3,0.0,94.1,227.9835,,,,,,,millions,AUD,,227.9835,,,,,,,,,,,
FY2022,3550.9,1890.3,1660.6,46.7656,392.7,11.0592,697.9,241.2,6.7926,1.068,340.4,125.0,215.4,1289.0,2919.3,1630.3,0.0,13.4,227.9773,6.9,,,,,,millions,AUD,,227.9773,701.8,3316.7,234.3,133.4,40.5,264.6,301.5,829.7,169.4,1212.0,1339.8
H1 FY2023,1958.2,1054.1,904.1,46.17,231.4,11.817,,144.2,7.3639,0.639,439.3,37.9,401.4,1323.6,3187.8,1864.2,0.0,212.0,227.8041,,,,,,,millions,AUD,,227.8041,,,,,,,,,,,
