Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,FinancialServicesRevenue,PropertyAdvertisingRevenue
H1 FY2016,314.835,,,,164.242,52.2,180.009,114.978,36.5,0.873,117.315,17.926,99.389,633.001,725.624,92.623,0.0,108.449,131.7,1.145,,,,,,millions,AUD,,
FY2016,629.803,,,,350.23,55.6,385.164,252.958,40.2,1.92,221.339,40.03,181.309,715.775,1483.284,767.509,496.253,126.834,131.75,2.378,,,,,,millions,AUD,,
H1 FY2017,337.326,,,,182.195,54.0,200.053,292.139,86.6,2.218,135.222,24.121,111.101,960.86,1689.595,728.735,493.271,166.273,131.71,1.927,,,,,,millions,AUD,,
FY2017,671.206,,,,156.379,23.3,194.195,206.066,30.7,1.564,296.816,54.155,242.661,804.73,1578.813,774.083,492.946,358.5,131.76,2.963,,,,,,millions,AUD,,
H1 FY2018,406.779,,,,207.497,51.0,230.643,132.359,32.5,1.005,147.785,28.023,119.762,865.307,1636.304,770.997,359.279,198.267,131.7,2.805,,,,,,millions,AUD,38.434,393.625
FY2018,807.678,,,,390.474,48.3,439.176,252.779,31.3,1.919,326.345,59.264,267.081,940.769,1722.472,781.703,432.384,115.841,131.72,6.096,,,,,,millions,AUD,89.019,778.357
H1 FY2019,469.234,,,,86.765,18.5,115.758,2.318,0.5,0.018,176.603,31.866,144.737,,,,,59.803,,1.54,,,,,,millions,AUD,46.071,454.521
FY2019,874.949,,,,252.571,28.9,312.144,104.997,12.0,0.797,364.054,67.961,296.093,905.435,1581.731,676.296,310.106,137.897,131.74,2.213,,,,,,millions,AUD,93.465,847.926
H1 FY2020,440.337,,,,225.075,51.1,261.801,147.597,33.5,1.121,162.545,34.477,128.068,979.074,1622.574,643.5,332.174,90.955,131.67,0.053,,,,,,millions,AUD,42.996,427.69
FY2020,820.269,,,,239.256,29.2,317.876,112.373,13.7,0.853,419.146,73.353,345.793,864.493,1590.523,726.03,327.152,222.845,131.74,4.931,,,,,,millions,AUD,87.295,794.562
H1 FY2021,430.35,,,,250.936,58.3,290.196,173.374,40.3,1.316,124.877,31.194,93.683,1072.211,1732.49,660.279,324.063,179.85,131.74,2.051,,,,,,millions,AUD,47.549,418.681
FY2021,927.811,,,,473.029,51.0,555.641,322.677,34.8,2.446,321.451,66.935,254.516,1139.221,2372.286,1233.065,495.603,168.869,131.92,9.097,,,,,,millions,AUD,101.529,903.837
H1 FY2022,586.9,,,,317.2,54.0,363.0,221.3,37.7,1.675,213.1,44.5,168.6,1283.2,2433.8,1150.6,489.4,194.8,132.12,5.9,,,,,,millions,AUD,182.5,549.1
FY2022,1160.2,,,,554.8,47.8,647.9,384.8,33.2,2.913,487.6,95.0,392.6,1363.3,2568.8,1205.5,487.0,248.2,132.1,10.4,,,,,,millions,AUD,325.1,1102.3
H1 FY2023,617.3,,,,296.7,48.1,342.7,201.6,32.7,1.526,205.4,58.7,146.7,1450.7,2496.1,1045.4,400.6,142.3,132.11,6.4,,,,,,millions,AUD,150.3,582.6
FY2023,1183.2,,,,523.2,44.2,615.0,356.1,30.1,2.697,472.7,117.6,355.1,1517.0,2626.6,1109.6,403.2,259.8,132.04,9.7,,,,,,millions,AUD,270.1,1122.3
H1 FY2024,725.5,,,,248.9,34.3,302.9,127.4,17.6,0.965,271.5,60.0,211.5,1519.5,2678.4,1158.9,479.5,314.0,132.02,6.1,,,,,,millions,AUD,158.1,689.4
FY2024,1452.8,,,,525.9,36.2,639.4,302.8,20.8,2.293,589.4,125.0,464.4,1578.8,2655.0,1076.2,281.2,204.2,132.05,12.6,,,,,,millions,AUD,320.6,1356.4
H1 FY2025,872.9,37.4,835.5,95.7,576.0,66.0,641.1,441.3,50.6,3.342,325.2,69.1,256.1,1888.2,2699.0,810.8,75.1,338.2,132.05,8.1,,,,,,millions,AUD,167.4,815.7
FY2025,1672.8,66.7,1606.1,96.0,908.4,54.3,1047.8,677.9,40.5,5.134,675.4,138.0,537.4,1951.2,2832.5,881.3,70.7,428.8,132.04,16.9,,,,,,millions,AUD,336.3,1560.2
H1 FY2026,915.8,30.2,885.6,96.7,482.7,52.7,552.1,336.3,36.7,2.547,373.0,68.7,304.3,2094.7,2968.5,873.8,90.1,478.4,132.04,8.3,,,,,,millions,AUD,202.8,840.6
FY2026,1730.4,48.2,1682.2,97.2,957.5,55.3,1090.5,551.6,31.9,4.184,771.4,140.7,630.7,1908.6,2917.3,1008.7,75.6,365.6,131.84,16.1,,,1730.4,,,millions,AUD,395.6,1581.3
