Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2018,83.561,,35.796,42.8,5.127,6.1,,3.729,4.5,8.31,-17.409,2.788,-20.197,186.85,296.625,109.775,87.3,4.931,44.848,0.365,,millions,NZD
FY2018,178.493,-105.298,73.195,41.0,13.095,7.3,,8.211,4.6,18.25,-22.118,4.744,-26.862,189.692,318.567,128.875,96.7,4.947,44.981,0.73,6.0,millions,NZD
H1-2019,77.7,,,,,,,-2.7,-3.5,-5.91,6.337,,,187.006,326.971,,111.79,8.026,,,,millions,NZD
FY2019,171.104,,,,,,,-27.7,-16.2,-61.05,21.086,,,173.355,310.638,137.283,,,46.302,,0.0,millions,NZD
H1-2020,93.854,,35.813,38.2,-11.089,,-8.829,-12.97,-13.8,,0.887,,,160.624,303.97,,,10.199,49.552,,,millions,NZD
FY2020,195.912,-104.601,91.311,46.6,1.754,0.9,4.179,-9.701,-5.0,-19.1,39.297,5.206,34.091,211.748,286.423,74.675,32.2,16.68,,0.329,,millions,NZD
H1-2021,98.885,,48.5,49.0,5.157,5.2,10.595,3.455,3.5,,9.429,,,214.991,282.748,67.757,28.3,14.397,69.791,,,millions,NZD
FY2021,191.734,-88.31,103.424,53.9,12.183,6.4,25.523,9.479,4.9,13.61,24.825,10.601,14.224,221.88,286.609,64.729,20.85,16.267,69.64,0.471,,millions,NZD
H1-2022,104.942,,59.4,56.6,7.189,6.9,12.084,3.489,3.3,4.97,-4.856,,,,,,26.296,19.353,70.149,,,millions,NZD
FY2022,208.909,,126.0,60.3,20.149,9.6,30.083,12.784,6.1,18.24,2.83,,,,,,,,,,,millions,NZD
H1-2023,112.13,,69.38,61.9,11.565,10.3,13.43,4.165,3.7,5.97,-20.734,,,,,,63.279,,69.802,,,millions,NZD
FY2023,234.195,,135.76,58.0,23.92,10.2,33.507,13.139,5.6,15.84,8.083,,,238.455,357.471,119.016,64.94,11.554,69.847,,,millions,NZD
H1-2024,105.289,,63.215,60.0,,,,-2.455,-2.3,-3.5,-6.11,2.01,-8.12,235.652,391.176,155.524,136.05,12.91,70.057,0.515,,millions,NZD
FY2024,200.683,-91.803,108.88,54.3,-11.626,-5.8,,-80.417,-40.1,-114.65,5.334,9.673,-4.339,156.745,303.683,146.938,87.863,8.156,70.141,1.039,,millions,NZD
H1-2025,99.713,,50.536,50.7,-5.194,-5.2,,-6.482,-6.5,-9.21,9.844,2.01,7.834,151.388,295.291,143.903,95.163,13.591,70.27,-0.022,,millions,NZD
FY2025,192.428,-109.728,82.7,43.0,-28.986,-15.1,,-104.759,-54.4,-148.76,34.136,3.254,30.882,54.898,173.347,118.449,71.355,9.001,70.421,0.066,0.0,millions,NZD
H1-2026,117.971,,56.943,48.3,7.69,6.5,,4.59,3.9,6.51,20.75,0.585,20.165,58.338,164.366,106.028,58.939,10.262,70.526,0.058,,millions,NZD
