Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,ImpairmentExpense,TTV
FY2019,446.739,,,,109.776,24.6,130.124,89.473,20.0,79.6,133.477,,,592.482,1003.849,411.367,39.29,138.791,108.278527,,,,,,,millions,AUD,,6457.48
FY2020,316.364,,,,-2.133,-0.7,40.379,-10.624,-3.4,-7.5,79.249,22.225,57.024,558.087,763.517,205.43,0.0,92.843,108.86857,-4.16,,,,,,millions,AUD,23.643,4561.755
FY2021,174.046,-8.176,165.87,95.3,-72.336,-41.6,-31.479,-57.761,-33.2,-43.0,-60.356,15.347,-75.703,851.457,1135.748,284.291,0.0,99.018,128.645231,5.548,,,,,,millions,AUD,1.261,1609.4
FY2022,377.36,-9.539,367.821,97.5,3.836,1.0,48.261,0.762,0.2,2.2,73.915,25.964,47.951,1081.385,1507.166,425.781,0.0,142.054,140.059733,8.386,,,,,,millions,AUD,,5070.8
FY2023,653.402,-9.524,643.878,98.5,106.975,16.4,162.204,78.77,12.1,53.1,80.302,36.816,43.486,1187.617,1722.851,535.234,0.0,150.985,146.173544,4.575,,,,,,millions,AUD,1.703,8959.5
H1 FY2024,361.489,,,,68.662,19.0,97.821,50.399,13.9,33.8,44.028,20.049,23.979,,,,,,,,,,,,,millions,AUD,,
FY2024,710.42,-9.576,700.8439999999999,98.7,119.912,16.9,179.991,86.385,12.2,57.9,126.769,47.563,79.206,1190.692,1643.103,452.411,0.0,134.771,145.943043,2.997,,,,,,millions,AUD,1.506,9136.756
H1 FY2025,339.56,,,,39.703,11.7,71.431,29.207,8.6,19.9,12.734,20.049,-7.315,1231.138,1585.926,354.788,0.0,75.505,,,,,,,,millions,AUD,,
FY2025,635.768,-9.009,626.759,98.6,-361.764,-56.9,-297.106,-346.703,-54.5,-245.3,141.567,38.895,102.672,578.785,1309.738,730.953,0.0,124.004,142.10776,-2.615,,,,,,millions,AUD,370.023,9591.032
H1 FY2026,342.924,,,,24.597,7.2,56.997,14.174,4.1,9.6,22.58,18.858,3.722,591.153,1289.44,698.287,0.0,121.191,,,,,,,,millions,AUD,,
