Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,NetIncome,EPS,FreeCashFlow,OperatingCashFlow,CapEx,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,ActiveCustomers,RevenuePerActiveCustomer,ProductCommerceRevenue,DevelopingOfferingsRevenue,ProductCommerceAdjEBITDA,AdjEBITDA
FY2019,6273.3,1033.2,16.5,-641.9,-696.9,-39.48,-526.1,-311.8,217.8,,,,,11.8,161,,,,-550.2
FY2020,11967.3,1986.2,16.6,-516.0,-463.2,-19.16,-182.6,301.6,484.6,-4068.9,577.6,1251.5,,14.9,256,,,,-357.1
Q1 2021,4206.9,732.5,17.4,-267.3,-295.0,-0.68,-330.2,-183.3,146.8,3275.1,599.3,4332.8,1732.5,16.0,262,,,,-133.0
Q2 2021,4478.1,658.5,14.7,-514.9,-518.6,-0.30,-137.7,30.9,168.7,2802.6,646.9,4284.9,1735.6,17.0,263,,,,-122.1
Q3 2021,4644.7,754.5,16.2,-315.1,-324.0,-0.19,-244.6,-55.4,190.1,2568.1,723.3,3928.6,1750.4,16.8,276,,,,-207.4
Q4 2021,5076.7,805.6,15.9,-396.6,-405.0,,-370.0,-202.7,168.1,2176.0,632.7,3487.7,1754.2,17.9,283,,,,-285.1
FY2021,18406.4,2951.1,16.0,-1494.0,-1542.6,-1.08,-1082.4,-410.6,673.7,2176.0,632.7,3487.7,1754.2,17.9,283,,,,-747.6
Q1 2022,5116.7,1043.4,20.4,-205.7,-209.3,-0.12,-289.6,-54.9,,2037.3,812.0,3369.4,1761.1,18.1,283,4936.1,180.6,2.9,-90.9
Q2 2022,5037.8,1153.8,22.9,-67.1,-75.5,-0.04,-195.5,-18.3,,2068.1,649.2,3107.5,1765.1,17.9,283,4877.5,160.3,97.8,66.2
Q3 2022,5101.3,1233.9,24.2,77.4,90.7,0.05,-222.4,58.2,,2172.0,723.4,2903.1,1768.9,18.0,282,4947.2,154.2,239.2,194.9
Q4 2022,5326.8,1278.8,24.0,83.4,102.1,,461.9,580.5,121.2,2413.9,842.2,3509.3,1772.6,18.1,294,,,265.9,211.0
FY2022,20582.6,4709.9,22.9,-112.0,-92.0,-0.05,-245.6,565.4,824.3,2413.9,842.2,3509.3,1772.6,18.1,294,19954.6,628.0,605.8,381.2
Q1 2023,5800.5,1419.9,24.5,106.8,90.9,0.05,406.7,501.3,,2560.0,895.3,3792.2,1777.3,19.0,305,5658.3,142.2,288.4,240.9
Q2 2023,5837.9,1523.8,26.1,147.6,145.2,0.08,449.9,819.8,,2775.5,1136.7,4473.2,1781.3,19.7,296,5681.6,156.3,407.6,300.2
Q3 2023,6183.6,1565.8,25.3,87.5,91.3,0.05,536.2,721.6,,2928.4,1142.2,4857.9,1785.9,20.4,303,5966.0,217.6,399.5,238.7
Q4 2023,6561.0,1680.0,25.6,131.1,1033.0,,382.0,609.0,234.0,4089.0,1014.0,5243.0,1791.0,21.0,312,6288.0,273.0,445.0,294.0
FY2023,24383.0,6190.0,25.4,473.0,1360.0,0.75,1775.0,2652.0,896.0,4089.0,1014.0,5243.0,1791.0,21.0,312,23594.0,789.0,1540.0,1074.0
Q1 2024,7114.0,1929.0,27.1,40.0,-24.0,0.00,107.0,212.0,107.0,4085.0,1530.0,5226.0,1795.0,21.5,302,6494.0,620.0,467.0,281.0
Q2 2024,7323.0,2142.0,29.3,-25.0,-105.0,-0.04,488.0,664.0,178.0,3855.0,1548.0,5536.0,1790.0,21.7,296,6431.0,892.0,530.0,330.0
Q3 2024,7866.0,2269.0,28.8,109.0,64.0,0.04,-42.0,334.0,380.0,4193.0,1595.0,5822.0,1796.0,22.5,307,6891.0,975.0,470.0,343.0
Q4 2024,7965.0,2491.0,31.3,312.0,131.0,,463.0,676.0,214.0,4102.0,1533.0,5879.0,1801.0,22.8,302,,,539.0,421.0
FY2024,30268.0,8831.0,29.2,436.0,66.0,0.08,1016.0,1886.0,879.0,4102.0,1533.0,5879.0,1801.0,22.8,302,26699.0,3569.0,2006.0,1375.0
Q1 2025,7908.0,2316.0,29.3,154.0,114.0,0.06,116.0,354.0,239.0,4374.0,1558.0,6113.0,1807.0,23.4,294,6870.0,1038.0,550.0,382.0
Q2 2025,8524.0,2561.0,30.0,149.0,31.0,0.02,247.0,545.0,299.0,4685.0,1804.0,6796.0,1819.0,23.9,307,7334.0,1190.0,663.0,428.0
Q3 2025,9267.0,2720.0,29.4,162.0,95.0,0.05,442.0,792.0,353.0,4741.0,1989.0,7229.0,1823.0,24.7,323,7980.0,1287.0,705.0,413.0
Q4 2025,8835.0,2544.0,28.8,8.0,-26.0,,-278.0,82.0,360.0,4623.0,1608.0,6318.0,1823.0,24.6,301,,,567.0,267.0
FY2025,34534.0,10141.0,29.4,473.0,214.0,0.11,527.0,1773.0,1251.0,4623.0,1608.0,6318.0,1823.0,24.6,301,29592.0,4942.0,2485.0,1490.0
Q1 2026,8504.0,2297.0,27.0,-242.0,-266.0,-0.15,-110.0,184.0,296.0,3930.0,2289.0,6301.0,1809.0,23.9,300,7176.0,1328.0,358.0,29.0
