Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2018,30.547,,,,,,,7.585,24.8306,0.00619,19.67,,,1061.583,1129.78,68.197,64.827,20.075,1226067830.0,,0.01972,millions,GBP
FY2019,31.752,,,,,,,126.392,398.06,0.10309,60.135,,,1163.209,1232.59,69.381,64.823,54.944,1226067830.0,,0.0209,millions,GBP
FY2020,26.761,,,,,,,59.636,222.8467,0.04696,-39.096,,,1260.971,1328.804,67.833,64.832,54.221,1291577830.0,,0.02154,millions,GBP
FY2021,35.027,,,,,,,330.636,943.9461,0.253,-97.965,,,1587.384,1729.817,142.433,138.683,25.429,1313071076.0,,0.02176,millions,GBP
FY2022,38.208,,,,,,,-179.171,-468.9358,-0.137,87.981,,,1360.666,1504.097,143.431,139.28,65.871,1294851206.0,,0.02328,millions,GBP
FY2023,41.765,,,,,,,64.557,154.572,0.0507,54.368,,,1333.523,1475.429,141.906,124.9,14.525,1234232277.0,,0.0256,millions,GBP
FY2024,38.655,,,,,,,229.95,594.8778,0.1933,182.381,,,1434.146,1560.217,126.071,123.756,66.689,1145890870.0,,0.02688,millions,GBP
H1-2025,16.616,,,,,,,-61.528,-370.2937,-0.0567,85.768,,,1260.298,1388.222,127.924,124.057,39.175,1063190822.0,,0.01372,millions,GBP
FY2025,31.475,,,,,,,216.691,688.4543,0.2025,184.089,,,1435.686,1565.48,129.794,125.272,37.093,992334481.0,,0.02744,millions,GBP
H1-2026,13.241,,,,,,,40.082,302.7113,0.0421,103.694,,,1386.939,1649.267,262.328,124.614,50.501,936350434.0,,0.01414,millions,GBP
