Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,BookValuePerShare,CET1Ratio,CashProfit,CostToIncomeRatio,CreditImpairmentCharge,CustomerDeposits,NetInterestIncome,NetLoansAndAdvances,OperatingExpenses,ROE
FY2015,21642.0,,,,,,,8012.0,37.0,2.55,-541.0,1307.0,,,,,,,,174.0,,,,,,millions,AUD,,,,,,,14267.0,,,
FY2016,20985.0,,,,10644.0,50.7,,7445.0,35.5,2.246,5497.0,1228.0,,58120.0,839202.0,781021.0,,17015.0,3322.0,135.0,,,,,,millions,AUD,17.5,,,,,,15148.0,,,
FY2017,21650.0,,,,11515.0,53.2,,7990.0,36.9,2.38,2837.0,1030.0,,61288.0,851875.0,790533.0,,18397.0,3364.0,113.0,,,,,,millions,AUD,18.22,,,,,,15516.0,,,13.4
FY2018,22007.0,,,,11731.0,53.3,,8095.0,36.8,2.375,19770.0,1192.0,,64521.0,879592.0,815019.0,,26788.0,3414.0,113.0,,,,,,millions,AUD,18.9,,,,,,16505.0,,,12.9
FY2019,20649.0,,,,9749.0,47.2,,6784.0,32.9,1.965,7104.0,1186.0,,65454.0,906626.0,841119.0,,20059.0,3456.0,108.0,,,,,,millions,AUD,18.94,,,48.9,794.0,,16907.0,,10106.0,10.4
FY2020,20183.0,,,,4266.0,21.1,,2290.0,11.3,0.637,58651.0,1275.0,,68023.0,911946.0,843872.0,,30129.0,3595.0,80.0,,,,,,millions,AUD,18.92,,,63.1,3178.0,,16696.0,,12739.0,3.4
FY2021,21222.0,,,,8501.0,40.1,,5458.0,25.7,1.494,50410.0,974.0,,72035.0,935877.0,863785.0,,71353.0,3657.0,97.0,,,,,,millions,AUD,19.7,,,62.7,-590.0,,16858.0,,13311.0,7.8
FY2022,19606.0,,,,8469.0,43.2,,5694.0,29.0,1.599,16954.0,1265.0,,70452.0,1014198.0,943689.0,,105257.0,3564.0,88.0,,,,,,millions,AUD,19.77,,,55.1,335.0,659129.0,17161.0,739647.0,10802.0,8.0
FY2023,21645.0,,,,10305.0,47.6,,7195.0,33.2,2.053,-10796.0,1379.0,,72495.0,1029774.0,957235.0,,102522.0,3507.0,90.0,,,,,,millions,AUD,20.67,,,49.4,648.0,688168.0,18317.0,773254.0,10692.0,10.1
H1 FY2024,10590.0,,,,,,,3342.0,31.6,0.956,6125.0,419.0,,72522.0,1052661.0,980101.0,,95907.0,,,,,,,,millions,AUD,,,,,362.0,,9127.0,,,
FY2024,21588.0,,,,10107.0,46.8,,6990.0,32.4,2.009,-19767.0,1017.0,,71705.0,1077544.0,1005492.0,,65667.0,3481.0,97.0,,,,,,millions,AUD,20.6,,,50.7,537.0,720489.0,18753.0,806767.0,10944.0,9.7
H1 FY2025,10793.0,,,,,,,3317.0,30.7,0.967,11969.0,489.0,,72015.0,1098893.0,1026540.0,,58352.0,3433.0,,,,,,,millions,AUD,20.98,,,,250.0,,9351.0,,,
FY2025,22384.0,,,,10044.0,44.9,,6916.0,30.9,2.019,9489.0,1147.0,,72766.0,1125356.0,1052263.0,,50430.0,3427.0,95.0,,,,,,millions,AUD,21.23,,,53.2,424.0,770457.0,19380.0,851853.0,11916.0,9.6
H1 FY2026,,,,,,,,3400.0,,,,,,,,,,,,,0.77,,,,,millions,AUD,,13.4,3500.0,,,,,,,
