Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2015,142.112,,23.725,16.7,7.208,5.1,13.925,4.272,3.0,0.29,1.804,16.467,-14.663,70.819,164.318,93.499,54.152,1.192,14.971,0.0,0.17,millions,NZD
H1 2016,134.243,,21.478,16.0,12.059,9.0,15.844,7.121,5.3,0.45,3.31,25.234,-21.924,78.105,214.047,135.942,79.72,2.855,15.82,0.0,,millions,NZD
FY2016,191.317,,33.434,17.5,16.958,8.9,24.764,10.385,5.4,0.65,21.252,41.802,-20.55,85.311,197.309,111.998,74.445,1.688,16.067,0.0,0.2,millions,NZD
H1 2017,134.012,,28.036,20.9,17.736,13.2,21.927,11.093,8.3,0.69,1.132,14.032,-12.9,96.084,238.129,142.045,95.432,0.887,16.07,0.0,,millions,NZD
FY2017,186.814,,35.277,18.9,13.689,7.3,23.128,5.833,3.1,0.35,14.058,24.358,-10.3,98.625,222.023,123.398,85.51,2.389,16.575,0.133,0.22,millions,NZD
H1 2018,145.436,,29.748,20.4,17.35,11.9,23.47,10.373,7.1,0.61,1.549,4.541,-2.992,107.931,283.68,175.749,117.876,1.897,17.0,0.031,,millions,NZD
FY2018,203.713,,38.673,19.0,15.187,7.5,26.217,7.418,3.6,0.37,12.174,37.288,-25.114,153.376,269.806,116.43,80.4,1.34,19.901,0.062,0.24,millions,NZD
H1 2019,169.872,,34.533,20.3,20.314,12.0,27.906,11.864,7.0,0.52,5.145,29.557,-24.412,159.922,407.427,247.505,150.436,2.353,33.9,0.015,,millions,NZD
FY2019,236.868,,47.464,20.0,17.557,7.4,34.519,6.884,2.9,0.22,18.588,38.574,-19.986,154.944,368.246,213.302,119.632,2.849,31.326,-0.044,0.24,millions,NZD
H1 2020,178.681,,37.717,21.1,21.419,12.0,30.435,18.378,10.3,0.57,9.411,12.559,-3.148,173.628,416.317,242.689,131.244,1.945,32.24,0.078,,millions,NZD
FY2020,251.457,,52.676,20.9,24.318,9.7,42.946,15.151,6.0,0.52,26.353,20.272,6.081,176.293,375.426,199.133,83.019,5.164,29.416,0.153,0.22,millions,NZD
H1 2021,224.479,,60.139,26.8,34.7,15.5,46.894,20.568,9.2,0.65,20.19,15.76,4.43,233.33,518.885,285.555,129.549,1.704,31.64,0.076,,millions,NZD
FY2021,309.569,,73.232,23.7,32.18,10.4,56.79,14.86,4.8,0.43,41.584,29.49,12.094,246.491,482.269,235.778,113.003,12.361,34.829,0.153,0.25,millions,NZD
H1 2022,247.345,,61.966,25.1,35.396,14.3,49.36,21.454,8.7,0.52,19.142,25.015,-5.873,275.611,594.364,318.753,169.04,7.783,41.25,0.038,,millions,NZD
FY2022,348.387,,68.309,19.6,19.086,5.5,46.079,6.504,1.9,0.16,12.128,33.864,-21.736,270.943,547.869,276.926,150.942,3.554,41.292,0.038,0.13,millions,NZD
H1 2023,212.67,,48.426,22.8,21.794,10.2,36.425,10.474,4.9,0.25,4.481,13.878,-9.397,272.576,582.674,310.098,182.192,5.182,41.99,0.0,,millions,NZD
FY2023,300.92,,48.726,16.2,-4.118,-1.4,25.988,-14.466,-4.8,-0.34,2.671,22.736,-20.065,259.949,548.811,288.862,177.583,5.207,41.988,0.0,0.0,millions,NZD
H1 2024,284.196,,79.04,27.8,54.544,19.2,68.384,17.052,6.0,0.41,50.452,12.529,37.923,277.624,625.579,347.955,174.987,4.117,41.57,0.012,,millions,NZD
FY2024,411.412,,104.927,25.5,46.816,11.4,76.121,8.751,2.1,0.21,66.037,18.296,47.741,266.403,549.862,283.459,140.29,2.983,41.603,0.049,0.15,millions,NZD
H1 2025,307.903,,96.813,31.4,67.302,21.9,83.48,37.769,12.3,0.9,62.926,11.788,51.138,302.101,654.709,352.608,136.432,5.785,42.08,0.037,,millions,NZD
FY2025,439.611,,125.883,28.6,62.585,14.2,95.859,31.961,7.3,0.76,79.01,25.709,53.301,298.108,605.36,307.252,119.62,19.361,44.03,0.073,0.3,millions,NZD
