Type,Fiscal_Year,Quarter,Filing_Date,Accession,Document_URL
10-Q,2020,Q3,2020-10-28,0001141391-20-000203,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000203/0001141391-20-000203.txt
10-Q,2021,Q1,2021-04-29,0001141391-21-000091,https://www.sec.gov/Archives/edgar/data/1141391/000114139121000091/0001141391-21-000091.txt
10-Q,2021,Q2,2021-07-29,0001141391-21-000156,https://www.sec.gov/Archives/edgar/data/1141391/000114139121000156/0001141391-21-000156.txt
10-Q,2021,Q3,2021-10-28,0001141391-21-000182,https://www.sec.gov/Archives/edgar/data/1141391/000114139121000182/0001141391-21-000182.txt
10-Q,2022,Q1,2022-04-28,0001141391-22-000088,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000088/0001141391-22-000088.txt
10-Q,2022,Q2,2022-07-28,0001141391-22-000150,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000150/0001141391-22-000150.txt
10-Q,2022,Q3,2022-10-27,0001141391-22-000163,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000163/0001141391-22-000163.txt
10-Q,2023,Q1,2023-04-27,0001141391-23-000059,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000059/0001141391-23-000059.txt
10-Q,2023,Q2,2023-07-27,0001141391-23-000131,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000131/0001141391-23-000131.txt
10-Q,2023,Q3,2023-10-26,0001141391-23-000157,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000157/0001141391-23-000157.txt
10-Q,2024,Q1,2024-05-01,0001141391-24-000087,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000087/0001141391-24-000087.txt
10-Q,2024,Q2,2024-07-31,0001141391-24-000161,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000161/0001141391-24-000161.txt
10-Q,2024,Q3,2024-10-31,0001141391-24-000202,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000202/0001141391-24-000202.txt
10-Q,2025,Q1,2025-05-01,0001141391-25-000090,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000090/0001141391-25-000090.txt
10-Q,2025,Q2,2025-07-31,0001141391-25-000172,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000172/0001141391-25-000172.txt
10-Q,2025,Q3,2025-10-30,0001141391-25-000193,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000193/0001141391-25-000193.txt
