Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,MerchantRevenue,FinancialRevenue,ProcessingRevenue,ProductRevenue
FY2014,5066.0,,,,1210.0,23.9,,754.0,14.9,1.84,1552.0,360.0,1192.0,,,,,,,,,,,,,millions,USD,,,4219,847
FY2015,5254.0,,,,1311.0,25.0,,712.0,13.5,1.73,1483.0,287.0,1196.0,,,,,,,,,,,,,millions,USD,,,4411,843
FY2016,5505.0,,,,1445.0,26.2,,930.0,16.9,2.26,1552.0,360.0,1192.0,,,,,,,,,,,,,millions,USD,,,4625,880
FY2017,5696.0,,,,1532.0,26.9,,1232.0,21.6,2.98,1483.0,287.0,1196.0,,,,,,,,,,,,,millions,USD,,,4833,863
FY2018,5823.0,,,,1753.0,30.1,,1187.0,20.4,2.87,1552.0,360.0,1192.0,,,,,,,,,,,,,millions,USD,,,4975,848
FY2019,10187.0,,,,1609.0,15.8,,893.0,8.8,1.71,2795.0,721.0,2074.0,32979.0,,,21899.0,893.0,522.6,,,,,,,millions,USD,,,8573,1614
FY2020,14852.0,,,,1852.0,12.5,,958.0,6.5,1.4,4147.0,900.0,3247.0,32330.0,,,20684.0,906.0,683.4,,,,,,,millions,USD,,,12215,2637
FY2021,16226.0,,,,2288.0,14.1,,1334.0,8.2,1.99,4034.0,1160.0,2874.0,30952.0,,,21237.0,835.0,671.6,,,,,,,millions,USD,,,13307,2919
Q1 2022,4138.0,,,,822.0,19.9,,594.0,14.4,0.93,,,,,,,,652.7,,,,,,,,millions,USD,,,,
Q2 2022,4425.0,,,,908.0,20.5,,622.0,14.1,0.97,,,,,,,,650.3,,,,,,,,millions,USD,,,,
Q3 2022,4480.0,,,,937.0,20.9,,626.0,14.0,0.98,,,,,,,,648.3,,,,,,,,millions,USD,,,,
FY2022,17737.0,,,,3740.0,21.1,,2530.0,14.3,3.91,4618.0,1479.0,3139.0,30828.0,,,21418.0,902.0,647.9,,,,,,,millions,USD,7883,8681,14460,3277
Q1 2023,4547.0,,,,934.0,20.5,,563.0,12.4,0.89,,,,,,,,631.3,,,,,,,,millions,USD,,3673,874,
Q2 2023,4756.0,,,,1131.0,23.8,,683.0,14.4,1.1,,,,,,,,619.2,,,,,,,,millions,USD,,3924,832,
Q3 2023,4873.0,,,,1503.0,30.8,,952.0,19.5,1.56,,,,,,,,610.3,,,,,,,,millions,USD,,4008,865,
FY2023,19093.0,,,,5014.0,26.3,,3068.0,16.1,4.98,5162.0,1388.0,3774.0,29857.0,,,23118.0,1204.0,615.9,,,,,,,millions,USD,8722,9101,15630,3463
Q1 2024,4883.0,,,,1181.0,24.2,,735.0,15.1,1.24,,,,,,,,594.8,,,,,,,,millions,USD,,4000,883,
Q2 2024,5107.0,,,,1428.0,28.0,,894.0,17.5,1.53,,,,,,,,585.4,,,,,,,,millions,USD,,4140,967,
Q3 2024,5215.0,,,,1602.0,30.7,,564.0,10.8,0.98,,,,,,,,576.9,,,,,,,,millions,USD,,4237,978,
FY2024,20456.0,,,,5879.0,28.7,,3131.0,15.3,5.38,6631.0,1569.0,5062.0,27068.0,,,24840.0,1236.0,582.1,,,,,,,millions,USD,9631,9477,16637,3819
Q1 2025,5130.0,,,,1395.0,27.2,,851.0,16.6,1.51,648.0,335.0,313.0,25884.0,,,28297.0,1177.0,564.7,,,,,,,millions,USD,2372,2417,4045,1085
Q2 2025,5516.0,,,,1696.0,30.7,,1026.0,18.6,1.86,1665.0,479.0,1499.0,25215.0,,,29587.0,999.0,552.7,,,,,,,millions,USD,2644,2552,4304,1212
Q3 2025,5263.0,,,,1436.0,27.3,,792.0,15.1,1.46,1805.0,507.0,1284.0,25121.0,,,30199.0,1068.0,541.8,,,,,,,millions,USD,2586,2333,4273,990
Q4 2025,5284.0,,,,1291.0,24.4,,811.0,15.3,1.51,1944.0,442.0,1502.0,,,,,,536.7,,,,,,,millions,USD,2538,2362,4257,1027
FY2025,21193.0,,,,5818.0,27.5,,3480.0,16.4,6.34,6062.0,1763.0,4299.0,25792.0,,,28997.0,798.0,549.0,,,,,,,millions,USD,10140,9664,16879,4314
Q1 2026,5027.0,,,,918.0,18.3,,571.0,11.4,1.07,599.0,458.0,141.0,26201.0,,,29182.0,829.0,535.4,,,,,,,millions,USD,2373,2302,4070,957
Q2 2026,5292.0,,,,1015.0,,,627.0,,1.17,2082.0,956.0,1126.0,,,,27886.0,627.0,531.767,,,,,,,millions,USD,,,,
