Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,ActiveCustomers,ImpairmentExpense,LeasePrincipalPaid,MarketingExpense,SubscriptionRevenue
FY2015,200.289,171.422,28.866,14.4,1.323,0.7,2.726,-0.07,-0.0,,-6.091,3.539,-9.63,8.722,31.777,23.055,8.1,0.398,,,,,,,,millions,AUD,,,,,
H1 FY2016,104.749,88.986,15.763,15.0,2.26,2.2,,1.674,1.6,,10.637,0.634,10.003,,,,,,,,,,,,,millions,AUD,,,,,
FY2016,211.159,178.462,32.696,15.5,1.637,0.8,4.048,0.809,0.4,,11.478,4.408,7.071,7.071,32.443,25.373,4.9,1.808,,,,,,,,millions,AUD,,,,,
H1 FY2017,143.859,117.955,25.904,18.0,2.226,1.5,,1.46,1.0,0.02,-0.021,1.73,-1.751,43.864,80.065,36.201,0.0,26.533,90.29,0.049,,,,,,millions,AUD,,,,,
FY2017,289.518,237.824,51.693,17.9,6.506,2.2,10.33,3.74,1.3,0.04,10.937,3.553,7.384,42.672,80.324,37.652,0.0,32.028,91.8,1.744,,,,,,millions,AUD,,,,,
H1 FY2018,209.622,168.89,40.731,19.4,12.047,5.7,,8.327,4.0,0.09,3.299,3.597,-0.298,47.621,109.133,61.512,0.0,28.178,93.46,,,,,,,millions,AUD,,,,,
FY2018,412.312,331.719,80.593,19.5,19.981,4.8,25.32,14.111,3.4,0.15,27.829,7.238,20.591,47.881,105.985,58.103,0.0,42.618,93.47,1.099,,,,,,millions,AUD,,,,,
H1 FY2019,231.798,186.659,45.138,19.5,10.21,4.4,,7.407,3.2,0.08,-18.492,2.876,-21.368,46.169,122.183,76.013,0.0,15.533,93.7,,,,,,,millions,AUD,,,,,
FY2019,438.7,348.044,90.656,20.7,23.992,5.5,30.731,17.201,3.9,0.18,2.072,5.468,-3.396,50.98,118.397,67.417,0.0,27.462,93.71,1.233,,,,,,millions,AUD,,,,,
H1 FY2020,219.541,169.609,49.932,22.7,13.874,6.3,,8.929,4.1,0.1,17.379,2.443,14.936,52.821,148.536,95.715,0.0,34.082,93.9,,,,,,,millions,AUD,,,,,
FY2020,497.904,371.374,126.53,25.4,41.04,8.2,48.459,26.82,5.4,0.29,45.633,8.154,37.479,164.025,279.667,115.642,0.0,146.726,94.03,1.033,,,,,,millions,AUD,,,1.573,,
H1 FY2021,414.009,301.112,112.897,27.3,33.96,8.2,,23.592,5.7,0.22,-23.407,0.983,-24.39,199.32,415.807,216.487,2.708,78.95,105.58,2.609,,,,,,millions,AUD,,,,,
FY2021,780.742,577.037,203.705,26.1,10.735,1.4,21.675,3.537,0.5,0.03,-63.032,4.729,-67.761,180.729,442.015,261.286,78.699,91.691,105.8,20.373,,,,,,millions,AUD,,,3.276,,
H1 FY2022,419.543,311.45,108.093,25.8,-10.494,-2.5,,-11.87,-2.8,-0.11,61.669,1.853,59.816,183.516,405.93,222.414,29.828,69.74,106.79,13.643,,,,,,millions,AUD,,,,,
FY2022,718.504,534.076,184.428,25.7,-38.119,-5.3,-18.916,-35.457,-4.9,-0.33,61.839,5.559,56.28,172.636,360.31,187.674,34.869,66.23,106.85,26.611,,,,,,millions,AUD,,,10.252,,
H1 FY2023,275.558,212.61,62.948,22.8,-30.529,-11.1,,-23.824,-8.6,-0.22,62.322,2.232,60.09,163.845,331.732,167.887,10.977,85.026,107.01,14.157,,,,,,millions,AUD,,,,,
FY2023,489.494,352.931,136.563,27.9,-36.346,-7.4,-19.762,-25.852,-5.3,-0.24,70.857,4.16,66.697,167.718,274.058,106.34,0.0,65.438,107.61,31.267,,,,,,millions,AUD,,,8.004,,
H1 FY2024,248.218,158.682,89.536,36.1,11.691,4.7,,8.68,3.5,0.08,51.996,3.044,48.952,161.023,298.295,137.272,0.0,83.313,103.61,2.057,,,,,,millions,AUD,,,,,
FY2024,459.703,291.266,168.437,36.6,20.258,4.4,35.312,0.083,0.0,0.0,28.186,5.015,23.171,123.603,243.43,119.827,0.0,41.183,102.52,3.939,,,,,,millions,AUD,,,6.089,,
H1 FY2025,272.727,166.77,105.957,38.9,16.271,6.0,,10.332,3.8,0.1,47.145,3.078,44.067,118.226,278.15,159.924,0.0,67.662,,1.026,,,,,,millions,AUD,,,3.713,,
FY2025,488.107,298.195,189.912,38.9,-30.676,-6.3,-14.629,-39.465,-8.1,-0.39,37.293,4.849,32.444,53.895,187.925,134.03,0.0,42.145,101.02,2.27,,31.682,,,,millions,AUD,,46.311,8.092,,
H1 FY2026,287.593,173.406,114.187,39.7,14.454,5.0,,8.249,2.9,0.08,46.9,1.761,45.139,59.65,231.37,171.72,0.0,71.75,,1.92,,,,,,millions,AUD,3.7,,4.168,,
FY2026,510.732,299.807,210.925,41.3,22.079,4.3,38.159,11.166,2.2,0.11,41.946,3.597,38.349,34.429,182.941,148.512,0.0,36.431,98.17,4.223,,,,,,millions,AUD,,,8.367,79.986,61.4
