Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,DepreciationAmortisation,NetFinanceCosts,NPAT,DividendsPaid,NetDebt,Goodwill,ImpairmentCharges,LeasePrincipalPaid,LeaseLiabilities,PostBalanceDateNotes
H1 2018,143.1,,,,5.2,,7.1,3.4,,10.5,11.9,0.3,11.6,37.9,,,33.5,10.3,32.6,-0.02,8.00,,,1.9,0.7,3.4,2.7,23.2,38.6,0.0,,,
FY2018,279.3,,,,8.4,,11.8,5.0,,15.5,11.5,0.6,10.9,36.9,,,36.0,6.3,32.6,0.0,16.20,,,3.3,1.3,5.0,5.4,29.7,38.6,0.0,,,
H1 2019,141.6,,,,3.5,,5.2,2.1,,6.3,6.1,1.2,4.9,37.1,,,33.0,5.7,32.6,0.08,8.00,,,1.6,0.6,2.1,2.7,27.3,39.4,0.0,,,
FY2019,267.8,,,,4.2,,7.7,2.0,,6.1,9.5,2.6,6.8,34.8,,,33.0,6.4,33.4,0.16,16.20,,,3.4,1.4,2.0,5.4,26.6,39.3,0.0,,,
H1 2020,139.2,,,,2.9,,6.2,1.3,,4.0,6.9,0.3,6.5,34.2,,,36.0,7.6,33.0,0.07,8.00,,,3.3,1.0,1.3,2.8,28.4,45.5,0.0,1.2,14.8,
FY2020,263.5,,,,6.0,,12.2,2.7,,7.9,9.9,1.0,8.9,33.7,,,36.0,6.2,34.3,0.12,8.00,,,6.2,2.1,2.7,5.6,29.8,45.1,0.0,2.4,11.6,
H1 2021,105.9,,,,8.6,,11.2,3.7,,10.9,22.0,0.0,21.9,37.3,,,15.0,5.9,34.3,-0.12,0.00,,,2.6,0.8,3.7,0.0,9.2,38.1,7.0,1.3,9.6,
FY2021,205.5,,,,12.2,,17.4,6.2,,18.1,21.9,1.4,20.5,40.0,,,15.0,1.8,34.3,0.08,8.20,,,5.3,1.2,6.2,0.0,13.2,38.1,7.0,2.5,9.3,
H1 2022,110.4,,,,3.2,,5.7,1.7,,4.9,5.7,0.6,5.0,38.0,,,18.0,5.0,34.3,0.02,6.50,,,2.6,0.5,1.7,2.9,13.0,38.1,0.0,1.2,8.9,
FY2022,221.5,,,,5.8,,10.7,3.0,,8.9,10.5,0.6,9.9,36.7,,,18.0,5.0,34.3,0.13,12.10,,,4.9,1.1,3.0,5.2,13.0,38.1,0.0,2.4,7.8,
H1 2023,123.0,,,,3.6,,5.9,2.1,,6.2,3.9,0.2,3.7,36.9,,,15.0,2.5,34.3,0.10,6.50,,,2.3,0.7,2.1,2.0,12.5,42.6,0.0,1.1,,
FY2023,227.4,,,,4.8,,9.4,2.0,,5.8,4.7,0.7,4.0,34.6,,,23.5,2.0,34.3,0.22,9.50,,,4.6,1.7,2.0,4.3,21.5,42.6,0.1,2.5,7.8,
H1 2024,112.1,,,,3.0,,5.4,1.2,,3.4,2.9,0.1,2.9,34.8,,,24.5,3.4,34.3,0.13,3.00,,,2.4,1.4,1.2,2.0,21.1,42.6,,1.1,6.4,
FY2024,212.4,,,,-7.4,,-2.4,-10.0,,-29.6,2.3,0.2,2.1,22.6,,,26.5,2.1,34.3,0.21,3.00,,,4.9,2.8,-10.0,2.2,24.4,31.6,11.0,2.8,7.0,
H1 2025,88.9,,,,-0.5,,1.8,-1.4,,-4.2,1.3,0.1,1.2,21.3,,,26.5,1.9,34.3,0.13,0.00,,,2.3,1.5,-1.4,0.0,24.6,31.6,0.0,1.4,7.4,
FY2025,165.2,,,,-1.3,,3.4,-2.9,,-8.5,-0.6,0.2,-0.8,19.9,,,31.0,3.0,34.3,0.19,0.00,,,4.6,3.0,-2.9,0.0,28.0,31.6,0.0,2.9,6.2,
H1 2026,82.0,,,,-0.1,,2.0,-1.1,,-3.3,2.5,0.1,2.5,18.9,,,28.0,1.1,34.3,0.05,0.00,,,2.0,1.5,-1.1,0.0,26.9,31.6,0.0,1.4,10.4,
FY2026,165.1,,,,0.3,,4.1,-2.1,,-6.2,1.6,0.2,1.4,17.9,,,28.7,0.2,34.3,0.08,0.00,,,3.8,3.0,-2.1,0.0,28.5,31.6,0.0,2.1,12.7,"Rights Offer completed 13-May-2026: 33,333,334 new shares issued at $0.15/share, raising $5.0m gross (proceeds applied to debt repayment). Post-raise shares on issue: 67,658,876 (vs 34,325,542 at 31-Mar-2026 balance date). Hull Family Trust stake increased from 53.01% to 65.28%. ASB banking facilities extended to 30-Apr-2028."
