Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2016,122.213,,98.35,80.5,89.402,73.2,,78.897,64.6,9.79,50.28,28.074,22.206,810.404,1374.891,564.487,502.323,1.13,812.616,0.065,6.03,millions,NZD
FY2017,124.929,,99.521,79.66204804328859,91.4,73.2,,103.6,82.9,12.69,56.769,40.793,15.976,875.221,1458.553,583.332,528.795,0.968,822.928,0.129,6.1,millions,NZD
H1-2018,58.074,,48.502,83.51758101732273,43.789,75.40207321693013,,23.394,40.3,2.84,21.831,29.591,-7.76,876.282,1469.335,593.053,539.141,0.287,826.02,0.098,,millions,NZD
FY2018,119.672,,100.99,84.3889965906812,91.1,76.1,,98.2,82.1,11.9,60.112,58.699,1.413,926.893,1544.829,617.936,552.8,1.274,827.03,0.195,6.2,millions,NZD
H1-2019,61.853,,50.769,82.08009312401985,45.646,73.79755226100593,,66.752,107.9,8.07,20.876,36.283,-15.407,967.906,1643.146,675.24,603.777,2.004,827.03,,,millions,NZD
FY2019,125.858,,102.468,81.41556357164423,91.5,72.7,,133.7,106.2,16.16,66.947,89.826,-22.879,1008.975,1675.061,666.086,593.536,2.19,827.03,0.0,6.28,millions,NZD
H1-2020,60.427,,51.01,84.41590679663065,45.405,75.14025187416222,,76.915,127.3,9.3,29.721,49.952,-20.231,1059.9,1833.779,773.879,646.125,2.854,827.187,,,millions,NZD
FY2020,120.918,,99.67,82.42776096197423,88.2,72.9,,119.1,98.5,14.4,59.746,100.759,-41.013,1075.804,1929.637,853.833,729.173,1.861,827.187,0.235,6.35,millions,NZD
H1-2021,63.136,,51.095,80.92847187024834,45.192,71.57881398884946,,114.573,181.5,13.82,29.911,38.566,-8.655,1172.201,2026.013,853.812,722.778,2.265,833.771,,,millions,NZD
FY2021,131.41,,107.707,81.9625599269462,95.6,72.7,,241.7,183.9,29.04,88.378,68.825,19.553,1280.635,2156.779,876.144,754.521,1.762,839.527,0.241,6.45,millions,NZD
H1-2022,66.279,,53.066,80.06457550657072,47.22,71.24428552030055,,127.041,191.7,15.1,40.435,30.75,9.685,1387.888,2177.758,789.87,672.989,2.168,844.658,,3.28,millions,NZD
FY2022,131.57,,105.1,79.9,93.3,70.9,,236.2,179.5,28.01,73.459,59.868,13.591,1472.122,2291.546,819.424,696.475,1.663,846.55,0.206,6.55,millions,NZD
H1-2023,69.903,,54.954,78.61465173168533,49.766,71.19293878660429,,10.699,15.3,1.26,37.571,30.035,7.536,1454.983,2307.579,852.596,732.974,1.559,846.724,,3.33,millions,NZD
FY2023,144.535,,112.8,78.0,102.0,70.6,,-80.8,-55.9,-9.55,67.027,54.267,12.76,1335.695,2212.637,876.942,759.991,2.057,846.723,0.5,6.65,millions,NZD
H1-2024,76.277,,58.434,76.60762746306226,52.934,69.3970659569726,,-19.803,-26.0,-2.34,35.899,19.25,16.649,1287.777,2175.556,887.779,772.887,2.015,847.169,0.053,3.33,millions,NZD
FY2024,153.151,,116.5,76.1,104.9,68.5,,-54.5,-35.6,-6.43,60.185,35.843,24.342,1224.374,2068.987,844.613,738.057,1.829,847.168,0.29,6.65,millions,NZD
H1-2025,78.147,,58.367,74.68872765429253,52.79,67.55217730687038,,32.97,42.2,3.89,32.104,23.73,8.374,1233.786,2089.594,855.808,759.476,1.463,847.169,0.057,3.33,millions,NZD
FY2025,155.727,,116.9,75.1,105.5,67.7,,125.9,80.8,14.83,58.963,57.418,1.545,1307.775,2162.224,854.449,755.982,1.438,856.547,0.057,6.65,millions,NZD
H1-2026,80.282,,61.225,76.26242495204406,55.609,69.2670835305548,,61.05,76.0,7.11,37.868,40.557,-2.689,1349.765,2231.744,881.979,784.707,2.045,865.031,0.041,3.33,millions,NZD
FY2026,159.807,,120.774,75.6,109.374,68.4,,127.731,79.9,14.8,67.363,70.261,-2.898,1397.585,2343.521,945.936,855.515,3.389,873.5,0.299,6.65,millions,NZD
