Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,OtherRevenue
FY2015,3876.0,1157.0,2719.0,70.1,522.0,13.5,821.0,623.0,16.1,3.25,204.0,146.0,58.0,5546.0,10956.0,5410.0,2208.0,1285.0,192.0,83.0,,,,,,millions,EUR,188.0
FY2016,4178.0,1202.0,2976.0,71.2,876.0,21.0,1031.0,520.0,12.4,2.76,726.0,138.0,588.0,5477.0,10212.0,4735.0,1601.0,761.0,188.0,26.0,,,,,,millions,EUR,195.0
FY2017,4530.0,1200.0,3330.0,73.5,1087.0,24.0,1375.0,753.0,16.6,4.0,896.0,209.0,687.0,5736.0,9917.0,4181.0,1573.0,1049.0,188.0,88.0,,,,,,millions,EUR,240.0
FY2018,4632.0,1198.0,3434.0,74.1,1109.0,23.9,1398.0,800.0,17.3,4.24,1098.0,341.0,757.0,6255.0,10514.0,4259.0,1499.0,1262.0,188.0,65.0,,,,,,millions,EUR,128.0
FY2019,4913.0,1268.0,3645.0,74.2,1068.0,21.7,1431.0,792.0,16.1,4.23,893.0,294.0,599.0,7009.0,11081.0,4072.0,1281.0,1293.0,187.0,69.0,,,,,,millions,EUR,155.0
H1 2020,2608.0,683.0,1925.0,73.8,519.0,19.9,783.0,363.0,13.9,1.92,377.0,102.0,275.0,7088.0,13217.0,6129.0,2883.0,968.0,189.0,,,,,,,millions,EUR,79.0
FY2020,5347.0,1363.0,3984.0,74.5,971.0,18.2,1441.0,732.0,13.7,3.87,1081.0,349.0,732.0,7272.0,13319.0,6047.0,2747.0,1336.0,189.0,81.0,,,,,,millions,EUR,199.0
H1 2021,2778.0,689.0,2089.0,75.2,678.0,24.4,843.0,571.0,20.6,3.02,484.0,187.0,297.0,7671.0,13039.0,5368.0,2082.0,568.0,189.0,,,,,,,millions,EUR,87.0
FY2021,5777.0,1438.0,4339.0,75.1,1284.0,22.2,1641.0,1058.0,18.3,5.6,1553.0,493.0,1060.0,8386.0,14210.0,5824.0,2123.0,1263.0,189.0,109.0,,,,,,millions,EUR,227.0
H1 2022,2925.0,845.0,2080.0,71.1,490.0,16.8,814.0,399.0,13.6,2.1,393.0,174.0,219.0,8917.0,16308.0,7391.0,3017.0,515.0,190.0,,,,,,,millions,EUR,175.0
FY2022,5517.0,1674.0,3843.0,69.7,585.0,10.6,1260.0,418.0,7.6,2.2,1119.0,371.0,748.0,9064.0,15868.0,6804.0,2900.0,899.0,190.0,81.0,,,,,,millions,EUR,292.0
H1 2023,2589.0,802.0,1787.0,69.0,480.0,18.5,801.0,311.0,12.0,1.64,249.0,158.0,91.0,9042.0,15382.0,6340.0,2896.0,457.0,189.0,,,,,,,millions,EUR,169.0
FY2023,5252.0,1707.0,3545.0,67.5,604.0,11.5,1349.0,343.0,6.5,1.81,761.0,316.0,445.0,8975.0,15539.0,6564.0,3038.0,861.0,190.0,104.0,,,,,,millions,EUR,308.0
H1 2024,2791.0,851.0,1940.0,69.5,323.0,11.6,652.0,208.0,7.5,1.09,377.0,162.0,215.0,8953.0,15629.0,6676.0,3038.0,428.0,190.0,,,,,,,millions,EUR,107.0
FY2024,6152.0,1752.0,4400.0,71.5,1324.0,21.5,1476.0,1065.0,17.3,5.61,1242.0,322.0,920.0,10029.0,17347.0,7318.0,3026.0,1573.0,190.0,183.0,,,,,,millions,EUR,461.0
H1 2025,3487.0,922.0,2565.0,73.6,671.0,19.2,1033.0,475.0,13.6,2.5,711.0,231.0,480.0,9683.0,17187.0,7504.0,2878.0,1611.0,190.0,,,,,,,millions,EUR,125.0
FY2025,7741.0,1990.0,5751.0,74.3,1948.0,25.2,2636.0,1558.0,20.1,8.2,2291.0,449.0,1842.0,10867.0,18158.0,7291.0,2245.0,2251.0,190.0,188.0,,,,,,millions,EUR,265.0
H1 2026,4270.0,958.0,3312.0,77.6,1373.0,32.2,1736.0,1111.0,26.0,5.83,369.0,446.0,-77.0,11654.0,20633.0,8979.0,3588.0,766.0,191.0,,,,,,,millions,EUR,133.0
