Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2015,74989,28164,46825,62.4,19360,25.8,,16348,21.8,1.19,26024,9915,16109,120331,,,1995,16549,13746,,,millions,USD
FY2016,90272,35138,55134,61.1,23716,26.3,,19478,21.6,1.41,36036,10212,25824,139036,,,3935,12918,13826,,,millions,USD
FY2017,110855,45583,65272,58.9,26146,23.6,,12662,11.4,0.91,37091,13184,23907,152502,,,3943,10715,13896,,,millions,USD
FY2018,136819,59549,77270,56.5,26321,19.2,,30736,22.5,2.21,47971,25139,22832,177628,,,3950,16701,13912,,,millions,USD
FY2019,161857,71896,89961,55.6,34231,21.1,,34343,21.2,2.49,54520,23548,30972,201442,,,3958,18498,13766,,,millions,USD
FY2020,182527,84732,97795,53.6,41224,22.6,,40269,22.1,2.98,65124,22281,42843,222544,,,13932,26465,13504,,,millions,USD
FY2021,257637,110939,146698,56.9,78714,30.6,,76033,29.5,5.74,91652,24640,67012,251635,,,14817,20945,13242,,,millions,USD
FY2022,282836,126203,156633,55.4,74842,26.5,,59972,21.2,4.67,91495,31485,60010,256144,,,14701,21879,12849,,,millions,USD
Q1 2023,69787,30612,39175,56.1,17415,25.0,,15051,21.6,1.17,23509,6289,17220,260894,,,,25924,12722,,,millions,USD
Q2 2023,74604,31916,42688,57.2,21838,29.3,,18368,24.6,1.44,,,,267141,,,,25929,12629,,,millions,USD
Q3 2023,76693,33229,43464,56.7,21343,27.8,,19689,25.7,1.55,,,,273202,,,,30702,12541,,,millions,USD
Q4 2023,86310,35575,50735,58.8,23697,27.5,,20687,24.0,1.64,,,,283379,,,11870,24048,12460,,,millions,USD
FY2023,307394,133332,174062,56.6,84293,27.4,,73795,24.0,5.92,101746,32251,69495,283379,,,11870,24048,12460,,,millions,USD
Q1 2024,80539,33712,46827,58.1,25472,31.6,,23662,29.4,1.89,28848,12012,16836,292844,,,,24493,12381,,,millions,USD
Q2 2024,84742,35507,49235,58.1,27425,32.4,,23619,27.9,1.89,,,,300753,,,,27225,12322,,,millions,USD
Q3 2024,88268,36474,51794,58.7,28521,32.3,,26301,29.8,2.12,,,,314119,,,,19959,12264,,,millions,USD
Q4 2024,96469,40613,55856,57.9,30972,32.1,,26536,27.5,2.15,,,,325084,,,10883,23466,12211,,,millions,USD
FY2024,350018,146306,203712,58.2,112390,32.1,,100118,28.6,8.2,125299,52535,72764,325084,,,10883,23466,12211,,,millions,USD
Q1 2025,90234,36361,53873,59.7,30606,33.9,,34540,38.3,2.81,36150,17197,18953,345267,,,10886,23264,12155,,,millions,USD
Q2 2025,96428,39039,57389,59.5,31271,32.4,,28196,29.2,2.31,,,,362916,,,23607,21036,12104,,,millions,USD
Q3 2025,102346,41369,60977,59.6,31228,30.5,,34979,34.2,2.87,,,,386867,,,21607,23090,12077,,,millions,USD
Q4 2025,113828,45766,68062,59.8,35934,31.6,,34455,30.3,2.82,,,,415265,,,25000,30708,12088,,,millions,USD
FY2025,402836,162535,240301,59.7,129039,32.0,,132170,32.8,10.93,164713,91447,73266,415265,,,25000,30708,12088,,,millions,USD
Q1 2026,109896,41271,68625,62.4,39696,36.1,,62578,56.9,5.11,45790,35674,10116,478746,,,25000,38063,12116,,,millions,USD
