Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,CashFromOps,Notes
Q1 2021,603.9,223.1,380.8,63.1,11.5,1.9,131.1,-10.6,,-0.05,,0.1,60.9,-130.0,,,2155.9,761.1,222.4,,,,,61.8,Pre-IPO (IPO Apr 2021); total company incl. Apps; equity = stockholders deficit
Q2 2021,668.8,245.9,422.9,63.2,35.0,5.2,183.7,14.4,,0.04,,0.5,86.1,1997.4,,,1752.0,1183.7,353.9,,,,,90.5,Post-IPO; total company incl. Apps
Q3 2021,727.0,254.1,472.9,65.1,45.0,6.2,190.7,0.1,,0.00,,0.3,119.2,2049.1,,,1749.3,1049.6,384.3,,,,,124.6,Total company incl. Apps
Q4 2021,793.5,265.1,528.4,66.6,58.5,7.4,221.3,31.4,,,,0.4,79.0,2138.1,,,3227.6,1520.5,375.1,,,,,85.0,Derived (FY2021 minus 9-month); balance sheet = Dec 31 2021
FY2021,2793.1,988.1,1805.0,64.6,150.0,5.4,726.8,35.3,,0.09,,1.4,345.2,2138.1,,,3227.6,1520.5,342.8,,,,,361.9,From FY2021 10-K; total company incl. Apps
Q1 2022,625.4,281.8,343.6,54.9,-128.0,-20.5,276.2,-115.3,,-0.31,,0.3,-38.2,2012.3,,,3225.5,1413.3,372.0,,,,,-31.7,Total company incl. Apps; MoPub acq. Jan 2022
Q2 2022,776.2,303.9,472.3,60.9,53.4,6.9,269.7,-21.8,,-0.06,,0.1,100.5,1907.2,,,3223.3,951.6,373.9,,,,,106.8,Total company incl. Apps
Q3 2022,713.1,301.0,412.1,57.8,49.3,6.9,257.6,23.7,,0.06,,0.2,168.5,1881.9,,,3217.5,943.5,378.5,,,,,174.5,Total company incl. Apps
Q4 2022,702.3,369.4,332.9,47.4,-22.4,-3.2,259.6,-79.5,,,,0.0,157.2,1902.7,,,3211.7,1080.5,373.9,,,,,163.2,Derived (FY2022 minus 9-month); balance sheet = Dec 31 2022
FY2022,2817.1,1256.1,1561.0,55.4,-47.8,-1.7,1063.2,-192.9,,-0.52,,0.7,388.0,1902.7,,,3211.7,1080.5,371.6,,,,,412.8,From FY2022 10-K; total company incl. Apps
Q1 2023,715.4,262.0,453.4,63.4,61.0,8.5,273.7,-4.5,,-0.01,,0.1,283.1,1898.6,,,3205.9,1245.9,373.2,,,,,288.7,Total company incl. Apps
Q2 2023,750.2,258.6,491.6,65.5,131.3,17.5,333.5,80.4,,0.22,,3.7,220.6,1517.4,,,3200.1,876.2,357.0,,,,,229.8,Total company incl. Apps
Q3 2023,864.3,265.0,599.3,69.3,186.3,21.6,419.3,108.6,,0.30,,0.2,193.6,1095.8,,,3127.3,332.5,356.9,,,,,199.1,Total company incl. Apps
Q4 2023,953.3,273.6,679.7,71.3,269.5,28.3,476.2,172.2,,,,0.2,339.8,1256.3,,,3120.9,502.2,339.9,,,,,344.0,Derived (FY2023 minus 9-month); balance sheet = Dec 31 2023
FY2023,3283.1,1059.2,2223.9,67.7,648.2,19.7,1502.7,356.7,,0.98,,4.2,1037.1,1256.3,,,3120.9,502.2,362.6,,,,,1061.5,From FY2024 10-K (as filed); total company incl. Apps
