Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,EBITDAMargin
Q1 FY2015,275.7,,187.5,68.0,73.5,26.7,82.8,42.8,15.5,,,,,,,,,,,,,,,,,millions,EUR,
H1 FY2015,539.1,,366.8,68.0,145.2,26.9,163.9,103.2,19.1,,,,,,,,,,,,,,,,,millions,EUR,
Q3 FY2015,784.4,,532.8,67.9,213.0,27.2,240.5,152.5,19.4,,,,,,,,,,,,,,,,,millions,EUR,
FY2015,1047.7,,712.5,68.0,278.5,26.6,,198.8,19.0,,,,,,,,,,,,,,,,,millions,EUR,
Q1 FY2016,302.2,,208.5,69.0,90.2,29.8,,65.5,21.7,,,,,,,,,,,,,,,,,millions,EUR,
H1 FY2016,587.9,,407.4,69.3,170.2,29.0,,122.7,20.9,,,,,,,,,,,,,,,,,millions,EUR,
Q3 FY2016,862.4,,595.1,69.0,252.4,29.3,,182.3,21.1,,,,,,,,,,,,,,,,,millions,EUR,
FY2016,1153.9,,793.0,68.7,327.4,28.4,490.0,237.4,20.6,,,,,,,,,,,,,,,,,millions,EUR,
Q1 FY2017,341.9,,236.1,69.1,107.3,31.4,,78.5,23.0,,,,,,,,,,,,,,,,,millions,EUR,
H1 FY2017,650.9,,454.1,69.8,203.2,31.2,,147.0,22.6,,,,,,,,,,,,,,,,,millions,EUR,
Q3 FY2017,963.8,,676.2,70.2,307.5,31.9,,219.8,22.8,,,,,,,,,,,,,,,,,millions,EUR,
FY2017,1288.1,,905.4,70.3,406.5,31.6,454.7,288.8,22.4,,,,,,,,,,,,,,,,,millions,EUR,
Q1 FY2018,366.5,,257.2,70.2,120.5,32.9,134.4,86.6,23.6,,,,,,,,,,,,,,,,,millions,EUR,
H1 FY2018,696.1,,493.0,70.8,231.9,33.3,260.0,164.2,23.6,,,,,,,,,,,,,,,,,millions,EUR,
Q3 FY2018,1013.3,,717.3,70.8,337.0,33.3,380.1,237.9,23.5,,,,,,,,,,,,,,,,,millions,EUR,
FY2018,1352.2,,956.7,70.8,442.2,32.7,499.1,312.4,23.1,,,,,,,,,,,,,,,,,millions,EUR,
H1 FY2019,728.0,,520.0,71.4,233.0,32.0,,169.0,23.2,,134.501,,,,,,,,,,,,,,,millions,EUR,
FY2019,1481.848,-436.901,1044.947,70.5,465.266,31.4,543.967,368.825,24.9,,318.7,-443.288,-124.588,1198.811,2808.93,1610.119,1100.553,187.923,,7.049,,,,,,millions,EUR,
Q1 FY2020,429.235,-125.511,303.724,70.8,148.426,34.6,172.872,111.195,25.9,,105.969,,,,,,,,,,,,,,,millions,EUR,
H1 FY2020,760.192,-211.754,548.438,72.1,261.51,34.4,311.091,196.943,25.9,,219.13,-88.555,130.575,1242.005,2809.77,,1148.207,188.23,,2.439,,,,,,millions,EUR,
Q3 FY2020,1093.8,,785.6,71.8,364.0,33.3,438.8,274.1,25.1,,,,,,,,,,,,,,,,,millions,EUR,
FY2020,1448.873,-406.831,1042.042,71.9,469.016,32.4,569.32,355.027,24.5,,403.575,-131.678,271.897,1276.26,2711.654,1435.394,1061.059,188.23,,4.878,,,,,,millions,EUR,
H1 FY2021,770.835,-205.94,564.895,73.3,250.368,32.5,300.45,207.106,26.9,,213.347,-66.718,146.629,1328.387,2875.92,,1147.559,271.869,,1.97,,,,,,millions,EUR,
Q3 FY2021,1156.2,,843.2,72.9,372.9,32.3,447.9,296.4,25.6,,,,,,,,,,,,,,,,,millions,EUR,
FY2021,1580.07,-427.727,1152.343,72.9,490.19,31.0,602.253,291.275,18.4,,491.65,-87.36,404.29,1381.625,2816.199,1434.574,992.191,244.578,205.910856,5.082,,,,,,millions,EUR,
Q1 FY2022,419.381,-115.478,303.903,72.5,131.271,31.3,163.049,96.72,23.1,,154.696,,,1449.43,3642.95,,,261.43,,,,,,,,millions,EUR,
H1 FY2022,892.49,-267.88,624.61,70.0,232.297,26.0,334.896,151.405,17.0,0.736,226.113,-62.222,163.891,1493.887,3984.1,,1827.902,373.762,,3.822,,,,,,millions,EUR,
Q3 FY2022,1377.5,,954.7,69.3,355.9,25.8,516.2,241.5,17.5,,,,,,,,,,,,,,,,,millions,EUR,
FY2022,1853.31,-566.737,1286.573,69.4,437.326,23.6,672.75,271.791,14.7,1.519,461.691,-96.339,365.352,1546.248,3998.823,2452.575,1716.52,284.734,205.441123,8.251,,,,,,millions,EUR,
Q1 FY2023,551.363,-163.654,387.709,70.3,172.565,31.3,220.779,123.954,22.5,0.603,214.577,,,1654.47,3982.07,,,231.294,,,,,,,,millions,EUR,
H1 FY2023,1044.272,-311.954,732.318,70.1,313.444,30.0,406.181,227.571,21.8,1.108,271.451,-36.473,234.978,1609.225,4208.39,,1864.664,528.568,,3.933,,,,,,millions,EUR,
Q3 FY2023,1556.17,-490.495,1065.68,68.5,438.751,28.2,595.573,304.492,19.6,1.481,584.57,,,1725.01,4231.56,,,302.28,,,,,,,,millions,EUR,
FY2023,2082.33,-659.707,1422.623,68.3,558.008,26.8,769.631,365.068,17.5,1.893,485.319,-383.264,102.055,1686.392,4208.131,2521.739,1808.9,221.812,206.006112,10.87,,,,,,millions,EUR,
Q1 FY2024,607.82,-192.26,415.56,68.4,186.899,30.7,244.041,123.595,20.3,0.599,230.773,,,1817.56,4281.34,,,294.651,,,,,,,,millions,EUR,
H1 FY2024,1185.667,-383.881,801.786,67.6,338.534,28.6,452.936,225.37,19.0,1.092,267.164,-20.365,246.799,1804.736,4200.71,,1677.647,200.579,,6.117,,,,,,millions,EUR,
Q3 FY2024,1743.08,-556.171,1186.91,68.1,504.098,28.9,665.666,338.4,19.4,1.64,454.63,,,1876.11,4203.58,,,235.02,,,,,,,,millions,EUR,
FY2024,2341.559,-741.287,1600.272,68.3,638.857,27.3,865.771,416.508,17.8,2.019,569.918,-851.161,-281.243,1876.809,5134.455,3257.646,2484.427,322.423,206.31624100000002,16.52,,,,,,millions,EUR,37.0
Q1 FY2025,679.96,-221.188,458.772,67.5,195.766,28.8,270.158,125.041,18.4,0.606,164.789,,,1977.7,5166.14,,,333.044,,,,,,,,millions,EUR,
H1 FY2025,1323.842,-441.22,882.622,66.7,331.031,25.0,,216.121,16.3,1.048,272.172,-43.074,229.098,1870.522,5176.14,,2471.736,341.55,,8.936,,,,,,millions,EUR,
Q3 FY2025,1956.16,-641.133,1315.03,67.2,496.673,25.4,743.912,326.286,16.7,1.585,759.549,,,1927.84,5298.72,,,471.462,,,,,,,,millions,EUR,
FY2025,2618.383,-830.704,1787.679,68.3,670.808,25.6,991.053,443.624,16.9,2.159,596.897,-85.124,511.773,1919.772,5252.275,3332.503,2467.486,428.824,204.355889,16.545,,,,,,millions,EUR,37.8
Q1 FY2026,713.424,-202.598,510.826,71.6,229.603,32.2,283.575,153.061,21.5,0.75,283.209,,,2060.29,5334.54,,,380.466,,,,,,,,millions,EUR,
