# GENERATED by `make screen-deferred APPLY=1` (scripts/screen_deferred.py)
# -- do not hand-edit; the source is `screen.defer` in each ticker's
# research/{T}/info.json.
#
# The AFTERWARDS list: companies on a ridiculous P/E or carrying far too
# much debt. Not an exclusion -- the selector researches every other new
# ticker first, then these, then stale refreshes. Holdings and the watchlist
# (queue/priority.txt) are never deferred, and `make run TICKER=X` ignores
# this file. The permanent list is state/never_interested.txt.
#
# Rules: loss-making (net income < 0); P/E > 50; for non-financials
# D/E > 2x, net debt/EBITDA > 5x, interest cover < 2x.
# Data: stockanalysis.com statistics pages.
#
# TICKER  reason
MSTR  loss-making
MTD  D/E 166.7x
NCLH  D/E 6.2x; ND/EBITDA 6.1x
NEC.AX  ND/EBITDA 6.2x
NEE  ND/EBITDA 7.4x
NG.L  ND/EBITDA 6.4x
NI  ND/EBITDA 5.7x
NIO  loss-making; D/E 2.0x
NOK  P/E 76.2
NOW  P/E 86.0
NRG  D/E 4.8x; ND/EBITDA 7.2x
NUF.AX  loss-making; ND/EBITDA 5.3x; int cover 1.0x
NWL.AX  P/E 76.2
OCDO.L  loss-making; int cover 0.1x
ORA.AX  loss-making
ORCL  D/E 2.5x
PAGE.L  P/E 54.1
PCG  ND/EBITDA 6.1x; int cover 1.8x
PDN.AX  P/E 591.9; int cover 1.6x
PEG  ND/EBITDA 5.5x
PKX  int cover 1.9x
PLTR  P/E 156.6
PME.AX  P/E 65.3
PNV.AX  P/E 92.9
PNW  D/E 2.3x; ND/EBITDA 7.7x
PPG.AX  loss-making
PPL  ND/EBITDA 5.3x
PSKY  loss-making
PWR  P/E 73.6
QAN.AX  D/E 6.9x
QSR.TO  D/E 2.9x
RCL  D/E 2.2x
REL.L  D/E 7.1x
RELX  D/E 7.1x
RHC.AX  ND/EBITDA 6.0x; int cover 1.7x
RVTY  P/E 68.6
RWC.AX  P/E 380.0
SBUX  P/E 54.5
SEK.AX  loss-making
SGE.L  D/E 9.2x
SGR.AX  loss-making
SHOP.TO  P/E 90.9
SHW  D/E 3.9x
SID  loss-making; D/E 3.6x; ND/EBITDA 5.5x; int cover 0.8x
SIFY  loss-making; D/E 2.6x; int cover 0.8x
SJM  P/E 55.8
SNPS  P/E 71.2; int cover 1.7x
SO  ND/EBITDA 5.2x
SONY  loss-making
SPL.AX  loss-making
SRE  ND/EBITDA 6.2x
STX  P/E 63.1
SVT.L  D/E 6.0x; ND/EBITDA 7.8x
SXL.AX  loss-making; D/E 2.2x; int cover 1.5x
SYY  D/E 5.7x
T.TO  loss-making; D/E 2.2x; ND/EBITDA 6.1x
TAP  loss-making
TCL.AX  P/E 113.0; D/E 2.7x; ND/EBITDA 8.2x; int cover 1.3x
TDG  ND/EBITDA 6.0x
TECH  P/E 62.5
TER  P/E 52.4
TKO  P/E 67.0
TM  ND/EBITDA 5.5x
TMUS  D/E 2.1x
TNE.AX  P/E 67.2
TPG.AX  P/E 134.1; int cover 1.3x
TPR  D/E 5.7x
TRGP  D/E 5.2x
TRMB  loss-making
TRP  ND/EBITDA 6.2x
TRP.TO  ND/EBITDA 6.2x
TSCO  D/E 2.5x
TSLA  P/E 389.4
TWE.AX  loss-making
