Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CapexIntangibles,CapexPPE,ProfitForPeriodTotal,TotalEquityInclNCI
FY2018,38850.0,20642.0,18208.0,46.9,5238.0,13.5,12235.0,897.0,2.3,0.1163,6545.0,7416.0,-871.0,17095.0,94227.0,74618.0,49915.0,6757.0,7711.1,96.0,,,,,,millions,HKD,3582.0,3834.0,3050.0,19609.0
FY2019,37521.0,18907.0,18614.0,49.6,5152.0,13.7,12381.0,681.0,1.8,0.0883,11133.0,9422.0,1711.0,15538.0,98895.0,80923.0,55033.0,5336.0,7713.6,68.0,,,,,,millions,HKD,4466.0,4956.0,2870.0,17972.0
FY2020,38046.0,20496.0,17550.0,46.1,4094.0,10.8,11978.0,-1020.0,-2.7,-0.1322,12695.0,7126.0,5569.0,9933.0,97839.0,84285.0,56689.0,4081.0,7716.9,70.0,,,,,,millions,HKD,4093.0,3033.0,649.0,13554.0
FY2021,38654.0,21269.0,17385.0,45.0,4716.0,12.2,12309.0,1039.0,2.7,0.1346,9704.0,7919.0,1785.0,8477.0,94223.0,78741.0,46823.0,4564.0,7721.0,55.0,,,,,,millions,HKD,4328.0,3591.0,2947.0,15482.0
FY2022,36065.0,17914.0,18151.0,50.3,4655.0,12.9,12388.0,158.0,0.4,0.0205,10339.0,6906.0,3433.0,5554.0,95064.0,82299.0,49521.0,3009.0,7724.5,52.0,,,,,,millions,HKD,4574.0,2332.0,2761.0,12765.0
FY2023,36347.0,18116.0,18231.0,50.2,4966.0,13.7,12831.0,-471.0,-1.3,-0.061,13346.0,8023.0,5323.0,2481.0,94563.0,84862.0,52046.0,2627.0,7727.5,46.0,,,,,,millions,HKD,5836.0,2187.0,2090.0,9701.0
H1 FY2024,17698.0,8939.0,8759.0,49.5,1998.0,11.3,5672.0,-462.0,-2.6,-0.0598,4411.0,,,-14.0,,,56067.0,1956.0,7730.1,,,,,,,millions,HKD,,,351.0,6673.0
FY2024,37557.0,19127.0,18430.0,49.1,5388.0,14.3,12849.0,-300.0,-0.8,-0.0388,10625.0,7549.0,3076.0,1604.0,98758.0,87244.0,51919.0,2288.0,7731.1,54.0,,,,,,millions,HKD,5384.0,2165.0,1941.0,11514.0
H1 FY2025,18922.0,9978.0,8944.0,47.3,2342.0,12.4,6010.0,-445.0,-2.4,-0.0575,5074.0,,,-1366.0,,,57211.0,1826.0,7733.1,,,,,,,millions,HKD,,,758.0,7396.0
FY2025,40252.0,21531.0,18721.0,46.5,5564.0,13.8,13290.0,-253.0,-0.6,-0.0327,12209.0,7666.0,4543.0,-1966.0,105409.0,98603.0,58922.0,2592.0,7735.0,59.0,,,,,,millions,HKD,5598.0,2068.0,2615.0,6806.0
H1 FY2026,20204.0,11163.0,9041.0,44.7,2162.0,10.7,6182.0,-276.0,-1.4,-0.0357,5356.0,,,-4207.0,,,65038.0,3576.0,7738.4,,,,,,,millions,HKD,,,959.0,3262.0
