Date,Close
2016-09-30,79.8
2016-10-31,83.9
2016-11-30,87.12
2016-12-31,84.6
2017-01-31,86.65
2017-02-28,90.2
2017-03-31,93
2017-04-30,89.65
2017-05-31,88.5
2017-06-30,85.83
2017-07-31,86.8
2017-08-31,90.92
2017-09-30,98.35
2017-10-31,98.23
2017-11-30,99.63
2017-12-31,103.13
2018-01-31,103.65
2018-02-28,102.9
2018-03-31,108.69
2018-04-30,114.33
2018-05-31,123.65
2018-06-30,122.82
2018-07-31,129.4
2018-08-31,126.04
2018-09-30,117.2
2018-10-31,114.42
2018-11-30,108.65
2018-12-31,116.48
2019-01-31,128.64
2019-02-28,129.42
2019-03-31,134.7
2019-04-30,120.31
2019-05-31,125.39
2019-06-30,128.79
2019-07-31,123.84
2019-08-31,131.08
2019-09-30,133.92
2019-10-31,138.05
2019-11-30,137.85
2019-12-31,144.77
2020-01-31,134.83
2020-02-29,85.75
2020-03-31,102.66
2020-04-30,109.97
2020-05-31,118.6
2020-06-30,123.49
2020-07-31,127.7
2020-08-31,119.57
2020-09-30,126.75
2020-10-31,138.67
2020-11-30,138.48
2020-12-31,131.4
2021-01-31,142.48
2021-02-28,152.83
2021-03-31,160.49
2021-04-30,151.93
2021-05-31,156.43
2021-06-30,156.9
2021-07-31,166.74
2021-08-31,182
2021-09-30,197.83
2021-10-31,196.74
2021-11-30,205.4
2021-12-31,183.62
2022-01-31,180.78
2022-02-28,203.27
2022-03-31,206.98
2022-04-30,185.98
2022-05-31,164.51
2022-06-30,181.13
2022-07-31,177.26
2022-08-31,152.74
2022-09-30,169.5
2022-10-31,178.71
2022-11-30,166.96
2022-12-31,187.34
2023-01-31,189.52
2023-02-28,175.66
2023-03-31,182.6
2023-04-30,170.74
2023-05-31,177.62
2023-06-30,175.01
2023-07-31,177.53
2023-08-31,167.73
2023-09-30,160.98
2023-10-31,169.05
2023-11-30,183.63
2023-12-31,190.45
2024-01-31,194.81
2024-02-29,199.7
2024-03-31,187.47
2024-04-30,190.95
2024-05-31,204.69
2024-06-30,209.8
2024-07-31,215.65
2024-08-31,232.37
2024-09-30,231.51
2024-10-31,231.11
2024-11-30,221.65
2024-12-31,240.8
2025-01-31,226.59
2025-02-28,196.64
2025-03-31,193.45
2025-04-30,214.21
2025-05-31,228.73
2025-06-30,217.38
2025-07-31,225.16
2025-08-31,219.33
2025-09-30,218.56
2025-10-31,197.04
2025-11-30,203.2
2025-12-31,212.18
2026-01-31,213.48
2026-02-28,201.93
2026-03-31,235.08
2026-04-30,238.55
2026-05-31,250.29
2026-06-30,253.09
2026-07-31,250.59
2026-08-31,242.35
2026-09-24,242.55
