Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2018,603.086,-358.914,244.172,40.48,83.364,13.82,89.597,61.325,10.17,0.278,69.528,-14.004,55.524,248.428,338.571,90.143,,78.193,220.227,0.0,0.185,millions,NZD
FY2019,631.919,-378.564,253.355,40.1,85.995,13.61,92.779,63.393,10.03,0.287,65.72,-21.591,44.129,273.541,365.352,91.811,,80.777,221.13,0.0,0.195,millions,NZD
FY2020,653.017,-395.515,257.502,39.43,97.223,14.89,124.549,62.583,9.58,0.282,79.508,-19.178,60.33,312.119,696.548,384.429,296.408,67.414,221.998,0.273,0.205,millions,NZD
FY2021,701.797,-394.681,307.116,43.76,115.886,16.51,147.731,73.199,10.43,0.329,106.566,-27.429,79.137,259.047,648.991,389.944,292.271,100.417,222.34,0.183,0.15,millions,NZD
FY2022,744.45,-403.808,340.642,45.76,136.468,18.33,169.372,87.909,11.81,0.395,96.496,-19.897,76.599,299.313,688.457,389.144,289.218,102.481,222.549,0.217,0.25,millions,NZD
FY2023,785.854,-439.932,345.922,44.02,135.494,17.24,169.786,88.437,11.25,0.397,144.416,-16.455,127.961,308.524,717.387,408.863,284.969,149.874,222.638,0.276,0.275,millions,NZD
FY2024,791.953,-456.191,335.762,42.4,126.296,15.95,161.131,84.221,10.63,0.378,123.306,-15.059,108.247,315.868,721.156,405.288,289.18,175.441,222.756,0.391,0.285,millions,NZD
FY2025,791.469,-471.928,319.541,40.38,104.401,13.19,140.199,60.634,7.66,0.272,109.702,-58.161,51.541,299.795,692.49,392.695,276.702,142.401,222.787,0.497,0.29,millions,NZD
H1-2026,371.269,-217.466,153.803,41.43,46.948,12.65,64.96,29.305,7.89,0.1315,24.631,-14.374,10.257,296.677,671.531,374.854,275.87,119.826,222.79,0.273,0.1,millions,NZD
FY2026,798.831,-485.476,313.355,39.23,95.776,11.99,131.787,59.217,7.41,0.266,102.401,-50.436,51.965,305.789,697.069,391.28,275.888,130.325,222.79,0.57,0.2,millions,NZD
