Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,UnderlyingEBIT
FY2019,1638.392,,,,207.158,12.6,401.049,181.326,11.1,0.298,206.912,206.068,0.844,1411.612,2666.766,1255.154,757.443,223.524,608.854,2.213,,,,,,millions,AUD,
H1 FY2020,1006.878,,,,86.42,8.6,216.727,36.003,3.6,0.052,103.921,152.458,-48.537,1428.361,2743.99,1315.629,873.201,243.713,,2.357,,,,,,millions,AUD,
FY2020,2046.058,,,,99.672,4.9,370.377,23.837,1.2,0.035,306.539,235.854,70.685,1399.754,2742.894,1343.14,883.857,327.491,690.462,4.707,,,,,,millions,AUD,
H1 FY2021,1056.18,,,,-16.52,-1.6,117.96,-65.404,-6.2,-0.093,134.183,134.497,-0.314,1319.996,2512.153,1192.157,759.676,219.532,,-0.562,,,,,,millions,AUD,
FY2021,2087.542,,,,14.763,0.7,276.296,-55.14,-2.6,-0.078,296.263,278.619,17.644,1302.706,2497.465,1194.759,767.999,264.741,703.365,2.033,,,,,,millions,AUD,
H1 FY2022,1192.448,,,,67.03,5.6,202.807,24.577,2.1,0.034,130.466,220.943,-90.477,1315.931,2559.28,1243.349,781.436,258.945,,,,,,,,millions,AUD,
FY2022,2437.656,,,,126.241,5.2,405.403,40.658,1.7,0.057,341.302,467.937,-126.635,1322.36,2789.274,1466.914,901.857,348.519,708.531,4.591,,,,,,millions,AUD,
H1 FY2023,1438.51,,,,111.927,7.8,273.392,39.661,2.8,0.056,158.427,165.185,-6.758,1365.876,2759.367,1393.491,888.947,322.471,,,,,,,,millions,AUD,
FY2023,2880.136,,,,227.142,7.9,544.786,95.739,3.3,0.134,398.12,373.921,24.199,1426.291,2823.374,1397.083,806.362,307.36,715.59,12.486,,,,,,millions,AUD,
H1 FY2024,1632.163,,,,135.542,8.3,321.843,64.791,4.0,0.077,171.901,198.778,-26.877,1774.884,3305.484,1530.6,950.803,356.736,,,,,,,,millions,AUD,
FY2024,3342.02,,,,246.396,7.4,624.981,95.476,2.9,0.105,487.791,335.154,152.637,1788.383,3355.798,1567.415,928.604,459.136,907.699,8.432,,,,,,millions,AUD,
H1 FY2025,1730.356,,,,128.772,7.4,319.238,56.276,3.3,0.059,151.279,170.59,-19.311,1798.649,3266.904,1468.255,863.252,265.194,,,,,,,,millions,AUD,
FY2025,3489.546,,,,285.339,8.2,665.936,120.615,3.5,0.126,510.098,310.453,199.645,1869.121,3325.839,1456.718,786.044,481.322,960.97,9.546,,,3352.039,,,millions,AUD,
H1 FY2026,1728.68,,,,131.833,7.6,308.615,58.342,3.4,0.061,132.006,170.653,-38.647,1913.982,3164.736,1250.754,660.481,275.149,,,,,,,,millions,AUD,
FY2026,3338.18,,,,238.882,7.2,558.165,18.762,0.6,0.02,443.997,348.726,95.271,1829.688,3126.631,1296.943,571.309,322.524,959.871,9.404,,,3338.18,,,millions,AUD,336.688
