Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,FinanceReceivables
FY2020,332.174,-135.003,197.171,59.4,,,,20.953,6.3,0.24350000000000002,-0.032,19.245,-19.277,223.055,708.392,485.337,350.364,,86.0555,,,,,,,millions,NZD,
FY2021,296.512,-116.036,180.476,60.9,,,,26.864,9.1,0.314,10.878,8.641,2.237,233.57,718.451,484.881,339.611,11.867,85.5514,,,,,,,millions,NZD,377.0
FY2022,342.029,-153.173,188.856,55.2,,,,31.281,9.1,0.3639,-43.941,16.121,-60.062,252.397,825.693,573.296,412.761,13.373,85.9686,,,,,,,millions,NZD,422.87
FY2023,389.027,-173.986,215.041,55.3,,,,32.566,8.4,0.3764,68.317,44.177,24.14,270.413,852.814,582.401,412.035,11.845,86.5183,,,,,,,millions,NZD,424.621
FY2024,416.145,-177.175,238.97,57.4,,,,32.966,7.9,0.3771,29.671,18.641,11.03,278.224,865.658,587.434,425.318,17.523,87.4233,,,,,,,millions,NZD,430.299
FY2025,412.904,-167.501,245.403,59.4,,,,38.587,9.3,0.4337,33.457,32.136,1.321,298.493,917.772,619.279,446.059,22.039,88.9786,,,,,,,millions,NZD,447.218
H1 FY2026,219.0,,,,,,,21.9,10.0,0.242,,,,306.0,970.7,664.5,497.0,20.4,,,,,,,,millions,NZD,492.9
FY2026,450.171,-189.066,261.105,58.0,,,,38.172,8.5,0.4217,-74.981,41.7,-116.681,317.866,1070.585,752.719,586.322,20.243,90.5225,,,,,,,millions,NZD,566.023
