Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,DividendsPaid,RnDExpenses,LicensingRevenue
FY2016,64.0,23.6,36.8,-9.0,-14.0,,,-13.3,-20.7,-0.48,,28.2,23.2,28.1,96834838,,,1.8
H1 FY2017,29.8,10.8,36.1,-8.4,-28.2,,,-11.0,-36.9,-0.40,-10.3,18.1,22.0,16.1,96834838,,,,
FY2017,69.2,26.0,37.6,-14.8,-21.4,,,-18.4,-26.6,-0.19,,19.5,23.4,16.0,96834838,,,,
H1 FY2018,36.6,14.3,39.1,-6.7,-18.3,,,-6.9,-18.8,-0.07,-7.7,13.3,23.2,7.2,96834838,,,,
FY2018,80.1,34.2,42.7,-10.1,-12.6,,,-12.7,-15.9,-0.13,,7.3,30.7,6.8,100164838,,,,
H1 FY2019,38.0,17.8,46.7,-0.1,-0.3,,,-4.2,-11.0,,-2.2,3.0,41.9,7.4,100164838,,,,
FY2019,85.1,40.7,47.8,6.1,7.2,,,-2.4,-2.9,-0.03,,5.1,41.8,6.9,100164838,,,1.2
H1 FY2020,46.9,21.3,45.5,13.7,29.2,,,9.9,21.1,0.10,6.1,14.6,45.8,7.3,100164838,,,,
FY2020,105.6,48.3,45.7,21.2,20.1,,,12.7,12.0,0.12,14.8,17.3,43.2,6.1,100164838,,,3.8
H1 FY2021,48.8,20.3,41.6,2.4,5.0,,,1.2,2.4,0.01,-2.7,29.9,40.1,5.9,104697260,,,,
FY2021,113.1,48.7,43.1,10.7,9.5,,,7.8,6.9,0.07,0.7,36.6,38.4,3.2,104697260,,,2.1
H1 FY2022,55.5,26.7,48.1,5.5,9.9,,,4.2,7.6,0.04,6.6,41.1,38.5,5.9,104697260,,2.8,
FY2022,130.3,61.8,47.4,20.4,15.6,21.5,19.8,15.2,0.19,13.8,62.3,37.2,7.9,104866260,,5.5,6.7
H1 FY2023,65.8,28.7,43.6,3.5,5.3,4.5,1.5,2.4,0.01,5.9,64.0,38.2,8.8,104866260,,2.8,
FY2023,156.6,73.0,46.6,19.7,12.6,21.4,10.7,6.8,0.10,11.4,73.3,34.7,4.7,104866260,0.0,5.6,1.2
H1 FY2024,83.6,35.9,43.0,3.3,3.9,4.1,1.8,2.2,0.02,7.4,73.9,36.8,6.2,104866260,1.2,3.5,
FY2024,195.4,88.3,45.2,24.2,12.4,26.2,15.6,8.0,0.15,28.7,87.8,28.2,12.0,104866260,1.2,8.1,8.5
H1 FY2025,86.7,36.2,41.7,-1.8,-2.1,-0.7,-2.5,-2.8,-0.02,4.2,83.5,29.6,10.7,104866260,1.7,5.3,
FY2025,208.0,91.7,44.1,17.6,8.5,20.9,11.4,5.5,0.11,12.9,97.1,25.6,11.1,104866260,1.7,11.5,
H1 FY2026,114.9,49.7,43.2,4.7,4.1,6.6,2.7,2.4,0.03,0.4,98.0,33.0,12.1,104866260,1.9,6.1,
FY2026,254.7,110.6,43.4,24.4,9.6,28.8,14.1,5.5,0.14,-19.3,110.3,48.9,10.2,104866260,1.9,11.1,3.1
