Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NormalisedNPAT,Employees,NormalisedEBIT,NormalisedEBITDA,RevenueAustralia,RevenueNewZealand,RevenueOther,RevenueUnitedKingdom
FY2015,426.218,249.268,176.95,41.5,21.234,5.0,81.734,-16.183,-3.8,-0.053,43.505,5.062,38.443,305.894,551.178,245.284,125.0,33.043,306.858,,0.06,,,,,millions,AUD,45.157,665.0,72.764,81.734,,,,
H1 FY2016,220.163,130.584,89.579,40.7,36.817,16.7,,23.759,10.8,0.0852,8.558,0.722,7.836,307.698,510.859,203.161,120.0,35.696,,,,,,,,millions,AUD,,,,,,,,
FY2016,439.666,259.924,179.742,40.9,78.265,17.8,84.25,53.681,12.2,0.19699999999999998,54.924,3.628,51.296,307.698,510.859,203.161,120.0,35.696,274.187,,0.16,,,,,millions,AUD,51.92,629.0,78.265,84.25,,,,
H1 FY2017,223.432,131.542,91.89,41.1,39.246,17.6,39.8,26.002,11.6,0.09849999999999999,22.887,1.495,21.392,313.511,513.72,200.209,115.0,27.146,263.948,,,,,,,millions,AUD,,,,,,,,
FY2017,446.332,260.361,185.971,41.7,80.594,18.1,78.423,53.671,12.0,0.203,57.171,5.281,51.89,320.603,518.264,197.661,112.0,36.36,265.46,,0.165,,,,,millions,AUD,49.251,,74.301,78.423,,,,
H1 FY2018,227.095,133.792,93.303,41.1,41.765,18.4,42.2,27.732,12.2,0.1051,26.495,2.773,23.722,324.688,524.234,199.546,115.0,38.159,263.948,,,,,,,millions,AUD,,,,,,,,
FY2018,359.281,205.212,154.069,42.9,76.242,21.2,80.171,54.252,15.1,0.20600000000000002,39.158,12.475,26.683,333.401,535.993,202.592,125.0,27.86,265.463,,0.18,,,,,millions,AUD,50.139,,76.242,80.171,,,,
H1 FY2019,182.647,104.415,78.232,42.8,38.74,21.2,39.3,75.987,41.6,0.28800000000000003,31.885,0.769,31.116,382.466,464.755,82.289,25.0,32.875,263.948,,,,,,,millions,AUD,,,,,,,,
FY2019,381.73,219.015,162.715,42.6,69.38,18.2,92.986,94.044,24.6,0.35600000000000004,67.63,4.326,63.304,373.793,631.319,257.526,177.759,39.637,265.267,,0.185,,,,,millions,AUD,50.839,,78.117,92.986,,,,
H1 FY2020,206.272,120.022,86.25,41.8,38.099,18.5,48.05,23.591,11.4,0.08900000000000001,26.652,6.819,19.833,367.36,690.249,322.889,185.495,33.759,263.948,,,,,,,millions,AUD,,,39.1,,,,,
