Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
Q2 2023,708.025,168.74,539.285,76.17,-73.243,-10.34,-68.172,-34.942,-4.94,-0.05,62.719,0.81,61.909,2693.082,3201.796,508.714,0.0,1179.852,674.28,169.63,,millions,USD
Q3 2023,763.203,170.998,592.2049999999999,77.59,-4.999,-0.66,-0.097,6.733,0.88,0.01,108.505,0.98,107.52499999999999,2806.642,3304.582,497.94,0.0,1168.419,687.101,171.881,,millions,USD
FY2023,3055.071,688.76,2366.3109999999997,77.46,-125.678,-4.11,-104.169,-35.61,-1.17,-0.05,612.961,8.063,604.898,3090.68,3594.405,503.725,0.0,1361.936,674.641,647.86,,millions,USD
Q1 2024,739.983,181.091,558.8919999999999,75.53,-54.416,-7.35,-49.555,-24.812,-3.35,-0.04,356.146,12.113,344.033,3143.842,3666.719,522.877,0.0,1632.149,678.819,162.473,,millions,USD
H1-2024,1593.663,365.947,1227.716,77.04,-75.857,-4.76,-66.076,-15.925,-1.0,-0.02,462.572,16.897,445.675,3198.053,3747.516,549.463,0.0,1376.681,680.995,358.906,,millions,USD
Q2 2024,853.68,184.856,668.824,78.35,-21.441,-2.51,-16.521,8.887,1.04,0.01,106.426,4.784,101.642,3198.053,3747.516,549.463,0.0,1376.681,708.258,196.433,,millions,USD
Q3 2024,898.373,187.453,710.9200000000001,79.13,-5.916,-0.66,-0.495,30.556,3.4,0.04,248.027,3.916,244.111,2893.879,3491.133,597.254,0.0,1035.565,695.483,207.976,,millions,USD
FY2024,3646.166,750.355,2895.811,79.42,179.817,4.93,201.083,1862.106,51.07,2.67,964.594,24.606,939.988,4751.154,5342.66,591.506,0.0,1136.46,698.376,765.795,,millions,USD
Q1 2025,854.988,199.27,655.7180000000001,76.69,-35.477,-4.15,-29.629,8.922,1.04,0.01,363.706,7.289,356.41700000000003,4688.469,5282.696,594.227,0.0,1252.31,689.358,187.426,,millions,USD
H1-2025,1853.215,402.279,1450.936,78.29,-39.807,-2.15,-27.869,47.677,2.57,0.07,571.399,18.299,553.1,4811.953,5402.987,591.034,0.0,1216.941,689.598,414.66,,millions,USD
Q2 2025,998.227,203.009,795.218,79.66,-4.33,-0.43,1.76,38.755,3.88,0.06,207.693,11.01,196.68300000000002,4811.953,5402.987,591.034,0.0,1216.941,689.837,227.234,,millions,USD
Q3 2025,1049.205,212.325,836.8799999999999,79.76,58.516,5.58,65.721,92.108,8.78,0.13,321.652,3.231,318.421,4824.968,5515.41,690.442,0.0,1132.4,694.532,235.136,,millions,USD
FY2025,4221.767,841.521,3380.246,80.07,319.883,7.58,345.034,416.855,9.87,0.61,1284.264,32.375,1251.889,4745.238,5492.132,746.894,0.0,969.342,687.771,880.463,,millions,USD
Q1 2026,1007.514,238.552,768.962,76.32,-80.292,-7.97,-71.466,-73.587,-7.3,-0.12,328.023,16.341,311.682,2850.584,4645.279,1794.695,980.169,378.077,636.586,231.446,,millions,USD
H1-2026,2187.168,495.906,1691.2620000000002,77.33,-135.49,-6.19,-114.879,-120.256,-5.5,-0.2,620.908,39.293,581.615,2893.898,4759.378,1865.48,981.128,422.484,599.629,555.963,,millions,USD
Q2 2026,1179.654,257.354,922.3,78.18,-55.198,-4.68,-43.413,-46.669,-3.96,-0.08,292.885,22.952,269.933,2893.898,4759.378,1865.48,981.128,422.484,562.913,324.517,,millions,USD
