Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,UnderlyingProfit,AverageCapitalInvested,IPEPExpense,ReturnOnCapitalInvested
H1 FY2016,2752.2,,,,462.7,16.8,,290.9,10.6,18.5,635.7,557.1,78.6,2726.7,7708.6,4981.9,2895.6,237.7,1572.4,,,,,,,millions,USD,,,,
H1 FY2017,2744.7,,,,330.4,12.0,,146.2,5.3,9.2,582.3,576.6,5.7,2838.5,7587.3,4748.8,2679.0,203.4,1589.1,,,,,,,millions,USD,,,,
FY2018,4470.3,,,,778.7,17.4,1243.0,692.7,15.5,43.5,1423.0,1157.9,265.1,2778.4,7827.6,5049.2,2488.3,180.2,1591.2,15.9,,,,,,millions,USD,826.1,4115.4,,20.0
FY2019,4595.3,,,,740.9,16.1,1225.2,1467.7,31.9,92.1,1338.4,1230.0,108.4,3808.2,7730.3,3922.1,2200.2,1691.3,1593.4,17.1,,,,,,millions,USD,803.7,4130.6,,19.0
H1 FY2021,2565.5,,,,465.0,18.1,,293.6,11.4,19.7,719.8,487.3,232.5,2838.3,7497.1,4658.8,1931.5,559.8,1490.4,9.8,10.0,,,,,millions,USD,,,,
H1 FY2022,2766.4,,,,481.2,17.4,945.6,304.5,11.0,21.2,724.9,794.3,-69.4,2504.9,7553.7,5048.8,1984.1,194.0,1431.7,13.0,,,,,,millions,USD,,,,
FY2022,5519.8,,,,930.0,16.8,1841.5,593.3,10.7,41.9,1585.8,1672.1,-86.3,2451.1,7931.7,5480.6,2162.1,158.2,1415.7,28.3,,,,,,millions,USD,930.0,,232.0,
H1 FY2023,2931.5,,,,548.8,18.7,1046.0,331.1,11.3,24.0,852.9,934.3,-81.4,2618.7,8353.5,5734.8,2398.1,196.3,1387.1,11.1,,,,,,millions,USD,,,146.3,
FY2023,6076.8,,,,1067.0,17.6,2082.2,703.3,11.6,50.7,1991.1,1684.5,306.6,2870.0,8718.5,5848.5,2154.9,160.7,1388.0,27.5,,,,,,millions,USD,1067.0,5763.6,285.1,18.5
H1 FY2024,3281.8,,,,664.7,20.3,1194.5,391.3,11.9,28.2,854.9,660.8,194.1,3125.6,8772.5,5646.9,2199.7,195.1,1390.4,15.1,,,,,,millions,USD,,,139.6,
FY2024,6545.4,,,,1262.2,19.3,2249.7,779.9,11.9,56.1,1804.4,1149.1,655.3,3227.1,8731.1,5504.0,1771.5,112.9,1391.4,31.2,,,,,,millions,USD,1262.2,6133.9,,20.6
H1 FY2025,3371.7,,,,717.9,21.3,1193.1,446.2,13.2,32.1,823.0,487.6,335.4,3177.0,8454.4,5277.4,1825.9,126.7,1390.2,17.2,19.0,,,,,millions,USD,,6254.2,68.5,23.0
FY2025,6669.7,,,,1371.8,20.6,2288.4,896.0,13.4,64.8,1833.0,957.2,875.8,3350.2,9569.0,6218.8,2292.4,608.9,1383.1,31.3,,,,,,millions,USD,1371.8,,,
H1 FY2026,3533.5,,,,792.0,22.4,1301.5,510.8,14.5,37.4,964.1,568.4,395.7,3413.6,9095.2,5681.6,1973.2,167.3,1364.2,18.0,23.0,,,,,millions,USD,792.0,6524.0,72.3,24.3
