Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NetIncomeContinuing,NetIncomeContinuingRepresented,NetIncomeDiscontinued
H1 FY2016,244.008,,,,90.14,36.9,,64.386,26.4,1.391,41.576,4.912,36.664,595.372,1111.668,516.296,87.0,240.211,46.29,,,,,,,millions,AUD,,,
FY2016,507.729,,,,186.121,36.7,,132.005,26.0,2.843,149.785,17.272,132.513,605.519,1153.309,547.79,87.0,278.23,46.432,11.345,,,,,,millions,AUD,,,
H1 FY2017,255.472,,,,93.637,36.7,,66.035,25.8,1.415,42.295,8.335,33.96,618.299,1110.615,492.316,87.0,256.514,46.67,,,,,,,millions,AUD,,,
FY2017,520.881,,,,192.176,36.9,,137.293,26.4,2.939,158.382,12.467,145.915,634.381,1171.545,537.164,87.0,323.487,46.714,12.718,,,,,,millions,AUD,,,
H1 FY2018,269.267,,,,97.844,36.3,,68.051,25.3,1.455,30.588,5.354,25.234,647.059,1142.8,495.741,87.0,270.148,46.77,5.699,,,,,,millions,AUD,,,
FY2018,538.845,,,,193.93,36.0,,140.227,26.0,2.995,144.273,15.907,128.366,661.134,1245.479,584.345,87.0,320.237,46.82,10.435,,,,,,millions,AUD,,,
H1 FY2019,255.126,,,,86.716,34.0,,60.201,23.6,1.282,45.158,12.614,32.544,660.679,1189.96,529.281,87.0,279.76,46.96,8.199,,,,,,millions,AUD,,,
FY2019,519.405,,,,164.949,31.8,,115.929,22.3,2.463,132.68,20.002,112.678,662.239,1152.268,490.029,87.0,299.587,47.068,14.368,,,,,,millions,AUD,,,
H1 FY2020,254.836,,,,75.416,29.6,,51.568,20.2,1.092,64.18,3.017,61.163,663.936,1205.158,541.222,0.0,261.723,47.22,6.409,,,,,,millions,AUD,,,
FY2020,491.297,,,,120.633,24.6,,81.999,16.7,1.728,149.831,13.616,136.215,654.336,1169.15,514.814,0.0,164.143,47.453,12.782,,,,,,millions,AUD,,,
H1 FY2021,285.837,,,,50.976,17.8,,29.179,10.2,0.53,23.675,9.304,14.371,906.132,1665.26,759.128,219.416,172.101,55.05,5.868,,,,,,millions,AUD,,,
FY2021,652.075,,,,116.781,17.9,,74.869,11.5,1.332,128.744,21.964,106.78,912.468,1624.55,712.082,166.025,147.066,56.208,12.325,,,,,,millions,AUD,,,
H1 FY2022,383.6,,,,90.4,23.6,,59.3,15.5,1.036,35.4,7.0,28.4,919.3,1705.5,786.2,248.1,130.9,57.24,6.5,,,,,,millions,AUD,,,
FY2022,749.6,,,,146.5,19.5,,101.2,13.5,1.765,170.8,15.0,155.8,925.8,1746.5,820.7,258.4,175.4,57.34,13.4,,,,,,millions,AUD,,,
H1 FY2023,393.2,,,,58.5,14.9,,26.8,6.8,0.461,-1.6,10.7,-12.3,882.3,1704.6,822.3,277.0,133.6,58.13,6.9,,,,,,millions,AUD,,,
FY2023,1034.1,,,,133.9,12.9,,59.0,5.7,0.711,134.8,25.4,109.4,2372.0,3942.0,1570.0,734.4,263.2,82.98,39.2,,,,,,millions,AUD,,,
H1 FY2024,671.3,,,,87.9,13.1,,34.5,5.1,0.299,82.6,14.3,68.3,2255.3,3824.6,1569.3,713.7,189.5,115.38,27.0,,,,,,millions,AUD,,,
FY2024,1357.5,,,,-388.6,-28.6,,-472.2,-34.8,-4.09,296.4,31.8,264.6,1741.1,3399.2,1658.1,679.0,221.3,112.22,44.6,,,,,,millions,AUD,,,
H1 FY2025,693.0,,,,67.5,9.7,,12.0,1.7,0.106,20.7,7.0,13.7,1788.0,3629.0,1841.0,835.8,271.3,113.2,15.2,,,,,,millions,AUD,,,
FY2025,1390.5,,,,19.2,1.4,,-58.2,-4.2,-0.521,217.1,20.7,196.4,1646.6,3417.8,1771.2,735.8,343.2,111.625,26.1,,,1154.9,,,millions,AUD,,-92.2,
H1 FY2026,704.1,,,,96.9,13.8,,53.9,7.7,0.465,56.8,8.9,47.9,1611.4,3350.2,1738.8,742.0,325.6,115.9,11.6,,,,,,millions,AUD,,,
FY2026,1156.3,,,,94.8,8.2,,88.9,7.7,0.762,272.3,15.8,256.5,1542.0,3277.5,1721.3,627.5,330.2,116.675,20.4,,,1156.3,,,millions,AUD,59.1,,29.8
