Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2018,,,,,,,,,,,,,,-68.422,,,,,,,,millions,USD
FY2019,442.659,116.327,,,,,,-239.697,-54.1,-4.02,-54.733,37.59,-92.32300000000001,-339.062,,,,499.486,65.619361,60.936,,millions,USD
H1-2020,193.254,74.065,,,,,,-98.559,-51.0,-1.68,394.925,8.831,386.094,,,,,,70.768457,43.23,,millions,USD
Q2 2020,114.952,41.408,,,,,,7.808,6.8,-0.03,,,,,,,,,72.147293,23.545,,millions,USD
Q3 2020,200.787,51.821,,,,,,-42.878,-21.4,-0.7,-0.005,,,,,,,,75.320032,26.551,,millions,USD
H2-2020,372.278,125.886,,,-0.663611,,,-0.646393,-0.2,-2.38,-1.286224,,,,,,,,72.296724,69.781,,millions,USD
FY2020,565.532,178.896,,,,,,-224.053,-39.6,-4.3,-479.336,24.549,-503.885,-120.115,8563.499,5509.928,4798.925,872.582,73.851108,99.87,,millions,USD
Q1 2021,195.984,57.57,,,-5.289511,,,-177.564,-90.6,-1.61,340.051,7.445,332.606,,,,,,116.152593,37.454,,millions,USD
H1-2021,427.258,118.194,,,,,,-342.878,-80.3,-1.5,82.608,26.808,55.800000000000004,,,,,,241.282003,89.608,,millions,USD
Q2 2021,231.274,60.624,,,,,,-165.314,-71.5,-0.48,,,,,,,,,365.036365,52.154,,millions,USD
Q3 2021,272.006,69.591,,,,,,-30.047,-11.0,-0.05,,,,,,,,,800.56583,72.681,,millions,USD
H2-2021,557.614,187.785,,,,,,-372.925,-66.9,-0.94,-113.928,,,,,,,,429.750486,162.289,,millions,USD
FY2021,984.872,256.98,,,,,,-483.937,-49.1,-1.0,-1350.217,52.261,-1402.478,4377.329,9176.326,4478.623,3947.983,494.711,526.730261,239.011,,millions,USD
Q1 2022,330.344,70.437,,,,,,-110.357,-33.4,-0.14,-1011.224,25.114,-1036.338,,,,,,852.853596,77.021,,millions,USD
H1-2022,692.871,149.528,,,,,,-206.192,-29.8,-0.26,-1956.723,47.017,-2003.74,,,,,,881.608165,157.163,,millions,USD
Q2 2022,362.527,79.091,,,,,,-95.835,-26.4,-0.12,,,,,,,,,910.04675,80.142,,millions,USD
Q3 2022,423.985,83.083,,,,,,-74.209,-17.5,-0.09,,,,,,,,,916.762973,77.855,,millions,USD
H2-2022,880.664,232.611,,,,,,-280.401,-31.8,-0.35,-4837.023,,,,,,,,893.455206,235.018,,millions,USD
FY2022,1573.535,313.226,,,,,,-320.407,-20.4,-0.4,-7255.858,93.201,-7349.059,5208.102,19007.675,13479.199,5485.882,1421.907,900.886,305.994,0.0,millions,USD
