Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,FCFA2S,AdjEBITA,MaintenanceRevenue,LicenseRevenue,ProfServicesRevenue,HardwareRevenue,Notes
Q1 2015,422.9,,,,,,,32.9,7.8,1.55,112.6,2.1,110.5,,,,,131.8,21.192,,,millions,USD,,93.4,268.8,30.3,92.7,31.0,USD millions; all figures in USD; CFO=operating CF; CapEx=property purchased
Q2 2015,443.5,,,,,,,32.7,7.4,1.54,64.2,3.4,60.8,,,,,,21.192,,,millions,USD,,99.0,,,,,Q2 CFO = H1 176.8 minus Q1 112.6
Q3 2015,460.4,,,,,,,45.7,9.9,2.16,105.1,2.8,102.3,,,,,,21.192,,,millions,USD,,120.3,,,,,Q3 CFO = 9M 281.9 minus H1 176.8
Q4 2015,511.6,,,,,,,66.0,12.9,3.11,114.0,4.6,109.4,337.3,1639.3,,355.1,178.5,21.192,,,millions,USD,,132.8,,,,,Q4 CFO = FY 395.9 minus 9M 281.9; Q4 CapEx = FY 12.9 minus 9M 8.3
FY2015,1838.3,,,,,,,177.2,9.6,8.36,395.9,12.9,383.0,337.3,1639.3,,355.1,178.5,21.192,,,millions,USD,,445.5,1169.8,131.0,384.6,152.9,Full year; Debt=CNH Facility 135.1 + Debentures 220.0
Q1 2016,487.0,,,,,,,18.7,3.8,0.88,146.5,3.2,143.3,,,,,,21.192,,,millions,USD,,107.5,,,,,
Q2 2016,528.7,,,,,,,55.0,10.4,2.60,72.8,6.5,66.3,,,,,,21.192,,,millions,USD,,130.7,,,,,Q2 CFO = H1 219.3 minus Q1 146.5
Q3 2016,545.6,,,,,,,67.5,12.4,3.18,137.9,3.9,134.0,,,,,,21.192,,,millions,USD,,140.7,,,,,Q3 CFO = 9M 357.2 minus H1 219.3
Q4 2016,563.8,,,,,,,65.7,11.7,3.10,133.7,5.5,128.2,457.5,1883.5,,344.0,353.5,21.192,,,millions,USD,,151.4,,,,,Q4 CFO = FY 490.9 minus 9M 357.2; Debt=CNH 115.3+Deb 224.0+TSS 54.1 (excl TSS)=339
FY2016,2125.1,,,,,,,206.8,9.7,9.76,490.9,19.1,471.8,457.5,1883.5,,344.0,353.5,21.192,,,millions,USD,,530.0,1400.3,142.5,434.5,147.8,Full year; Debt=CNH Facility 115.3 + Debentures 223.9
Q1 2017,555.3,,,,,,,40.4,7.3,1.91,182.0,4.4,177.6,,,,,,21.192,,,millions,USD,,130.6,,,,,
Q2 2017,600.1,,,,,,,51.2,8.5,2.41,60.4,4.5,55.9,,,,,,21.192,,,millions,USD,,154.6,,,,,Q2 CFO = H1 242.4 minus Q1 182.0
Q3 2017,636.5,,,,,,,54.3,8.5,2.56,122.8,5.5,117.3,,,,,,21.192,,,millions,USD,,161.6,,,,,Q3 CFO = 9M 365.2 minus H1 242.4
Q4 2017,687.6,,,,,,,76.1,11.1,3.59,162.6,5.3,157.3,604.1,2288.2,,323.1,489.0,21.192,,,millions,USD,,174.5,,,,,Q4 CFO = FY 527.8 minus 9M 365.2; Debt=TSS Memb 86.6 + Deb 236.5
FY2017,2479.4,,,,,,,222.0,9.0,10.47,527.8,19.7,508.1,604.1,2288.2,,323.1,489.0,21.192,,,millions,USD,,621.2,1643.2,170.4,498.2,167.6,Full year; Debt=TSS Membership 86.6 + Debentures 236.5
Q1 2018,718.5,,,,,,,82.5,11.5,3.90,258.0,4.4,253.6,,,,,,21.192,,,millions,USD,,158.6,,,,,FCFA2S not yet reported in early 2018 format
Q2 2018,752.0,,,,,,,52.0,6.9,2.45,53.0,4.5,48.5,,,,,,21.192,,,millions,USD,,175.4,,,,,
Q3 2018,759.1,,,,,,,65.7,8.7,3.10,143.0,5.5,137.5,,,,,,21.192,,,millions,USD,,196.6,,,,,
