Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AFFO,AFFOPerShare,DistributionPerSecurity,NetTangibleAssetsPerSecurity,DistributionDeclared,FFO,FFOPerSecurity
H1 FY2016,667.3,,,,,,,424.6,63.6,0.1071,367.1,223.1,144.0,10664.2,16069.4,5405.2,4716.7,119.9,3964.5,,,,,,,millions,AUD,,,,,,,
FY2016,1341.8,,,,,,,960.9,71.6,0.2425,741.8,425.6,316.2,10849.0,15849.5,5000.5,3942.2,52.8,3962.5,,,,,,,millions,AUD,,,,,,,
H1 FY2017,642.8,,,,,,,908.8,141.4,0.2293,347.3,228.0,119.3,11411.8,16118.4,4706.6,3743.8,79.6,3963.4,,,,,,,millions,AUD,,,,,,,
FY2017,1311.5,,,,,,,1583.6,120.7,0.3995,731.2,405.5,325.7,11747.7,16658.8,4911.1,3893.7,42.2,3964.0,,0.173,,,,,millions,AUD,,,0.173,2.82,,,0.18
H1 FY2018,665.6,,,,,,,755.9,113.6,0.1928,334.4,212.7,121.7,11960.2,17232.0,5271.8,4343.5,45.4,3920.6,,,,,,,millions,AUD,,,,,,,
FY2018,1335.3,,,,,,,1218.7,91.3,0.3125,706.1,405.1,301.0,12107.5,17481.6,5374.1,4437.6,42.1,3899.8,,0.163,,,,,millions,AUD,,,0.163,2.97,,,0.182
H1 FY2019,661.6,,,,,,,235.3,35.6,0.0609,341.3,212.1,129.2,11930.9,16995.6,5064.7,4153.5,57.9,3863.7,,,,,,,millions,AUD,,,,,,,
FY2019,1286.5,,,,,,,346.1,26.9,0.0902,662.1,414.5,247.6,11589.1,16993.6,5404.5,4436.1,34.9,3837.0,,0.159,,,,,millions,AUD,,,0.159,2.92,,,0.18
H1 FY2020,637.8,,,,,,,242.8,38.1,0.0644,327.2,207.0,120.2,11504.7,17009.2,5504.5,4471.9,53.7,3770.2,,,,,,,millions,AUD,,,,,,,
FY2020,1216.3,,,,,,,-1801.0,-148.1,-0.473,472.0,333.3,138.7,10559.6,15239.4,4679.8,3929.8,227.4,3807.6,,0.077,,,,,millions,AUD,,,0.077,2.29,,,0.137
H1 FY2021,583.2,,,,,,,-394.1,-67.6,-0.0866,308.2,72.2,236.0,10044.0,14391.5,4347.5,3384.6,66.7,4550.8,,,,,,,millions,AUD,,,,,,,
FY2021,1169.2,,,,,,,-258.0,-22.1,-0.0567,646.8,161.6,485.2,9881.3,14297.8,4416.5,3281.9,47.2,4550.3,,0.1,,,,,millions,AUD,,,0.1,2.13,,,0.123
H1 FY2022,583.4,,,,,,,650.2,111.5,0.1426,241.3,109.1,132.2,10532.5,15170.7,4638.2,3882.6,58.2,4559.6,,,,,,,millions,AUD,,,,,,,
FY2022,1182.4,,,,,,,1215.2,102.8,0.2664,589.5,254.6,334.9,10885.1,15552.6,4667.5,3752.5,55.6,4561.6,,0.104,,,,,millions,AUD,,,0.104,2.36,,,0.131
H1 FY2023,638.2,,,,,,,176.3,27.6,0.0386,333.5,169.8,163.7,10803.6,15623.6,4820.0,3898.5,51.9,4567.4,,,,,,,millions,AUD,,,,,,,
FY2023,1281.4,,,,,,,271.5,21.2,0.0595,702.2,334.7,367.5,10638.1,15584.6,4946.5,4073.5,192.9,4563.0,,0.12,,,,,millions,AUD,,,0.12,2.3,,,0.15
H1 FY2024,663.5,,,,,,,223.5,33.7,0.049,303.4,131.2,172.2,10579.8,15430.2,4850.4,4034.4,95.6,4561.2,,,,,,,millions,AUD,,,,,,,
FY2024,1326.3,,,,,,,547.1,41.3,0.1199,690.1,337.0,353.1,10638.9,15725.8,5086.9,4230.2,49.6,4563.0,,0.1175,,,,,millions,AUD,,,0.1175,2.3,,,0.146
H1 FY2025,669.7,,,,,,,492.6,73.6,0.1079,315.3,214.4,100.9,10861.2,16419.5,5558.3,4764.6,109.4,4565.3,,,,,,,millions,AUD,,,,,,,
FY2025,1330.1,,,,,,,1004.6,75.5,0.2199,651.0,435.1,215.9,11127.9,16342.5,5214.6,4458.1,80.7,4568.4,,0.12,,,,,millions,AUD,573.4,0.1259,0.12,2.4,546.9,673.8,0.1479
H1 FY2026,675.7,,,,,,,805.6,119.2,0.1754,325.6,252.1,73.5,11745.1,16933.3,5188.2,4469.5,55.7,4592.9,,,,,,,millions,AUD,,,,,,,
FY2026,1365.3,,,,,,,1391.2,101.9,0.3014,672.0,429.7,242.3,12145.2,17485.0,5339.8,4504.2,79.6,4615.8,,0.124,,,,,millions,AUD,600.2,0.1304,0.124,2.59,572.9,700.1,0.1521
