Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2017,122.9,51.6,71.4,58.1,12.7,10.3,16.4,9.2,7.5,0.15,15.1,7.9,7.2,57.2,76.4,19.3,0.0,11.7,59.649,0.1,0.165,millions,NZD
FY2017,239.0,98.3,140.7,58.9,23.8,10.0,31.4,17.3,7.2,0.29,29.2,12.1,17.1,58.5,85.1,26.7,0.0,12.6,59.649,0.1,0.31,millions,NZD
H1-2018,146.8,56.6,90.2,61.5,21.0,14.3,25.4,15.1,10.3,0.25,20.7,4.8,15.9,64.5,90.3,25.7,0.0,18.3,59.649,0.1,0.17,millions,NZD
FY2018,277.6,107.6,170.1,61.3,37.8,13.6,45.7,27.4,9.9,0.46,35.3,9.3,26.0,68.3,92.1,23.8,0.0,17.5,59.649,0.1,0.37,millions,NZD
H1-2019,151.2,61.0,90.2,59.7,22.4,14.8,26.6,16.0,10.6,0.27,15.4,9.7,5.7,67.8,92.0,24.3,0.0,9.2,59.649,0.1,0.24,millions,NZD
FY2019,287.6,115.0,172.6,60.0,39.2,13.6,47.7,29.0,10.1,0.49,36.0,20.2,15.8,75.0,104.6,29.6,0.0,16.5,59.649,0.1,0.44,millions,NZD
H1-2020,160.3,66.8,93.5,58.3,22.2,13.9,37.4,15.4,9.6,0.26,28.0,7.6,20.3,76.1,174.8,98.7,0.0,12.8,59.649,0.0,0.24,millions,NZD
FY2020,287.8,118.5,169.2,58.8,39.2,13.6,70.9,27.8,9.7,0.47,71.3,11.8,59.5,87.1,211.4,124.3,0.0,49.6,59.649,0.0,0.24,millions,NZD
H1-2021,182.0,79.1,102.8,56.5,29.2,16.1,46.8,19.8,10.9,0.33,27.9,2.0,25.9,82.9,191.5,108.6,0.0,36.4,59.649,0.0,0.39,millions,NZD
FY2021,350.8,149.5,201.2,57.4,49.3,14.0,84.4,33.3,9.5,0.56,61.4,7.9,53.5,89.2,199.5,110.3,0.0,39.2,59.649,0.1,0.62,millions,NZD
H1-2022,170.6,71.9,98.8,57.9,17.8,10.5,34.5,11.9,7.0,0.2,21.2,3.0,18.2,87.1,181.6,94.5,0.0,32.9,59.649,0.1,0.24,millions,NZD
FY2022,351.2,148.9,202.3,57.6,37.1,10.6,71.2,25.6,7.3,0.43,52.5,8.3,44.2,90.5,205.2,114.7,0.0,35.1,59.649,0.2,0.42,millions,NZD
H1-2023,223.3,97.1,126.2,56.5,30.6,13.7,48.9,20.8,9.3,0.35,35.0,7.9,27.1,93.3,201.8,108.5,0.0,36.2,59.649,0.1,0.24,millions,NZD
FY2023,409.7,174.9,234.8,57.3,47.8,11.7,85.9,32.0,7.8,0.54,68.0,14.8,53.2,96.3,202.6,106.2,0.0,32.5,59.649,0.1,0.48,millions,NZD
H1-2024,223.0,91.7,131.2,58.9,30.9,13.9,49.4,21.1,9.5,0.35,45.1,9.4,35.7,102.9,208.9,106.0,0.0,43.0,59.649,0.0,0.24,millions,NZD
FY2024,435.6,176.9,258.7,59.4,54.3,12.5,92.8,34.5,7.9,0.58,85.3,15.9,69.4,103.2,219.0,115.8,0.0,45.9,59.649,0.0,0.48,millions,NZD
H1-2025,240.0,99.7,140.3,58.5,31.1,13.0,51.1,21.2,8.8,0.35,42.2,8.6,33.6,110.7,220.0,109.3,0.0,49.9,59.649,0.0,0.265,millions,NZD
FY2025,470.7,191.5,279.3,59.3,61.0,13.0,101.7,39.5,8.4,0.66,88.6,15.8,72.8,111.9,231.2,119.3,0.0,58.3,59.649,0.0,0.51,millions,NZD
H1-2026,275.2,107.7,167.5,60.9,41.1,15.0,61.7,28.0,10.2,0.47,53.5,12.6,40.9,121.5,248.9,127.4,0.0,67.5,59.649,0.0,0.305,millions,NZD
