Period,Revenue,OperatingIncome,NetIncome,EPS,OperatingMargin,NetMargin,PaymentsVolume,ProcessedTransactions,CrossBorderVolumeGrowth,ClientIncentives,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,FreeCashFlow
FY2013,11971,7886,5438,2.14,65.9,45.4,3970,58.3,,4085,,,,2541,
FY2014,12702,8478,5438,2.09,66.7,42.8,4499,69.1,,4555,,,,2600,
FY2015,13880,9367,6328,2.53,67.5,45.6,5438,81.1,,5363,,,,2500,
FY2016,15082,10134,5991,2.50,67.2,39.7,6463,93.4,,6107,,,,2397,
FY2017,18358,12028,6699,2.80,65.5,36.5,7368,111.2,,7393,,,,2393,
FY2018,20609,12966,10301,4.42,62.9,50.0,8269,124.3,,7659,34503,16634,8539,2330,
FY2019,22977,14772,12080,5.32,64.3,52.6,9135,138.3,,8573,35502,16699,8989,2270,
FY2020,21846,14056,10866,4.94,64.3,49.7,8832,140.8,,7926,36210,21071,16289,2199,
Q1 FY2021,5691,3691,2977,1.36,64.9,52.3,,,,,,,,,
Q2 FY2021,5729,3800,3035,1.38,66.3,53.0,,,,,,,,,
Q3 FY2021,6148,4100,3384,1.49,66.7,55.0,,,,,,,,,
FY2021,24105,15827,12311,5.62,65.7,51.1,10065,164.8,,9139,37589,19978,16487,2190,
Q1 FY2022,6559,4597,3580,1.62,70.1,54.6,,,,,,,,,
Q2 FY2022,7189,4802,3647,1.60,66.8,50.7,,,,,,,,,
Q3 FY2022,7275,4148,3411,1.60,57.0,46.9,,,,,,,,,
FY2022,29310,18813,14957,7.00,64.2,51.0,12087,192.5,,10295,35581,20200,15689,2136,
Q1 FY2023,7936,5090,4179,1.99,64.1,52.7,,,,,,,,,
Q2 FY2023,7985,5336,4257,2.04,66.8,53.3,,,,,,,,,
Q3 FY2023,8123,5024,4156,2.00,61.9,51.2,,,,,,,,,
FY2023,32653,21000,17273,8.28,64.3,52.9,12984,212.6,,12297,38733,20463,16286,2085,19791
Q1 FY2024,8634,5954,4890,2.39,69.0,56.6,,,,,,,,,
Q2 FY2024,8775,5354,4663,2.29,61.0,53.1,,,,,,,,,
Q3 FY2024,8900,5938,4872,2.40,66.7,54.7,,,,,,,,,
FY2024,35926,23595,19743,9.73,65.7,55.0,12984,233.8,,13764,39137,20836,11975,2029,18693
Q1 FY2025,9510,6234,5119,2.58,65.6,53.8,,,,,,,,,
Q2 FY2025,9594,5435,4577,2.32,56.7,47.7,,,,,,,,,
Q3 FY2025,10172,6177,5272,2.69,60.7,51.8,,,,,,,,,
FY2025,40000,23994,20058,10.20,60.0,50.1,13782,257.5,,15751,37909,19602,17164,1966,21577
Q1 FY2026,10904,6422,5410,2.82,58.9,49.6,,,,,,,,,
