Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,HealthcareRevenue,AnimalCareRevenue
FY2015,6068.1,,,,172.6,,196.7,105.9,,70.8,133.8,,118.9,1051.0,,,426.1,109.5,149.7,,47.0,,NZD,5692.9,375.2
FY2016,7101.5,,,,200.8,,225.5,127.0,,84.0,224.1,,207.8,1087.3,,,367.6,120.3,151.1,,58.5,,NZD,6686.4,415.0
FY2017,7625.9,,,,208.6,,234.4,133.3,,87.8,143.9,,107.5,1152.4,,,596.7,162.2,151.8,,63.0,,NZD,6116.8,1509.1
FY2018,7609.5,,,,237.6,,272.4,149.6,,98.5,176.2,,115.6,1216.2,,,515.9,250.6,151.8,,71.0,,NZD,7197.6,411.9
FY2019,6930.4,,,,218.3,,250.4,136.7,,89.8,118.5,,85.5,1239.3,,,521.6,130.8,152.2,,50.0,,AUD,6548.3,382.0
FY2020,8765.5,,,,260.5,,333.6,161.5,,100.6,229.2,,205.0,1310.9,,,875.1,183.5,160.6,,55.0,,AUD,7045.4,1720.1
FY2021,9202.9,,,,290.7,,363.3,184.0,,113.2,298.3,,221.2,1659.3,,,1146.9,264.3,162.6,,61.0,,AUD,7355.2,1847.7
FY2022,10734.1,,,,323.9,,405.8,202.0,,114.5,248.7,,167.0,1918.8,,,1432.0,342.5,176.4,,66.0,,AUD,8636.6,2097.5
FY2023,12237.4,,,,444.0,,568.8,263.4,,132.9,391.4,,297.4,2303.4,,,1646.0,211.9,198.2,,76.0,,AUD,9901.5,2335.9
FY2024,13189.1,,,,476.7,,605.6,271.5,,141.3,348.2,,252.3,2451.0,,,1235.8,216.9,192.2,,86.0,,AUD,10647.8,2541.2
FY2025,12266.9,,,,408.7,,555.6,215.1,,109.7,418.5,,293.4,2739.6,,,1102.5,184.3,196.1,,118.5,,AUD,9447.3,2819.6
H1 FY2025,5991.4,,,,207.3,,275.8,110.5,,56.9,189.8,,126.0,2481.1,,,1302.6,237.9,194.7,,57.0,,AUD,5687.2,304.2
H1 FY2026,6767.7,,,,220.7,,302.7,124.8,,61.1,46.6,,-24.0,2751.4,,,1371.2,250.3,205.0,,57.0,,AUD,6316.7,451.0
