Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2016-Jun,430.0,-317.0,113.0,26.3,-15.0,-3.5,-12.0,-24.0,-5.6,-0.039,32.0,-5.0,27.0,180.0,289.0,109.0,64.0,2.0,409.0,,,millions,USD
FY2017-15mo,115.0,-90.0,25.0,21.7,11.0,9.6,15.0,-6.0,-5.2,-0.014,-3.0,-5.0,-8.0,160.0,268.0,108.0,51.0,31.0,425.0,,,millions,USD
FY2018-6moStub,35.4,-20.4,15.0,42.4,1.0,2.8,5.3,1.8,5.1,0.004,3.5,-3.0,0.5,152.0,215.0,63.0,26.0,29.0,488.0,,,millions,USD
FY2019,49.1,-32.0,17.1,34.8,-2.5,-5.1,6.2,-4.3,-8.8,-0.009,4.1,-7.4,-3.3,147.6,194.0,46.4,17.0,3.2,496.9,,,millions,USD
H1 FY2019,10.0,-8.0,2.0,20.0,-2.0,-20.0,2.0,-2.0,-20.0,-0.004,-3.0,-3.0,-6.0,149.0,203.0,54.0,25.0,13.0,488.0,,,millions,USD
FY2020,56.9,-37.2,19.7,34.6,-1.5,-2.6,8.0,-2.7,-4.7,-0.005,4.8,-9.4,-4.6,141.9,200.7,58.8,37.5,5.9,497.8,,,millions,USD
H1 FY2020,14.2,-11.2,3.0,21.1,-2.2,-15.5,2.1,-3.0,-21.1,-0.006,-2.4,-17.3,-19.7,143.5,206.3,62.8,39.0,5.4,498.6,,,millions,USD
FY2021,52.7,-34.5,18.2,34.5,4.6,8.7,14.8,3.2,6.1,0.006,9.9,-4.7,5.2,148.2,203.3,55.1,33.6,6.2,502.8,,,millions,USD
H1 FY2021,11.9,-9.2,2.7,22.7,4.6,38.7,8.8,4.0,33.6,0.008,3.4,-2.5,0.9,147.4,208.2,60.8,37.4,5.1,499.4,,,millions,USD
FY2022,47.6,-29.8,17.8,37.4,-1.3,-2.7,8.8,1.7,3.6,0.003,7.5,-4.6,2.9,151.4,192.1,40.7,26.7,15.2,503.5,,,millions,USD
H1 FY2022,4.6,-4.1,0.5,10.9,0.0,0.0,4.4,0.1,2.2,0.0,0.1,-1.9,-1.8,148.3,202.8,54.5,33.8,3.9,504.2,,,millions,USD
FY2023,56.1,-37.9,18.2,32.4,2.2,3.9,12.4,-2.5,-4.5,-0.005,6.5,-5.6,0.9,149.3,199.8,50.5,25.7,12.7,506.6,,,millions,USD
H1 FY2023,7.4,-5.6,1.8,24.3,-0.9,-12.2,4.1,-1.6,-21.6,-0.003,-2.4,-2.4,-4.8,149.8,191.3,41.5,25.9,8.4,503.7,,,millions,USD
FY2024,67.7,-43.7,24.0,35.5,-0.2,-0.3,11.4,-0.2,-0.3,-0.0004,11.7,-6.6,5.1,148.7,197.3,48.6,20.0,5.6,509.0,1.3,,millions,USD
H1 FY2024,13.2,-8.4,4.8,36.4,-0.8,-6.1,4.9,-0.1,-0.8,0.0,2.1,-2.9,-0.8,148.6,201.8,53.2,21.0,4.3,528.9,0.4,,millions,USD
FY2025,63.2,-45.0,18.2,28.8,-20.8,-32.9,-10.5,-21.5,-34.0,-0.041,2.7,-7.8,-5.1,124.6,175.5,50.9,24.4,3.5,507.929229,0.0,,millions,USD
H1 FY2025,12.8,-9.7,3.1,24.2,-2.5,-19.5,4.8,-2.1,-16.4,,-3.7,-3.5,-7.2,145.5,197.7,52.2,24.2,4.3,528.8,0.0,,millions,USD
FY2026,68.2,-48.4,19.8,29.0,-0.5,-0.7,7.9,-7.5,-11.0,-0.0148,3.7,-4.1,-0.4,118.8,174.4,55.6,27.3,2.2,506.043731,0.6,,millions,USD
H1 FY2026,14.2,-11.0,3.2,22.5,-0.9,-6.3,3.5,-0.6,-4.2,-0.0012,-5.4,-1.8,-7.2,125.5,187.2,61.7,34.0,3.6,,,,millions,USD
