Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,SegmentRevenueAPAC,SegmentRevenueAmericas,SegmentRevenueDistribution,SegmentRevenueEMEA,SegmentRevenueGlobalProduct
H1 FY2016,331.242,-220.302,110.94,33.492129621243684,46.053000000000004,13.903128226493017,50.701,30.833000000000002,9.308300275931192,0.237,-6.119,6.424,-12.543,246.89000000000001,405.353,158.463,35.706,38.749,130.095,,,,,,,millions,AUD,,,,,
FY2016,576.573,-385.52500000000003,191.048,33.13509304112402,73.732,12.787973075395483,83.412,50.172000000000004,8.701760228106416,0.386,52.289,13.789,38.5,246.005,369.967,123.962,23.849,59.978,130.095,0.646,,,,,,millions,AUD,,,,,
H1 FY2017,339.168,-227.447,111.721,32.939723087083685,49.142,14.488984809887727,54.228,33.726,9.943744692895555,0.259,23.894000000000002,9.243,14.651000000000002,264.468,431.319,166.851,31.346,64.048,130.095,,,,,,,millions,AUD,,,,,
FY2017,605.7330000000001,-409.057,196.67600000000002,32.469091167230445,79.02,13.04535166484243,89.789,53.834,8.887414091687262,0.414,62.672000000000004,19.322,43.35000000000001,259.609,417.519,157.91,35.841,77.124,130.095,0.228,,,,,,millions,AUD,,,,,
H1 FY2018,385.41,-247.68800000000002,137.722,35.7338937754599,55.199,14.32215043719675,61.515,36.346000000000004,9.43047663527153,0.279,-5.304,6.415,-11.719000000000001,275.508,507.3,231.792,94.83,94.821,130.095,,,,,,,millions,AUD,,,,,
FY2018,652.3480000000001,-420.088,232.26,35.603696186697896,86.909,13.32249044988258,100.211,58.519,8.970518802847558,0.45,88.652,19.465,69.187,283.235,445.349,162.114,45.324,103.316,130.095,1.231,,,,,,millions,AUD,,,,,
H1 FY2019,440.371,-282.1,158.27100000000002,35.94037754529704,62.338,14.155791366824792,70.498,43.518,9.882122119758113,0.335,-21.76,11.02,-32.78,309.615,533.227,223.612,65.728,66.158,130.095,,,,,,,millions,AUD,,,,,
FY2019,759.967,-488.767,271.2,35.685760039580664,97.345,12.809108816567035,113.961,67.385,8.866832375616312,0.518,30.341,28.476,1.865000000000002,310.335,509.767,199.43200000000002,47.283,57.129,130.095,2.176,,,,,,millions,AUD,,,,,
H1 FY2020,552.034,-365.111,186.923,33.86077669129075,72.988,13.22164939116069,85.151,49.669000000000004,8.997453055427746,0.381,-1.9160000000000001,19.265,-21.181,334.181,752.092,417.911,195.96800000000002,116.147,130.095,,,,,,,millions,AUD,,,,,
FY2020,952.244,-631.684,320.56,33.663640831551575,100.93900000000001,10.600119297154933,126.521,66.20100000000001,6.952104712657681,0.505,132.29500000000002,38.376,93.91900000000001,426.40000000000003,644.164,217.764,24.346,128.457,131.09,2.94,,,,,,millions,AUD,,,,,
H1 FY2021,710.958,-462.016,248.942,35.015007918892536,94.60600000000001,13.306833877669288,112.421,64.16,9.024443075399672,0.466,48.147,18.12,30.026999999999997,489.16200000000003,821.159,331.997,35.437,105.372,137.68200000000002,,,,,,,millions,AUD,,,,,
FY2021,1187.659,-773.991,413.668,34.83053637449807,136.43,11.487304015714948,163.298,90.968,7.659437599512992,0.658,124.267,31.115000000000002,93.15199999999999,506.485,770.64,264.15500000000003,38.716,129.907,138.25,6.288,,,,,,millions,AUD,,,,,
H1 FY2022,878.659,-578.66,299.999,34.14282446318766,112.511,12.804853760104887,125.5,77.696,8.842565773525337,0.558,-57.299,17.936,-75.235,584.092,1170.648,586.556,182.28300000000002,178.119,139.24,,,,,,,millions,AUD,,,,,
FY2022,1418.4370000000001,-932.5,485.937,34.25862410526516,156.361,11.023471609948132,186.82500000000002,105.717,7.453062772615209,0.759,-42.153,42.692,-84.845,614.417,1179.152,564.735,222.16400000000002,168.256,139.285,8.307,,,,,,millions,AUD,278.388,605.012,239.877,295.16,1178.56
H1 FY2023,887.9970000000001,-576.731,311.266,35.052595898409564,121.108,13.63833436374222,141.886,78.71900000000001,8.864782200840768,0.558,-52.148,23.806,-75.95400000000001,737.649,1520.085,782.436,406.071,115.199,141.073,,,,,,,millions,AUD,,,,,
FY2023,1478.554,-961.612,516.942,34.96267298996181,172.02100000000002,11.634407671278831,218.163,110.208,7.453769020272508,0.772,90.254,53.243,37.011,769.659,1374.852,605.193,280.494,84.155,142.757,11.92,,,,,,millions,AUD,292.218,701.232,199.33,285.774,1279.224
H1 FY2024,905.832,-573.791,332.041,36.65591412094075,131.011,14.463057167333458,159.238,83.97,9.269930848104284,0.586,81.664,31.37,50.294,825.787,1561.632,735.845,320.686,146.17000000000002,143.293,,,,,,,millions,AUD,155.359,450.278,122.994,177.201,782.838
FY2024,1529.993,-973.0550000000001,556.938,36.40134301268045,185.713,12.138160109229258,245.49800000000002,118.507,7.745590992899968,0.827,302.615,62.119,240.496,848.214,1341.0710000000001,492.857,155.983,137.772,143.309,14.966000000000001,,,,,,millions,AUD,275.358,735.454,193.962,325.219,1336.031
H1 FY2025,997.518,-631.248,366.27,36.71813440960464,144.802,14.516229281075628,177.594,97.515,9.775763444870167,0.678,-23.935000000000002,42.098,-66.033,972.807,1664.267,691.46,248.679,121.622,143.827,,,,,,,millions,AUD,179.749,492.414,119.773,205.582,877.745
FY2025,1696.551,-1076.074,620.477,36.572846911174494,204.566,12.057757179124,271.894,135.854,8.007657889447474,0.944,171.474,100.404,71.07,973.7090000000001,1481.209,507.5,118.464,105.74000000000001,143.84,18.688,,,,,,millions,AUD,303.972,822.232,195.997,374.35,1500.554
H1 FY2026,1098.701,-709.243,389.458,35.447132568369376,145.826,13.272582804602889,182.763,98.221,8.939738837044837,0.68,-6.206,46.117000000000004,-52.32300000000001,1048.013,1797.957,749.944,293.3,176.841,144.442,,,,,,,millions,AUD,,,,,
FY2026,1810.896,-1159.513,651.383,35.97020480469337,207.019,11.431854728267114,284.124,138.127,7.627550118836201,0.955,220.66,90.506,130.154,1058.305,1663.743,605.438,153.421,193.358,144.68,21.924,,,,,,millions,AUD,324.399,879.31,199.128,408.059,1611.768
