Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,RnDExpense
Q1 2018,5327,,2628,49.3,943,,,6566,,1.46,1685,,1465,23224,,,17493,5093,4260,,,millions,USD,925
Q2 2018,5014,,2551,50.9,1201,,,3733,,0.83,2313,,2124,32067,,,17598,8187,4480,,,millions,USD,936
Q3 2018,5063,,2619,51.7,1339,,,1196,,0.27,2247,,2127,27452,,,17604,4136,4410,,,millions,USD,959
Q4 2018,5444,,2935,53.9,1652,,,1115,,0.26,2634,,2634,26657,,,17493,4292,4310,,,millions,USD,948
FY2018,20848,,10733,51.5,5135,,,12610,,2.84,8880,,8245,26657,,,17493,4292,4310,,,millions,USD,3768
Q1 2019,5789,,3208,55.4,555,,,471,,0.11,2132,,2033,23224,,,37641,5093,4190,,,millions,USD,1133
Q2 2019,5517,,3089,56.0,970,,,691,,0.16,2667,,2542,22172,,,37548,5328,4220,,,millions,USD,1151
Q3 2019,5515,,3034,55.0,865,,,715,,0.17,2419,,2307,21503,,,37565,5462,4180,,,millions,USD,1235
Q4 2019,5776,,3152,54.6,1054,,,847,,0.20,2479,,2383,24941,,,32798,5055,4190,,,millions,USD,1177
FY2019,22597,,12483,55.2,3444,,,2724,,0.64,9697,,9265,24941,,,32798,5055,4190,,,millions,USD,4696
Q1 2020,5858,,3264,55.7,714,,,385,,0.07,2322,,2214,24368,,,44718,6444,4200,,,millions,USD,1289
Q2 2020,5742,,3189,55.5,766,,,563,,0.12,3213,,3065,23942,,,45863,9207,4170,,,millions,USD,1269
Q3 2020,5821,,3316,57.0,1008,,,688,,0.15,3178,,3073,23557,,,44023,8857,4220,,,millions,USD,1228
Q4 2020,6467,,3747,57.9,1526,,,1324,,0.31,3348,,3246,23874,,,41062,7618,4210,,,millions,USD,1182
FY2020,23888,,13516,56.6,4014,,,2960,,0.63,12061,,11598,23874,,,41062,7618,4210,,,millions,USD,4968
Q1 2021,6655,,3952,59.4,1837,,,1378,,0.31,3113,,2999,23973,,,41932,9552,4280,,,millions,USD,1211
Q2 2021,6610,,4057,61.4,1975,,,1493,,0.33,3569,,3443,23939,,,40438,9518,4290,,,millions,USD,1238
Q3 2021,6778,,4197,61.9,2126,,,1876,,0.42,3541,,3426,24340,,,40457,11105,4290,,,millions,USD,1205
Q4 2021,7407,,4638,62.6,2581,,,1989,,0.46,3541,,3453,24962,,,39730,12163,4290,,,millions,USD,1200
FY2021,27450,,16844,61.4,8519,,,6736,,1.50,13764,,13321,24962,,,39730,12163,4290,,,millions,USD,4854
Q1 2022,7706,,5049,65.5,3108,,,2472,,0.56,3486,,3385,22968,,,39505,10219,4290,,,millions,USD,1206
Q2 2022,8103,,5439,67.1,3394,,,2590,,0.59,4243,,4158,20963,,,39466,9005,4240,,,millions,USD,1261
Q3 2022,8464,,5681,67.1,3737,,,3074,,0.72,4424,,4308,20876,,,39495,9977,4300,,,millions,USD,1255
Q4 2022,8930,,5926,66.4,3986,,,3359,,0.79,4583,,4461,22709,,,39515,12416,4230,,,millions,USD,1197
FY2022,33203,,22095,66.5,14225,,,11495,,2.65,16736,,16312,22709,,,39515,12416,4230,,,millions,USD,4919
Q1 2023,8915,,6004,67.3,4103,,,3774,,0.88,4036,,3933,23310,,,39282,12647,4290,,,millions,USD,1195
Q2 2023,8733,,6115,70.0,4008,,,3481,,0.82,4502,,4380,22007,,,39311,11553,4270,,,millions,USD,1312
Q3 2023,8876,,6164,69.5,3856,,,3303,,0.77,4719,,4597,22079,,,39341,12055,4270,,,millions,USD,1358
Q4 2023,9295,,6407,68.9,4240,,,3524,,0.83,4828,,4723,23988,,,39229,14189,4270,,,millions,USD,1388
FY2023,35819,,24690,68.9,16207,,,14082,,3.30,18085,,17633,23988,,,39229,14189,4272,,,millions,USD,5253
Q1 2024,11961,,7375,61.7,2083,,,1325,,0.28,4815,,4693,70284,,,75901,11864,4670,,,millions,USD,2308
Q2 2024,12487,,7776,62.3,2965,,,2121,,0.44,4580,,4448,69961,,,74016,9809,4800,,,millions,USD,2415
Q3 2024,13072,,8356,63.9,3788,,,-1875,,-0.40,4963,,4791,65651,,,69959,9952,4663,,,millions,USD,2353
Q4 2024,14054,,9002,64.1,4627,,,4324,,0.91,5604,,5482,67678,,,67566,9348,4780,,,millions,USD,2234
FY2024,51574,,32509,63.0,13463,,,5895,,1.23,19962,,19414,67678,,,67566,9348,4778,,,millions,USD,9310
Q1 2025,14916,,10145,68.0,6260,,,5503,,1.14,6113,,6013,69789,,,66579,9307,4836,,,millions,USD,2253
Q2 2025,15004,,10197,68.0,5829,,,4965,,1.03,6555,,6411,69586,,,67282,9472,4826,,,millions,USD,2693
Q3 2025,15952,,10703,67.1,5887,,,4140,,0.85,7166,,7024,73277,,,64229,10718,4860,,,millions,USD,3050
Q4 2025,18015,,12249,68.0,7508,,,8518,,1.76,7703,,7466,81292,,,65136,16178,4853,,,millions,USD,2981
FY2025,63887,,43294,67.8,25484,,,23126,,4.77,27537,,26914,81292,,,65136,16178,4853,,,millions,USD,10977
Q1 2026,19311,,13157,68.1,8563,,,7349,,1.50,8260,,8010,79872,,,66057,14174,4888,,,millions,USD,2965
Q2 2026,22187,,15415,69.5,10788,,,9310,,1.91,10493,,10262,87691,,,64907,19628,4876,,,millions,USD,2995
