Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,GrossWrittenPremium,NetEarnedPremium
H1 FY2015,,,,,,,,579.0,,0.2408,290.0,,,6817.0,31402.0,24384.0,1762.0,1573.0,2341.0,,,,,,,millions,AUD,,
H1 FY2016,5734.0,,,,,,,466.0,8.1,0.1864,-1082.0,,,6930.0,30263.0,23114.0,1781.0,1497.0,2431.0,,,,,,,millions,AUD,,4102.0
FY2016,11411.0,,,,,,,625.0,5.5,0.2534,-1946.0,,,6563.0,30030.0,23245.0,1962.0,1104.0,2431.0,29.0,,,,,,millions,AUD,11367.0,7528.0
H1 FY2017,5868.0,,,,,,,446.0,7.6,0.1792,469.0,,,6388.0,29266.0,22655.0,1778.0,1284.0,,,,,,,,millions,AUD,,4244.0
FY2017,11692.0,,,,,,,929.0,7.9,0.3772,636.0,,,6562.0,29597.0,22805.0,1624.0,1480.0,2367.0,25.0,,,,,,millions,AUD,11805.0,8465.0
H1 FY2018,5966.0,,,,,,,551.0,9.2,0.226,23.0,,,6598.0,29456.0,22631.0,1608.0,1189.0,,,,,,,,millions,AUD,,4303.0
FY2018,11522.0,,,,,,,923.0,8.0,0.383,-53.0,,,6669.0,29766.0,22825.0,1960.0,1345.0,2367.0,32.0,,,,,,millions,AUD,11647.0,7671.0
H1 FY2019,5984.0,,,,,,,500.0,8.4,0.2048,365.0,,,6110.0,28766.0,22425.0,1976.0,1135.0,,,,,,,,millions,AUD,,3611.0
FY2019,11942.0,,,,,,,1076.0,9.0,0.4458,589.0,,,6404.0,29286.0,22576.0,2080.0,1698.0,2311.0,27.0,,,,,,millions,AUD,12005.0,7238.0
H1 FY2020,6004.0,,,,,,,283.0,4.7,0.1216,183.0,,,6177.0,29053.0,22678.0,1532.0,994.0,,,,,,,,millions,AUD,5861.0,3627.0
FY2020,12014.0,,,,,,,435.0,3.6,0.1849,381.0,,,6077.0,29694.0,23340.0,1526.0,2322.0,2311.0,23.0,,,,,,millions,AUD,11985.0,7238.0
H1 FY2021,6161.0,,,,,,,-460.0,-7.5,-0.1973,800.0,,,6380.0,32360.0,25688.0,1976.0,1930.0,,,,,,,,millions,AUD,6159.0,3693.0
FY2021,12288.0,,,,,,,-427.0,-3.5,-0.1782,1610.0,,,6246.0,33449.0,26893.0,1987.0,2029.0,2465.0,13.0,,,,,,millions,AUD,12545.0,7420.0
H1 FY2022,6515.0,,,,,,,173.0,2.7,0.0664,412.0,,,6144.0,33848.0,27367.0,2023.0,1292.0,,,,,,,,millions,AUD,,3963.0
FY2022,12972.0,,,,,,,347.0,2.7,0.1333,899.0,,,6163.0,34083.0,27583.0,2055.0,938.0,2465.0,15.0,,,,,,millions,AUD,13317.0,7909.0
H1 FY2023,6853.0,,,,,,,489.0,7.1,0.1836,289.0,,,6494.0,34428.0,27609.0,2373.0,1472.0,2460.0,,,,,,,millions,AUD,7061.0,4113.0
FY2023,13838.0,,,,,,,825.0,6.0,0.3195,452.0,,,6653.0,25087.0,18030.0,2139.0,1353.0,2441.0,9.0,,,,,,millions,AUD,14729.0,8326.0
H1 FY2024,7552.0,,,,,,,407.0,5.4,0.1621,805.0,,,6633.0,24956.0,17922.0,2540.0,1682.0,2427.0,,,,,,,millions,AUD,7947.0,
FY2024,15425.0,,,,,,,898.0,5.8,0.3624,1800.0,,,6660.0,25617.0,18500.0,2499.0,1841.0,2407.0,20.0,,,,,,millions,AUD,16400.0,
H1 FY2025,8366.0,,,,,,,778.0,9.3,0.3131,324.0,,,7014.0,25169.0,17713.0,2497.0,1704.0,2366.0,,,,,,,millions,AUD,8426.0,
FY2025,16776.0,,,,,,,1359.0,8.1,0.5614,1352.0,,,7329.0,26309.0,18523.0,2556.0,2253.0,2364.0,48.0,,,,,,millions,AUD,17106.0,
H1 FY2026,9351.0,,,,,,,505.0,5.4,0.2106,31.0,,,7302.0,27646.0,19832.0,2882.0,1374.0,2363.0,,,,,,,millions,AUD,8929.0,
FY2026,18666.0,,,,,,,1022.0,5.5,0.4281,1042.0,,,7232.0,27599.0,19755.0,2868.0,2047.0,2355.0,38.0,,,,,,millions,AUD,18412.0,
