Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,NetIncome,NetMargin,EPS_Diluted,FreeCashFlow,MAU,PremiumSubscribers,ARPU,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding
FY2016,2952,401,13.6,-349,-11.8,-539,-18.3,-3.63,73,124,48,6.20,,1106,755,148.4
FY2017,4090,849,20.8,-378,-9.2,-1235,-30.2,-8.14,109,160,71,5.32,238,944,477,151.7
FY2018,5259,1353,25.7,-43,-0.8,-78,-1.5,-0.51,209,207,96,4.81,2094,,891,177.2
FY2019,6764,1722,25.5,-73,-1.1,-186,-2.7,-1.03,440,271,124,4.72,2037,,1065,181.0
FY2020,7880,2015,25.6,-293,-3.7,-581,-7.4,-3.10,183,345,155,4.31,2805,,1151,187.6
FY2021,9668,2591,26.8,94,1.0,-34,-0.4,-1.03,277,406,180,4.29,2119,1202,2744,193.9
FY2022,11727,2926,24.9,-659,-5.6,-430,-3.7,-2.93,21,489,205,4.52,2401,1128,2483,195.8
FY2023,13247,3397,25.7,-446,-3.4,-532,-4.0,-2.73,678,602,236,4.39,2523,1203,3114,194.7
FY2024,15673,4724,30.1,1365,8.7,1138,7.3,5.50,2285,675,263,4.69,5525,1539,4781,207.0
FY2025,17186,5496,32.0,2198,12.8,2212,12.9,10.51,2874,751,290,,8329,1458,5258,210.5
Q3 2020,1975,489,24.8,-40,-2.0,-101,-5.1,-0.58,,320,144,4.19,,,1182,188.8
Q4 2020,2168,575,26.5,-69,-3.2,-125,-5.8,-0.66,74,345,155,4.26,2805,,1151,189.9
Q1 2021,2147,548,25.5,14,0.7,23,1.1,0.12,41,356,158,4.12,,,2442,190.6
Q2 2021,2331,663,28.4,12,0.5,-20,-0.9,-0.19,34,365,165,4.29,,,2440,191.2
Q3 2021,2501,668,26.7,75,3.0,2,0.1,0.01,99,381,172,4.37,,,2512,194.6
Q4 2021,2689,712,26.5,-7,-0.3,-39,-1.5,-0.21,103,406,180,4.40,2119,1202,2744,192.1
Q1 2022,2661,671,25.2,-6,-0.2,131,4.9,0.68,37,422,188,4.38,,,2721,192.5
Q2 2022,2864,704,24.6,-194,-6.8,-125,-4.4,-0.64,37,433,188,4.54,,,2786,192.9
Q3 2022,3036,750,24.7,-228,-7.5,-166,-5.5,-0.86,35,456,195,4.63,,,2851,193.1
Q4 2022,3166,801,25.3,-231,-7.3,-270,-8.5,-1.40,-73,489,205,4.55,2401,1128,2483,193.2
Q1 2023,3042,766,25.2,-156,-5.1,-225,-7.4,-1.16,57,515,210,4.32,,,2443,193.6
Q2 2023,3177,766,24.1,-247,-7.8,-302,-9.5,-1.55,9,551,220,4.27,,,2618,194.4
Q3 2023,3357,885,26.4,32,1.0,65,1.9,0.33,216,574,226,4.34,,,2618,194.9
Q4 2023,3671,980,26.7,-75,-2.0,-70,-1.9,-0.36,396,602,236,4.60,2523,1203,3114,196.0
Q1 2024,3636,1004,27.6,168,4.6,197,5.4,0.97,207,615,239,4.55,,,3451,203.8
Q2 2024,3807,1112,29.2,266,7.0,274,7.2,1.33,490,626,246,4.62,,,4054,206.1
Q3 2024,3988,1240,31.1,454,11.4,300,7.5,1.45,711,640,252,4.71,,,4688,207.4
Q4 2024,4242,1368,32.2,477,11.2,367,8.6,1.76,877,675,263,4.85,5525,1539,4781,209.0
Q1 2025,4190,1326,31.6,509,12.1,225,5.4,1.07,534,678,268,4.73,6247,,5019,210.2
Q2 2025,4193,1320,31.5,406,9.7,-86,-2.1,-0.42,700,696,276,4.57,6627,,5161,205.4
Q3 2025,4272,1351,31.6,582,13.6,899,21.0,3.28,806,713,281,4.53,,,5456,213.8
Q4 2025,4531,1499,33.1,701,15.5,1174,25.9,4.43,834,751,290,4.70,8329,1458,5258,212.5
