Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2016,280.6,,,,196.3,70.0,232.9,115.8,41.3,9.73,115.5,-57.7,57.8,3070.1,5161.4,2091.3,1776.6,12.2,1190.256177,0.1,,millions,NZD
FY2016,573.9,,,,416.9,72.6,489.9,262.4,45.7,22.05,270.5,-124.4,146.1,3880.7,6141.5,2260.8,1886.9,52.6,1190.267548,1.5,,millions,NZD
H1-2017,310.9,,,,227.4,73.1,264.8,141.8,45.6,11.91,,,,,,,,,,,,millions,NZD
FY2017,629.3,,,,509.0,80.9,586.9,332.9,52.9,27.96,307.1,-247.9,59.2,4029.0,6503.5,2474.5,2056.7,45.1,1192.614174,1.5,,millions,NZD
H1-2018,332.4,,,,259.0,77.9,299.7,165.9,49.9,13.89,147.4,-186.6,-39.2,4102.3,6735.4,2633.1,2249.9,26.3,1197.280786,0.3,,millions,NZD
FY2018,683.9,,,,883.1,129.1,972.0,650.1,95.1,54.31,321.2,-310.3,10.9,5682.1,8196.8,2514.7,2060.3,106.7,1201.875336,0.4,,millions,NZD
H1-2019,370.6,,,,242.7,65.5,292.7,147.2,39.7,12.23,155.1,-153.3,1.8,5725.6,8288.2,2562.6,2147.9,64.8,1206.904472,0.4,,millions,NZD
FY2019,743.4,,,,710.4,95.6,812.6,523.5,70.4,43.4,375.9,-239.1,136.8,6032.9,8697.1,2664.2,2190.4,37.3,1206.269145,0.9,,millions,NZD
H1-2020,374.7,,,,237.5,63.4,292.9,147.2,39.3,12.14,169.0,-120.9,48.1,6078.8,8941.2,2862.4,2375.7,65.2,1214.395263,0.4,,millions,NZD
FY2020,567.0,,,,269.2,47.5,381.9,193.9,34.2,15.16,175.8,-240.5,-64.7,6637.1,9297.2,2660.1,2145.2,765.3,1279.220528,0.6,,millions,NZD
H1-2021,131.5,,,,62.7,47.7,122.0,28.1,21.4,1.91,31.1,-76.2,-45.1,6674.1,9197.6,2523.5,2066.8,682.4,1472.030737,0.2,,millions,NZD
FY2021,281.1,,,,587.2,208.9,711.9,464.2,165.1,31.54,61.0,-200.0,-139.0,7933.5,9782.8,1849.3,1392.8,79.5,1471.999685,0.5,,millions,NZD
H1-2022,126.2,,,,120.1,95.2,173.8,108.8,86.2,7.39,29.6,-142.8,-113.2,8070.2,9898.2,1828.0,1453.8,35.1,1472.182031,0.1,,millions,NZD
FY2022,300.3,,,,223.3,74.4,336.4,191.6,63.8,13.02,101.2,-264.6,-163.4,8150.9,10152.9,2002.0,1476.6,24.7,1472.139301,0.9,,millions,NZD
H1-2023,287.8,,,,29.2,10.1,97.9,4.8,1.7,0.33,140.3,-241.5,-101.2,8173.7,10347.5,2173.8,1611.1,62.8,1472.269601,-0.2,,millions,NZD
FY2023,625.9,,,,106.9,17.1,252.2,43.2,6.9,2.93,325.1,-571.9,-246.8,8377.5,10829.3,2451.8,1817.1,106.2,1472.279341,-0.1,,millions,NZD
H1-2024,440.5,,,,203.2,46.1,287.5,118.7,26.9,8.05,209.1,-577.4,-368.3,8442.9,11343.5,2900.6,2231.4,57.9,1474.122693,0.1,,millions,NZD
FY2024,895.5,,,,415.7,46.4,584.1,5.5,0.6,0.37,496.3,-1077.3,-581.0,8610.1,12416.2,3806.1,2684.7,219.7,1479.78449,0.4,,millions,NZD
H1-2025,499.9,,,,303.9,60.8,403.1,187.3,37.5,12.04,186.6,-597.9,-411.3,10046.8,13592.0,3545.2,2463.4,464.4,1555.079399,0.3,,millions,NZD
FY2025,1004.7,,,,626.5,62.4,827.2,420.7,41.9,25.87,474.3,-1044.4,-570.1,10472.8,14062.6,3589.8,2487.3,567.8,1687.561809,0.6,,millions,NZD
H1-2026,519.6,,,,285.6,55.0,404.2,177.0,34.1,10.38,185.4,-432.3,-246.9,10582.3,14285.1,3702.8,2652.1,360.6,1705.660111,0.4,,millions,NZD
