Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,ShareOfEBITDAF,NetParentSurplus,NetDebt,PortfolioValue,CDCContribution,OneNZContribution,WellingtonAirportContribution,LongroadContribution,RetireAustraliaContribution,ManawaEnergyContribution,QscanContribution,RHCNZContribution
H1-FY2022,,,,,,,,,,,,,,6340.5,,,,,723.0,,,,,265.5,1080.6,622.6,6621.4,38.3,120.4,20.8,13.7,6.3,54.4,18.7,13.6
FY2022,,,,,,,,,,,,,,7679.2,,,,,724.0,,,,,507.0,1169.3,622.6,8301.8,82.2,243.8,37.3,15.1,16.9,83.9,33.9,32.9
H1-FY2023,,,,,,,,,,,,,,8332.7,,,,,724.0,,,,,277.4,350.5,1012.1,9344.8,51.9,128.8,26.5,21.7,10.9,35.7,15.2,26.6
FY2023,,,,,,,,,,,,,,9182.3,,,,,724.0,,,,,533.3,643.1,724.6,9906.9,113.7,263.6,59.1,16.4,6.1,69.9,33.8,54.4
H1-FY2024,,,,,,,,,,,,,,10408.0,,,,,831.9,,6.75,,,399.6,1149.9,2082.7,12490.7,64.3,225.1,33.4,34.6,6.3,39.8,18.2,30.7
FY2024,,,,,,,,,,,,,,11944.3,,,,,832.6,,12.5,,,863.8,769.9,2264.8,14209.1,140.8,545.5,70.7,33.4,12.1,74.1,40.6,58.1
H1-FY2025,,,,,,,,,,,,,,13958.2,,,,,966.5,,7.0,,,478.8,-247.3,1292.6,15250.8,83.7,304.0,41.6,22.1,17.3,23.3,23.8,31.6
FY2025,,,,,,,,,,,,,,16115.9,18303.7,,,,968.1,,14.5,,,917.8,-286.3,2187.8,18303.7,173.9,604.0,86.1,27.3,21.6,46.6,48.7,63.2
H1-FY2026,,,,,,,,,,,,,,15231.6,19038.7,,,,979.6,,,,,499.7,605.7,2622.2,19038.7,99.9,295.3,43.3,51.9,11.6,12.5,26.3,32.8
FY2026,,,,,,,,,,,,,,17419.4,20624.0,,,,999.3,,20.9,,,989.4,549.8,3204.6,20624.0,220.4,607.4,88.1,77.5,20.1,12.5,50.9,63.6
