Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,LeasePrincipalPayments,MinorityInterests,TotalEquity
H1 FY2015,2014.492,,,,261.034,13.0,347.715,174.02,8.6,0.431,251.601,140.347,111.254,,,,,191.671,403.759,,,,,,,millions,AUD,,,
H1 FY2016,2453.304,,,,292.456,11.9,401.627,187.879,7.7,0.459,324.93,209.533,115.397,3547.653,7279.343,3671.785,2735.118,256.43,409.322,-0.127,,,,,,millions,AUD,,59.905,3607.558
H1 FY2017,2476.043,,,,297.905,12.0,409.165,196.727,7.9,0.471,333.244,230.716,102.528,3692.053,7500.428,3720.736,2719.475,324.422,417.679,2.241,,,,,,millions,AUD,,87.639,3779.692
H1 FY2018,2672.703,,,,320.903,12.0,446.57,228.55,8.6,0.541,352.163,156.48,195.683,3949.336,7896.381,3847.019,2843.274,328.677,422.458,2.314,,,,,,millions,AUD,,100.026,4049.362
H1 FY2019,2900.929,,,,341.531,11.8,472.928,222.979,7.7,0.519,368.504,170.235,198.269,4894.95,8939.44,3938.094,2736.603,660.909,429.632,2.483,,,,,,millions,AUD,,106.396,5001.346
FY2019,6133.671,,,,808.32,13.2,1081.464,549.725,9.0,1.221,847.308,386.648,460.66,5412.33,9959.834,4467.968,3035.599,736.646,450.225,3.878,,,,,,millions,AUD,,79.536,5491.866
H1 FY2020,3340.586,,,,403.394,12.1,693.516,254.395,7.6,0.533,534.171,178.163,356.008,5414.875,10827.39,5321.494,2785.758,436.233,477.289,2.574,,,,,,millions,AUD,,91.021,5505.896
FY2020,6831.843,,,,811.914,11.9,1417.782,527.749,7.7,1.106,1360.298,333.092,1027.206,5573.753,12127.13,6462.732,3236.627,1230.149,477.169,6.33,,,,,,millions,AUD,,90.645,5664.398
H1 FY2021,4432.233,,,,995.36,22.5,1308.45,677.635,15.3,1.409,810.478,187.201,623.277,5829.338,11656.621,5732.734,2485.985,856.841,480.933,5.201,,,,,,millions,AUD,,94.549,5923.887
FY2021,8754.123,,,,1921.112,21.9,2562.706,1315.04,15.0,2.731,2042.836,363.192,1679.644,6384.986,11760.991,5256.648,1821.325,899.827,481.523,12.643,,,,,,millions,AUD,,119.357,6504.343
H1 FY2022,4756.529,,,,1208.769,25.4,1540.377,827.665,17.4,1.708,1040.641,174.583,866.058,7053.858,12464.19,5271.542,1789.457,735.329,484.581,6.493,,,,,,millions,AUD,,138.79,7192.648
FY2022,9340.154,,,,2157.024,23.1,2832.441,1460.566,15.6,3.025,2225.821,378.589,1847.232,7273.14,12552.013,5123.839,1576.934,779.997,482.832,17.24,,,,,,millions,AUD,,155.034,7428.174
H1 FY2023,4082.235,,,,578.991,14.2,924.609,382.354,9.4,0.809,785.272,221.322,563.95,7393.863,12536.418,4978.733,1619.636,730.772,472.625,8.748,,,,,,millions,AUD,,163.822,7557.685
FY2023,8168.948,,,,1018.213,12.5,1721.141,684.984,8.4,1.45,1471.033,497.013,974.02,7736.504,13014.629,5092.767,1673.461,797.994,472.403,18.453,,,,,,millions,AUD,,185.358,7921.862
H1 FY2024,4305.646,,,,365.458,8.5,749.122,202.311,4.7,0.426,451.843,291.111,160.732,7712.008,13768.335,5866.108,2547.122,619.613,474.908,12.313,,,,,,millions,AUD,,190.219,7902.227
FY2024,8967.405,,,,881.998,9.8,1659.303,511.094,5.7,1.072,1071.512,579.501,492.011,7917.623,14826.474,6751.349,2987.89,645.001,476.767,27.032,,,,,,millions,AUD,,157.502,8075.125
H1 FY2025,4668.52,,,,435.763,9.3,839.066,236.683,5.1,0.492,620.066,235.342,384.724,8196.018,15377.037,7040.291,3211.413,541.324,481.063,12.15,,,,,,millions,AUD,,140.728,8336.746
FY2025,9645.448,,,,931.374,9.7,1746.739,513.597,5.3,1.067,1296.79,462.695,834.095,8323.498,16053.918,7580.702,3489.218,673.773,481.347,22.536,,,,,,millions,AUD,412.24,149.718,8473.216
H1 FY2026,5445.043,,,,481.046,8.8,915.317,262.487,4.8,0.531,682.012,385.863,296.149,8560.988,17028.242,8305.595,4154.349,557.123,494.326,19.002,,,,,,millions,AUD,,161.659,8722.647
FY2026,10867.37,,,,1027.84,9.5,1896.886,608.293,5.6,1.23,1405.451,735.642,669.809,8338.754,16780.639,8287.339,3718.369,653.695,494.547,30.056,,,,,,millions,AUD,432.732,154.546,8493.3
