Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,OrderBook,OrderBookWithOptions
FY2019,1852.074,-1661.113,190.961,10.3,92.795,5.0,135.001,61.384,3.3,0.173,164.517,43.098,121.419,630.783,1327.301,696.518,173.754,275.665,354.074916,,0.0555,,,,,millions,AUD,,
FY2020,2086.001,-1846.707,239.294,11.5,130.396,6.3,176.139,88.978,4.3,0.247,164.472,18.361,146.111,748.743,1368.108,619.365,175.256,396.667,360.811638,,0.04,,,,,millions,AUD,,
FY2021,1572.175,-1349.61,222.565,14.2,114.619,7.3,160.326,81.057,5.2,0.226,93.464,77.152,16.312,774.038,1449.515,675.477,204.597,346.899,361.519579,,0.08,,,,,millions,AUD,,
FY2022,1429.044,-1198.762,230.282,16.1,120.662,8.4,165.35,79.565,5.6,0.22,37.499,117.096,-79.597,924.285,1689.445,765.16,234.119,240.113,363.204155,,0.08,,,,,millions,AUD,3000.0,
FY2023,1585.034,-1485.93,99.104,6.3,-4.842,-0.3,54.973,-13.774,-0.9,-0.038,86.714,127.324,-40.61,948.818,1927.428,978.61,240.457,179.201,365.1573,,0.07,,,,,millions,AUD,2300.0,11600.0
H1 FY2024,717.657,-624.533,93.124,13.0,32.068,4.5,65.281,12.024,1.7,0.033,33.611,39.686,-6.075,1004.665,,,,173.51,,,,,,,,millions,AUD,,
FY2024,1468.907,-1296.397,172.51,11.7,56.465,3.8,123.741,14.876,1.0,0.041,-13.047,69.916,-82.963,1004.665,2093.227,1088.562,281.058,173.51,365.089615,,0.0,,,,,millions,AUD,,12700.0
H1 FY2025,825.727,-727.779,97.948,11.9,42.698,5.2,79.14,25.113,3.0,0.069,238.324,50.362,187.962,1086.427,2816.708,1730.281,285.277,353.924,,,0.0,,,,,millions,AUD,,
FY2025,1823.337,-1593.416,229.921,12.6,113.354,6.2,186.485,89.733,4.9,0.236,406.322,195.644,210.678,1308.655,2945.295,1636.64,266.989,583.933,384.314984,,0.0,,,,,millions,AUD,,13100.0
H1 FY2026,1109.394,-962.343,147.051,13.3,60.346,5.4,93.922,30.496,2.7,0.072,-62.893,154.724,-217.617,1330.222,3011.162,1680.94,272.795,371.575,422.050221,,,,,,,millions,AUD,,
