Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2015,47.599,,,,,,,17.473,36.708754385596336,6.33,,,,140.289,142.68,2.3910000000000196,0.0,,,,2.2,millions,NZD
FY2016,74.471,,,,,,,27.028,36.293322232815456,9.77,,,,161.795,168.277,6.481999999999999,0.0,,,,3.0,millions,NZD
FY2017,78.63,-32.144,46.486,59.11992878036373,42.524,54.08113951418034,42.524,32.161,40.90169146636144,11.6,25.882,,,186.112,191.706,5.594,0.0,18.774,277.513971,0.0,3.5,millions,NZD
H1-2018,60.192,-23.09,37.102,61.639420520999465,34.652,57.569112174375334,34.652,25.47,42.3145933014354,9.16,1.007,,,202.423,210.628,8.205,0.0,25.814,278.118487,0.0,,millions,NZD
FY2018,85.03,,,,,,,33.641,39.56368340585675,12.1,,,,210.594,217.614,7.02,,7.28,,0.0,3.5,millions,NZD
H1-2019,40.181,-17.725,22.456,55.88711082352356,20.453,50.902167691197334,,15.102,37.58492819989548,5.42,1.357,,,216.472,220.562,4.09,0.017,16.594,278.80558,0.0,,millions,NZD
FY2019,91.61,-40.861,50.749,55.396790743368626,46.401,50.6505839973802,,34.14,37.266673943892584,12.26,17.71,-0.006,17.704,235.51,240.7,5.19,,34.435,278.80558,0.0,3.5,millions,NZD
H1-2020,40.883,-20.004,20.879,51.070126947631046,18.582,45.45165472201159,18.589000000000002,13.741,33.61054717119585,4.91,22.073,-0.006,22.067,240.773,244.039,3.266,0.017,18.85,280.435135,0.0,,millions,NZD
FY2020,88.633,-43.29,45.343,51.15814651427798,40.775,46.0043099071452,40.79,30.099,33.95913485947672,10.75,54.787,-0.006,54.781,257.131,265.005,7.874,0.01,10.111,280.435135,0.0,3.5,millions,NZD
H1-2021,61.181,-30.162,31.019,50.70038083718802,28.502,46.58635850999494,,20.753,33.92066164332064,7.28,43.04,-0.003,43.037,275.869,284.703,8.834,0.035,90.95,287.513023,0.0,,millions,NZD
FY2021,91.893,-44.902,46.991,51.136648058067536,42.811,46.58787938145451,42.897,31.264,34.02217796785392,10.96,4.117,-0.003,4.114,286.38,297.622,11.242,0.029,53.025,287.513023,0.0,3.5,millions,NZD
H1-2022,47.603,-14.05,33.553,70.48505346301704,31.294,65.73955422977544,,22.899,48.10411108543579,7.94,10.802,0.0,10.802,300.591,306.748,6.157,0.024,15.076,288.807697,0.0,,millions,NZD
FY2022,67.098,-20.527,46.571,69.40743390264986,41.661,62.08977912903515,42.22,31.189,46.48275656502429,10.82,11.224,-0.004,11.22,308.881,313.698,4.817,0.084,31.667,288.807697,0.0,3.5,millions,NZD
H1-2023,11.845,-4.372,7.473,63.0899113550021,5.271,44.49978894048121,,5.024,42.41452089489236,1.73,2.495,-0.006,2.4890000000000003,305.286,306.548,1.262,0.073,45.022,290.784833,0.0,,millions,NZD
FY2023,30.779,-10.926,19.853,64.50177068780663,15.197,49.374573572890604,16.171,13.463,43.7408622762273,4.64,-10.309,-0.014,-10.322999999999999,313.725,319.228,5.503,0.096,2.159,290.784833,0.0,3.5,millions,NZD
H1-2024,16.614,-6.292,10.322,62.1283255086072,7.862,47.321536053930416,,2.742,16.504153123871433,0.94,-6.52,0.0,-6.52,307.013,313.461,6.448,0.076,10.703,291.823552,0.0,,millions,NZD
FY2024,49.059,-19.274,29.785,60.71261134552274,24.389,49.71361014288917,24.986,15.381,31.35204549623922,5.28,-8.129,-0.002,-8.131,319.652,328.622,8.97,0.057,32.803,291.823552,0.0,3.5,millions,NZD
H1-2025,13.759,-6.157,7.602,55.25110836543353,4.812,34.97347190929573,,3.565,25.910313249509407,1.22,-12.23,0.0,-12.23,313.677,323.897,10.22,0.041,10.403,292.672296,0.0,,millions,NZD
FY2025,38.117,-17.205,20.912,54.86265970564316,15.035,39.444342419392925,15.633000000000001,11.066,29.031665660991163,3.78,-8.99,-0.025,-9.015,321.178,331.625,10.447,0.056,13.44,292.672296,0.0,1.0,millions,NZD
