Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2018,5.285,,,,-1.037,-19.6216,-0.427,-1.042,-19.7162,-0.09,0.118,0.476,-0.358,3.007,3.888,0.881,0.29,1.134,1107.654,0.0,,millions,NZD
H1-2019,3.049,,,,,,,-0.5,-16.3988,-0.05,-0.166,0.065,-0.231,2.507,3.389,0.882,0.202,0.767,1107.654,0.0,,millions,NZD
FY2019,8.4,,,,0.397,4.7262,0.922,0.381,4.5357,0.03,-0.583,0.13,-0.713,3.421,5.201,1.78,0.829,0.924,1107.654,0.0,,millions,NZD
H1-2020,5.284,,,,,,,0.759,14.3641,0.07,1.843,0.055,1.788,4.18,5.654,1.474,0.152,1.908,1107.654,0.0,,millions,NZD
FY2020,10.642,,,,1.606,15.0911,2.119,1.602,15.0536,0.14,3.197,0.167,3.03,5.056,7.058,2.002,0.128,3.214,1107.654,0.0,,millions,NZD
H1-2021,5.794,,,,,,,1.067,18.4156,0.1,0.478,0.049,0.429,6.123,7.486,1.363,0.106,3.083,1107.654,0.0,,millions,NZD
FY2021,10.613,,,,0.569,5.3613,0.975,0.564,5.3142,0.05,0.589,1.539,-0.95,5.662,7.806,2.144,0.083,2.187,1107.654,0.01,,millions,NZD
H1-2022,3.893,,,,,,,-1.798,-46.1855,-0.14,-1.412,0.088,-1.5,13.017,15.006,1.989,0.06,9.59,1107.654,0.02,,millions,NZD
FY2022,8.965,,,,-2.715,-30.2844,-2.061,-2.707,-30.1952,-0.22,-2.305,0.262,-2.567,12.149,14.141,1.992,0.035,8.519,1273.802,0.027,,millions,NZD
H1-2023,4.29,,,,,,,-1.689,-39.3706,-0.13,0.351,0.04,0.311,10.477,12.436,1.959,0.01,8.754,1273.802,0.017,,millions,NZD
FY2023,10.235,,,,-1.187,-11.5975,-0.617,-1.35,-13.19,-0.11,0.106,0.097,0.009,10.836,12.809,1.973,0.0,8.272,1273.802,0.038,,millions,NZD
H1-2024,4.777,,,,,,,-0.67,-14.0255,-0.05,-0.037,0.264,-0.301,10.165,11.953,1.788,0.0,7.902,1273.802,-0.001,,millions,NZD
FY2024,11.526,,,,0.271,2.3512,0.799,0.646,5.6047,0.05,1.055,0.569,0.486,11.488,12.933,1.445,0.0,8.522,1279.302,0.006,,millions,NZD
H1-2025,5.989,,,,,,,0.229,3.8237,0.02,0.744,0.28,0.464,11.713,13.361,1.648,0.0,8.918,1279.302,-0.004,,millions,NZD
FY2025,12.644,,,,0.436,3.4483,1.005,0.838,6.6276,0.07,1.794,0.483,1.311,12.322,14.296,1.974,0.0,9.656,1279.302,-0.004,,millions,NZD
H1-2026,7.669,,,,,,,0.419,5.4636,0.03,-0.487,0.316,-0.803,12.769,14.767,1.998,0.0,8.75,1279.302,0.0,,millions,NZD
FY2026,14.668,,,,0.437,2.9793,0.9,0.692,4.7178,0.05,-0.595,0.499,-1.094,13.041,14.968,1.927,0.0,8.505,1279.302,0.0,,millions,NZD
