Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,UnderlyingEBITDA,UnderlyingNPAT,ContingentResources2C,DividendsDeclaredPerShare,Production,ReserveLifeYears,Reserves2P
H1 FY2016,271.6,-246.3,25.3,9.3,-624.3,-229.9,,-600.1,-220.9,-0.4609,129.8,128.0,1.8,765.1,1191.8,426.7,145.9,164.0,1860.7,,,,,,,millions,AUD,,,,,,,
FY2016,558.0,-477.8,80.2,14.4,-600.5,-107.6,,-588.8,-105.5,-0.3956,233.4,215.7,17.7,469.8,1276.4,806.6,146.6,180.9,1860.7,0.6,,,,,,millions,AUD,,,,,9.7,,93.0
H1 FY2017,344.4,-240.9,103.5,30.1,103.2,30.0,,103.4,30.0,0.0555,154.3,70.4,83.9,1127.3,1654.6,527.3,147.3,298.2,1873.8,,,,,,,millions,AUD,,,,,,,
FY2017,636.3,-460.5,175.8,27.6,275.6,43.3,444.8,343.5,54.0,0.2076,321.2,160.1,161.1,1515.1,1985.6,470.5,148.0,347.5,1873.8,0.7,,,,,,millions,AUD,,,,,10.6,,86.0
H1 FY2018,385.9,-235.7,150.2,38.9,147.9,38.3,,95.7,24.8,0.0463,174.3,139.7,34.6,1763.7,2142.1,378.4,0.0,552.2,2276.6,,,,,,,millions,AUD,,,,,,,
FY2018,1147.3,-714.4,432.9,37.7,93.8,8.2,406.3,40.3,3.5,0.0916,662.9,320.1,342.8,1789.1,3904.7,2115.6,925.7,193.5,2276.6,1.5,,,,,,millions,AUD,,,,,19.0,,313.0
H1 FY2019,1057.2,-603.1,454.1,43.0,451.7,42.7,,282.9,26.8,0.1242,478.9,186.3,292.6,2114.4,4169.7,2055.3,520.8,204.2,2278.2,,,,,,,millions,AUD,,,,,,,
FY2019,2077.7,-1207.4,870.3,41.9,868.5,41.8,1391.1,577.3,27.8,0.2535,1038.2,479.3,558.9,2374.4,3913.9,1539.5,0.0,171.9,2278.2,2.2,,,,,,millions,AUD,,,,,29.4,11.0,326.0
H1 FY2020,948.3,-550.0,398.3,42.0,405.4,42.8,,278.5,29.4,0.1222,351.4,439.9,-88.5,2631.5,4167.2,1535.7,30.3,95.1,2280.8,,,,,,,millions,AUD,,,,,,,
FY2020,1728.2,-1056.7,671.5,38.9,707.1,40.9,1134.2,500.8,29.0,0.2197,873.9,920.1,-46.2,2819.8,4215.2,1395.4,56.7,109.9,2280.8,3.2,,,,,,millions,AUD,,,,,26.7,12.4,352.0
H1 FY2021,726.3,-498.5,227.8,31.4,187.7,25.8,,128.7,17.7,0.0564,295.8,344.8,-49.0,2923.4,4264.5,1341.1,158.0,113.9,2281.3,,,,,,,millions,AUD,,,,,,,
FY2021,1562.0,-967.1,594.9,38.1,442.3,28.3,847.9,316.5,20.3,0.1388,759.8,673.6,86.2,3087.8,4679.2,1591.4,174.1,126.7,2281.3,2.6,,,,,,millions,AUD,953.0,363.0,191.0,2.0,25.6,13.2,339.0
H1 FY2022,797.4,-481.5,315.9,39.6,309.9,38.9,,212.9,26.7,0.0934,605.4,441.9,163.5,3278.9,4891.7,1612.8,136.8,213.2,2281.3,,,,,,,millions,AUD,,,,,,,
FY2022,1771.4,-995.6,775.8,43.8,730.1,41.2,1087.2,500.8,28.3,0.2197,1223.2,912.8,310.4,3132.5,4934.9,1802.4,87.3,243.3,2281.3,2.1,,,,,,millions,AUD,1111.0,504.3,221.0,2.0,21.8,12.9,283.0
H1 FY2023,827.0,-532.3,294.7,35.6,301.3,36.4,,207.2,25.1,0.0909,404.4,527.8,-123.4,3730.2,5416.3,1686.1,177.8,189.5,2281.3,,,,,,,millions,AUD,,,,,,,
FY2023,1646.4,-1055.6,590.8,35.9,586.3,35.6,978.0,400.8,24.3,0.1758,928.6,1170.6,-242.0,3877.9,5894.9,2017.0,383.3,218.9,2281.3,2.4,,,,,,millions,AUD,982.0,384.8,195.0,4.0,19.5,13.1,255.0
H1 FY2024,953.9,-689.4,264.5,27.7,-475.1,-49.8,,-345.1,-36.2,-0.1514,350.1,603.3,-253.2,3489.0,5793.5,2304.5,698.1,226.0,2281.3,,,,,,,millions,AUD,,,,,,,
FY2024,1797.6,-1294.3,503.3,28.0,-621.1,-34.6,-212.4,-475.3,-26.4,-0.2085,774.1,1093.0,-318.9,3312.5,5499.2,2186.7,752.1,172.0,2281.3,1.2,,,,,,millions,AUD,950.0,341.0,181.0,4.0,18.2,11.3,205.0
H1 FY2025,1043.6,-680.7,362.9,34.8,338.3,32.4,,222.3,21.3,0.0975,659.0,413.6,245.4,3488.7,5732.1,2243.4,638.1,250.7,2281.3,,,,,,,millions,AUD,,,,,,,
FY2025,2106.0,-1419.4,686.6,32.6,-19.8,-0.9,415.5,-43.8,-2.1,-0.0192,1132.5,792.6,339.9,3159.9,5281.7,2121.8,538.7,172.2,2281.3,4.4,,,,,,millions,AUD,1136.0,451.0,179.0,9.0,19.7,8.8,173.0
H1 FY2026,1040.0,-745.7,294.3,28.3,233.4,22.4,,150.2,14.4,0.0659,442.4,377.5,64.9,3168.5,5417.0,2248.5,676.9,235.2,2281.3,,,,,,,millions,AUD,,,,,,,
FY2026,1921.2,-1406.8,514.4,26.8,454.2,23.6,915.4,281.4,14.6,0.1234,889.7,734.2,155.5,3274.2,5407.8,2133.6,596.7,213.0,2281.3,4.6,,,,,,millions,AUD,1040.0,355.0,174.0,3.0,19.4,8.0,156.0
