Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2018,10.967,,,,,,,0.646,5.9,1.1,0.318,-0.52,-0.202,10.124,14.172,4.048,0.0,4.526,,0.0,,millions,NZD
FY2018,24.774,,,,,,,-0.463062,-1.9,,,,,,,,0.0,6.3,,0.0,,millions,NZD
H1-2019,10.543,,,,,,,0.548,5.2,1.02,,-0.156,,11.165,44.934,33.769,0.0,5.196,,0.0,,millions,NZD
FY2019,21.027666,,,,,,,1.236341,5.9,2.18,2.188681,-0.870799,1.318,10.998485,15.116674,4.118189,0.0,5.503473,53.670195,0.0,,millions,NZD
H1-2020,8.151,,,,,,,0.358901,4.4,0.67,,-0.213,,11.593,45.641,34.048,0.0,6.77,50.336863,0.0,,millions,NZD
FY2020,20.458959,,,,,,,0.505478,2.5,0.94,1.331706,-0.512459,0.819,11.173506,45.975232,34.801726,0.0,5.570167,50.336863,0.0,,millions,NZD
H1-2021,9.439,,,,,,,0.404525,4.3,0.8,,-0.136,,10.786,42.606,31.82,0.0,6.763,50.336863,0.0,,millions,NZD
FY2021,18.654439,,,,,,,0.712985,3.8,1.37,3.104134,-0.690933,2.413,10.348304,46.121609,35.773305,0.0,7.114119,50.336863,0.0,,millions,NZD
H1-2022,10.748756,,,,,,,0.552316,5.1,1.1,,-0.482725,,11.463467,40.139156,28.675689,0.0,7.360933,50.336863,0.0,,millions,NZD
FY2022,19.275,,,,,,,0.575869,3.0,,,,,,,,0.0,6.8,50.336863,0.0,,millions,NZD
H1-2023,12.553784,,,,,,,0.581136,4.6,1.15,,-0.377259,,12.418646,39.425095,27.006449,0.0,8.918239,50.336863,0.0,,millions,NZD
FY2023,22.891,,,,,,,0.900418,3.9,,,,,,,,0.0,8.9,50.336863,0.0,,millions,NZD
H1-2024,12.374643,,,,,,,0.438733,3.5,1.06,,-0.106596,,9.26935,32.981217,23.711867,0.0,4.444758,35.235787,0.0,,millions,NZD
FY2024,26.247734,,,,,,,1.327077,5.1,2.64,2.922548,-0.536584,2.386,13.160635,39.782124,26.621489,0.0,9.57116,50.336863,0.0,,millions,NZD
H1-2025,12.282171,,,,,,,0.849595,6.9,2.41,,-0.116187,,10.715698,33.065138,22.34944,0.0,5.650836,35.235787,0.0,,millions,NZD
FY2025,24.055874,,,,,,,1.026779,4.3,2.68,1.659959,-0.286152,1.374,9.862337,32.27055,22.408213,0.0,4.826098,35.235787,0.0,,millions,NZD
FY2026,24.844844,,,,,,,1.968937,7.9,5.59,3.502134,-0.563725,2.938,11.846922,33.380198,21.533276,0.0,6.131307,35.235787,0.0,,millions,NZD
