Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,SubscriptionSolutions,MerchantSolutions
Q1 2020,470.0,,257.0,54.7,-73.2,-15.6,,-31.4,-6.7,-0.27,,,,3040.9,,,,969.4,116.8,,,millions,USD,187.6,282.4
Q1 2021,988.6,,558.7,56.5,118.9,12.0,,1258.4,127.3,9.94,,,135.7,9141.9,,,909.2,2785.6,126.7,,,millions,USD,320.7,668.0
H1 2021,2108.1,,1179.6,55.9,258.3,12.3,,2137.5,101.4,16.83,,,202.1,10120.5,,,909.8,2364.7,127.1,,,millions,USD,654.9,1453.2
Q2 2021,1119.4,,620.9,55.5,139.4,12.5,,879.1,78.5,6.90,,,,10120.5,,,909.8,2364.7,127.5,,,millions,USD,334.2,785.2
FY2022,5599.6,,2752.8,49.2,-3106.6,-55.5,,-3456.5,-61.7,-27.14,,,,8239.0,,,897.5,1649.0,1275.1,,,millions,USD,1478.2,4121.4
9M 2023,4916.0,,2453.0,49.9,-1707.0,-34.7,,-525.0,-10.7,-0.41,,,496.0,8284.0,,,912.0,1287.0,1280.2,,,millions,USD,1312.0,3604.0
Q1 2023,1508.0,,717.0,47.5,-193.0,-12.8,,68.0,4.5,0.05,,,100.0,8457.0,,,911.0,1738.0,1291.7,,,millions,USD,382.0,1126.0
H1 2023,3202.0,,1552.0,48.5,-1829.0,-57.1,,-1243.0,-38.8,-0.97,,,218.0,7463.0,,,912.0,1611.0,1278.7,,,millions,USD,826.0,2376.0
Q2 2023,1694.0,,835.0,49.3,-1636.0,-96.6,,-1311.0,-77.4,-1.02,,,118.0,7463.0,,,912.0,1611.0,1295.8,,,millions,USD,444.0,1250.0
Q3 2023,1714.0,,901.0,52.6,122.0,7.1,,718.0,41.9,0.55,,,278.0,8284.0,,,912.0,1287.0,1295.8,,,millions,USD,486.0,1228.0
Q4 2023,2144.0,,1062.0,49.5,289.0,13.5,,657.0,30.6,0.51,,,446.0,9066.0,,,916.0,1413.0,1288.0,,,millions,USD,525.0,1619.0
FY2023,7060.0,,3515.0,49.8,-1418.0,-20.1,,132.0,1.9,0.10,,,905.0,9066.0,,,916.0,1413.0,1288.0,,,millions,USD,1837.0,5223.0
Q1 2024,1861.0,,957.0,51.4,86.0,4.6,,-273.0,-14.7,-0.21,,,232.0,8893.0,,,916.0,1623.0,1287.4,,,millions,USD,511.0,1350.0
Q2 2024,2045.0,,1045.0,51.1,241.0,11.8,,171.0,8.4,0.13,,,340.0,9172.0,,,917.0,1541.0,1299.9,,,millions,USD,563.0,1482.0
Q3 2024,2162.0,,1118.0,51.7,283.0,13.1,,828.0,38.3,0.64,,,421.0,10118.0,,,917.0,1507.0,1301.6,,,millions,USD,610.0,1552.0
Q4 2024,2812.0,,1352.0,48.1,465.0,16.5,,1293.0,46.0,1.00,,,611.0,11558.0,,,918.0,1498.0,1295.0,,,millions,USD,666.0,2146.0
FY2024,8880.0,,4472.0,50.4,1075.0,12.1,,2019.0,22.7,1.56,,,1597.0,11558.0,,,918.0,1498.0,1295.0,,,millions,USD,2350.0,6530.0
9M 2025,7884.0,,3862.0,49.0,837.0,10.6,,488.0,6.2,0.38,,,1292.0,12511.0,,,920.0,2414.0,1298.0,,,millions,USD,1975.0,5909.0
Q1 2025,2360.0,,1169.0,49.5,203.0,8.6,,-682.0,-28.9,-0.53,,,363.0,11051.0,,,919.0,1309.0,1296.0,,,millions,USD,620.0,1740.0
Q2 2025,2680.0,,1302.0,48.6,291.0,10.9,,906.0,33.8,0.70,,,422.0,12124.0,,,919.0,1542.0,1298.0,,,millions,USD,656.0,2024.0
Q3 2025,2844.0,,1391.0,48.9,343.0,12.1,,264.0,9.3,0.20,,,507.0,12511.0,,,920.0,2414.0,1300.0,,,millions,USD,699.0,2145.0
Q4 2025,3672.0,,1693.0,46.1,631.0,17.2,,743.0,20.2,0.57,,,715.0,13473.0,,,0.0,1545.0,1305.0,,,millions,USD,777.0,2895.0
FY2025,11556.0,,5555.0,48.1,1468.0,12.7,,1231.0,10.7,0.94,,,2007.0,13473.0,,,0.0,1545.0,1305.0,,,millions,USD,2752.0,8804.0
Q1 2026,3170.0,,1546.0,48.8,382.0,12.1,,-581.0,-18.3,-0.45,,,476.0,12501.0,,,0.0,1848.0,1303.0,,,millions,USD,750.0,2420.0
