Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,OperatingExpenses,GrossBookings,MAPCs,Trips,MobilityRevenue,DeliveryRevenue,FreightRevenue,Extra1
FY2022,31877.0,19605.0,12272.0,38.5,-1832.0,,-2673.0,-9141.0,,-4.65,642.0,252.0,,8074.0,32109.0,23605.0,,4208.0,1974.928,1793.0,0.0,,,,,millions,USD,,-115151,131,7637,17850,10904,3323,
Q1 2023,8823.0,5430.0,3393.0,38.5,-262.0,,761.0,-157.0,,-0.08,606.0,57.0,,8253.0,32451.0,23779.0,9552.0,4045.0,2009.557,470.0,,,,,,millions,USD,,28696,130,2125,4814,3055,954,
H1-2023,18053.0,,,,64.0,,,237.0,,0.1,1796.0,107.0,,,,,,,2066.26,974.0,,,,,,millions,USD,,,,,,,,
Q2 2023,9230.0,5671.0,3559.0,38.6,326.0,,916.0,394.0,,0.18,,,,9420.0,34068.0,24240.0,9450.0,4995.0,2079.265,504.0,,,,,,millions,USD,,31860,137,2282,5156,3144,930,
Q3 2023,9292.0,5734.0,3560.0,38.3,394.0,,1092.0,221.0,,0.1,,,,10125.0,35949.0,25430.0,9237.0,4448.0,2108.479,492.0,,,,,,millions,USD,,33646,142,2377,5191,3061,1042,
FY2023,37281.0,22908.0,14373.0,38.6,1110.0,,2782.0,1887.0,,0.87,3585.0,223.0,,12028.0,38699.0,26017.0,9237.0,4680.0,2091.782,1935.0,0.0,,,,,millions,USD,,127202,150,9788,19661,12378,3242,
Q1 2024,10131.0,6168.0,3963.0,39.1,172.0,,1382.0,-654.0,,-0.32,1416.0,57.0,421.0,11848.0,39599.0,27100.0,9202.0,5019.0,2080.168,484.0,,,,,,millions,USD,,36754,150,2423,5581,2880,1670,
H1-2024,20831.0,,,,968.0,,,361.0,,0.15,3236.0,156.0,,,,,,,2151.647,939.0,,,,,,millions,USD,,,,,,,,
Q2 2024,10700.0,6488.0,4212.0,39.4,796.0,,1570.0,1015.0,,0.47,,,1247.0,13152.0,41514.0,27731.0,9139.0,4497.0,2150.019,455.0,,,,,,millions,USD,,39954,156,2555,5999,3057,1645,
Q3 2024,11188.0,6761.0,4427.0,39.6,1061.0,,1690.0,2612.0,,1.2,,,1746.0,15593.0,47117.0,30578.0,9010.0,6150.0,2154.466,438.0,,,,,,millions,USD,,40973,161,2768,6420,3447,1302,
Q4 2024,11959.0,,,,770.0,,,6883.0,,3.21,,,,,,,,,2141.426,,,,,,,millions,USD,,,,,,,,
FY2024,43978.0,26651.0,17327.0,39.4,2799.0,,6484.0,9856.0,,4.56,7137.0,242.0,6895.0,21558.0,51244.0,28768.0,9010.0,5893.0,2150.508,1796.0,0.0,,,,,millions,USD,,162773,171,11273,24601,12822,6368,
Q1 2025,11533.0,6937.0,4596.0,39.9,1228.0,,1868.0,1776.0,,0.83,2324.0,74.0,2250.0,22812.0,52822.0,29917.0,9500.0,5132.0,2122.618,435.0,,,,,,millions,USD,,42818,170,3036,6496,3777,1260,
H1-2025,24184.0,,,,2678.0,,,3131.0,,1.46,4888.0,163.0,,,,,,,2124.181,910.0,,,,,,millions,USD,,,,,,,,
Q2 2025,12651.0,7611.0,5040.0,39.8,1450.0,,2119.0,1355.0,,0.63,,,2475.0,23447.0,55982.0,32352.0,10728.0,6438.0,2125.628,475.0,,,,,,millions,USD,,46756,180,3268,7288,4102,1261,
Q3 2025,13467.0,8109.0,5358.0,39.8,1113.0,,2256.0,6626.0,,3.11,,,2230.0,28134.0,63344.0,34189.0,11765.0,8432.0,2124.391,465.0,,,,,,millions,USD,,49740,189,3512,7682,4477,1308,
Q4 2025,14366.0,8681.0,5685.0,39.6,1774.0,,2487.0,296.0,,0.16,,,2808.0,27041.0,,,10521.0,7105.0,2068.0,,,,,,,millions,USD,,54140,202,3528,8204,4892,1270,
FY2025,52017.0,31338.0,20679.0,39.8,5565.0,,8730.0,10053.0,,4.73,10099.0,336.0,9763.0,27041.0,61802.0,33719.0,10521.0,7105.0,2119.689,1826.0,0.0,,,,,millions,USD,,193454,202,13567,29670,17248,5099,
Q1 2026,13203.0,7258.0,5945.0,45.0,1923.0,,,263.0,,0.13,2351.0,65.0,2286.0,24751.0,59885.0,34073.0,10514.0,5558.0,2071.391,473.0,,,,,,millions,USD,,53720,199,3643,6798,5068,1337,
Q2 2026,14191.0,,,,1890.0,,,2394.0,,1.17,5213.0,135.0,5078.0,,,,12723.0,4870.0,2042.56,,,,,,,millions,USD,,,,,,,,
