Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2015,304.7,,,,114.4,37.5,121.6,97.3,31.9,2.09,,-6.5,,246.5,4599.5,4353.0,,1.9,46.5,,1.5,millions,EUR
H1-2016,132.5,,,,59.3,44.8,65.2,51.9,39.2,1.12,,-4.5,,252.2,5962.4,5710.2,,2.7,46.5,,0.55,millions,EUR
FY2016,250.0,,,,109.6,43.8,118.7,91.9,36.8,1.98,79.5,-9.0,70.5,270.1,5789.7,5519.6,,2.7,46.5,,1.25,millions,EUR
H1-2017,95.0,,,,31.8,33.5,32.0,26.1,27.5,0.56,,-5.8,,258.2,4106.6,3848.4,,5.3,46.5,,0.3,millions,EUR
FY2017,166.0,,,,48.3,29.1,56.0,39.6,23.9,0.85,63.0,-12.3,50.7,254.1,5919.8,5665.7,,5.9,46.5,,0.65,millions,EUR
H1-2018,266.9,,,,149.1,55.9,140.5,126.8,47.5,2.73,,,,368.1,6702.7,6334.6,,5.3,46.5,,1.35,millions,EUR
FY2018,383.4,,,,190.5,49.7,199.8,160.9,42.0,3.46,86.4,-7.4,79.0,341.1,6780.2,6439.1,,10.1,46.5,0.0,2.35,millions,EUR
H1-2019,117.0,,,,40.4,34.5,47.7,33.0,28.2,0.71,56.9,-6.6,50.3,327.7,6312.6,5984.9,,10.4,46.5,,0.35,millions,EUR
FY2019,216.4,,,,64.2,29.7,78.9,53.1,24.5,1.15,79.2,-12.2,67.0,331.1,6755.6,6424.5,,5.7,46.5,0.24,0.9,millions,EUR
H1-2020,724.8,,,,457.1,63.1,464.3,375.3,51.8,8.25,61.9,-2.8,59.1,656.1,8696.0,8039.9,,3.3,45.1,,4.0,millions,EUR
Q2 2020,229.9,,,,137.0,,140.6,113.0,,2.51,,,,,8696.0,,,3.3,45.1,,,millions,EUR
Q3 2020,78.3,,,,28.4,,31.9,23.0,,0.51,,,,,,,,,45.1,,,millions,EUR
Q4 2020,130.3,,,,86.3,,90.5,66.2,,1.47,,,,589.9,8448.4,7858.5,,8.3,44.7,,,millions,EUR
FY2020,933.4,,,,571.9,61.3,586.7,464.5,49.8,10.26,271.3,-6.5,264.8,589.9,8448.4,7858.5,,8.3,44.7,51.5,6.5,millions,EUR
Q1 2021,142.2,,,,75.5,,79.3,61.6,,1.39,,,,,,,,,44.3,,,millions,EUR
H1-2021,236.6,,,,137.0,57.9,119.6,90.2,38.1,2.05,168.3,-1.1,167.2,526.2,13842.1,13315.9,,5.4,44.0,,1.0,millions,EUR
FY2021,384.0,,,,144.7,37.4,159.4,114.9,29.7,2.63,,,,508.2,10823.7,10315.5,,4.9,46.5,32.8,1.35,millions,EUR
H1-2022,232.1,,,,85.2,36.3,88.4,63.5,27.1,1.46,24.6,-3.7,20.9,582.1,14813.5,14231.4,,4.7,43.5,15.7,0.7,millions,EUR
FY2022,460.2,,,,162.4,35.4,179.3,126.8,27.6,2.92,93.8,-7.4,86.4,606.3,11104.7,10498.4,0.0,8.6,42.8,36.8,1.5,millions,EUR
H1-2023,160.0,,,,33.7,20.8,43.4,23.5,14.5,0.54,46.8,-4.9,41.9,586.0,13987.0,13401.0,,5.4,43.1,9.9,0.3,millions,EUR
Q4 2023,72.7,,,,7.4,10.0,11.8,6.4,8.6,0.15,,,,585.8,13917.2,13331.4,0.0,5.7,43.2,,,millions,EUR
FY2023,300.3,,,,49.2,16.2,67.5,36.2,11.9,0.84,,,,585.8,13917.2,13331.4,0.0,5.7,43.1,18.7,0.45,millions,EUR
Q1 2024,127.1,,,,56.4,43.5,61.1,45.9,35.4,1.06,,,,,,,,,43.5,,,millions,EUR
