Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,DividendsPaid,DividendsPerShare,MobileServiceRevenue,BroadbandRevenue,MobileConnections,BroadbandConnections,IoTConnections
FY2019,3718.0,,,,,,1151.0,410.0,11.0,21.6,,410.0,433.0,1465.0,4095.0,2630.0,1347.0,46.0,1870.0,,,,,467.0,25.0,899.0,639.0,2366.0,702.0,
FY2020,3744.0,,,,,,1043.0,381.0,10.2,20.4,,515.0,382.0,1420.0,4276.0,2856.0,1316.0,15.0,1870.0,,,,,467.0,25.0,920.0,627.0,2485.0,702.0,
FY2021,3722.0,,,,,,1050.0,418.0,11.2,22.3,,515.0,433.0,1437.0,4195.0,2758.0,1303.0,5.0,1870.0,,,,,467.0,25.0,930.0,639.0,2514.0,702.0,
H1 2022,1890.0,,,,,,538.0,179.0,,9.6,,218.0,183.0,1493.0,4347.0,2854.0,1313.0,12.0,1870.0,,,,,,12.5,441.0,324.0,2615.0,702.0,623.0
FY2022,3718.0,,,,,,1150.0,410.0,11.0,21.9,,410.0,433.0,1493.0,4347.0,2854.0,1313.0,15.0,1873.0,,,,,467.0,25.0,900.0,639.0,2690.0,702.0,1200.0
H1 2023,1950.0,,,,,,510.0,165.0,,8.8,,250.0,115.0,2061.0,4566.0,2505.0,810.0,190.0,1873.0,,,,,,13.5,480.0,313.0,2693.0,702.0,1460.0
FY2023,3908.0,,,,,,1193.0,433.0,11.1,23.2,,515.0,489.0,2061.0,4566.0,2505.0,1049.0,24.0,1873.0,,,,,506.0,27.0,980.0,626.0,2714.0,702.0,1800.0
H1 2024,1976.0,,,,,,530.0,157.0,,8.4,,286.0,46.0,1475.0,4189.0,2714.0,1564.0,23.0,1873.0,,,,,,13.5,510.0,309.0,2688.0,702.0,1800.0
FY2024,3861.0,,,,,,1163.0,342.0,8.9,18.7,,518.0,330.0,1475.0,4189.0,2714.0,1638.0,19.0,1873.0,,,,,506.0,27.5,1010.0,613.0,2690.0,702.0,2050.0
H1 2025,1939.0,,,,,,448.0,56.0,,3.1,,252.0,77.0,1485.0,4293.0,2808.0,1799.0,61.0,1820.0,,,,,,12.5,491.0,302.0,2629.0,673.0,2200.0
FY2025,3700.0,,,,,,1060.0,227.0,6.1,12.4,,429.0,330.0,1485.0,4293.0,2808.0,1795.0,65.0,1820.0,,,,,458.0,25.0,987.0,608.0,2629.0,673.0,2380.0
H1 2026,1917.0,,,,,,448.0,64.0,,3.4,603.0,217.0,107.0,1354.0,4381.0,3027.0,1481.0,85.0,1890.0,,,,,236.0,8.0,499.0,303.0,2588.0,673.0,
