Period,Revenue,NetIncome,NetMargin,EPS_Diluted,OperatingCashFlow,CapEx,FreeCashFlow,FCFA2S,AdjEBITA,MaintenanceRevenue,LicenseRevenue,ProfServicesRevenue,HardwareRevenue,TotalAssets,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,Notes
Q1 2015,422.9,32.9,7.8,1.55,112.6,2.1,110.5,,93.4,268.8,30.3,92.7,31.0,,,,131.8,21.192,USD millions; all figures in USD; CFO=operating CF; CapEx=property purchased
Q2 2015,443.5,32.7,7.4,1.54,64.2,3.4,60.8,,99.0,,,,,,,,,21.192,Q2 CFO = H1 176.8 minus Q1 112.6
Q3 2015,460.4,45.7,9.9,2.16,105.1,2.8,102.3,,120.3,,,,,,,,,21.192,Q3 CFO = 9M 281.9 minus H1 176.8
Q4 2015,511.6,66.0,12.9,3.11,114.0,4.6,109.4,,132.8,,,,,1639.3,337.3,355.1,178.5,21.192,Q4 CFO = FY 395.9 minus 9M 281.9; Q4 CapEx = FY 12.9 minus 9M 8.3
FY2015,1838.3,177.2,9.6,8.36,395.9,12.9,383.0,,445.5,1169.8,131.0,384.6,152.9,1639.3,337.3,355.1,178.5,21.192,Full year; Debt=CNH Facility 135.1 + Debentures 220.0
Q1 2016,487.0,18.7,3.8,0.88,146.5,3.2,143.3,,107.5,,,,,,,,,21.192,
Q2 2016,528.7,55.0,10.4,2.60,72.8,6.5,66.3,,130.7,,,,,,,,,21.192,Q2 CFO = H1 219.3 minus Q1 146.5
Q3 2016,545.6,67.5,12.4,3.18,137.9,3.9,134.0,,140.7,,,,,,,,,21.192,Q3 CFO = 9M 357.2 minus H1 219.3
Q4 2016,563.8,65.7,11.7,3.10,133.7,5.5,128.2,,151.4,,,,,1883.5,457.5,344.0,353.5,21.192,Q4 CFO = FY 490.9 minus 9M 357.2; Debt=CNH 115.3+Deb 224.0+TSS 54.1 (excl TSS)=339
FY2016,2125.1,206.8,9.7,9.76,490.9,19.1,471.8,,530.0,1400.3,142.5,434.5,147.8,1883.5,457.5,344.0,353.5,21.192,Full year; Debt=CNH Facility 115.3 + Debentures 223.9
Q1 2017,555.3,40.4,7.3,1.91,182.0,4.4,177.6,,130.6,,,,,,,,,21.192,
Q2 2017,600.1,51.2,8.5,2.41,60.4,4.5,55.9,,154.6,,,,,,,,,21.192,Q2 CFO = H1 242.4 minus Q1 182.0
Q3 2017,636.5,54.3,8.5,2.56,122.8,5.5,117.3,,161.6,,,,,,,,,21.192,Q3 CFO = 9M 365.2 minus H1 242.4
Q4 2017,687.6,76.1,11.1,3.59,162.6,5.3,157.3,,174.5,,,,,2288.2,604.1,323.1,489.0,21.192,Q4 CFO = FY 527.8 minus 9M 365.2; Debt=TSS Memb 86.6 + Deb 236.5
FY2017,2479.4,222.0,9.0,10.47,527.8,19.7,508.1,,621.2,1643.2,170.4,498.2,167.6,2288.2,604.1,323.1,489.0,21.192,Full year; Debt=TSS Membership 86.6 + Debentures 236.5
Q1 2018,718.5,82.5,11.5,3.90,258.0,4.4,253.6,,158.6,,,,,,,,,21.192,FCFA2S not yet reported in early 2018 format
Q2 2018,752.0,52.0,6.9,2.45,53.0,4.5,48.5,,175.4,,,,,,,,,21.192,
Q3 2018,759.1,65.7,8.7,3.10,143.0,5.5,137.5,,196.6,,,,,,,,,21.192,
Q4 2018,830.5,179.0,21.5,8.45,208.0,10.9,197.1,178.0,226.1,2071.6,198.3,615.6,174.6,2935.4,866.1,389.0,588.6,21.192,Q4 FCFA2S from Q4-2019 quarterly table; Debt=TSS 174+Deb 214.7=389
FY2018,3060.1,379.3,12.4,17.90,662.0,25.3,636.7,559.0,756.7,2071.6,198.3,615.6,174.6,2935.4,866.1,389.0,588.6,21.192,Full year; FCFA2S from Q4-2019 report; Debt=TSS Memb+Debentures
Q1 2019,819.0,87.0,10.6,4.09,284.0,7.0,277.0,250.0,,,,,,,,,21.192,
Q2 2019,846.0,73.0,8.6,3.45,50.0,8.0,42.0,12.0,,,,,,,,,21.192,
Q3 2019,870.0,82.0,9.4,3.85,177.0,9.0,168.0,134.0,,,,,,,,,21.192,
Q4 2019,956.0,92.0,9.6,4.34,255.0,10.0,245.0,193.0,,2417.0,226.0,673.0,173.0,3488.0,687.0,715.0,316.0,21.192,Debt: CSI WR 153+136+222=511; Deb WR 102; Lease 187; Total~715 (post-IFRS 16)
FY2019,3490.0,333.0,9.5,15.73,767.0,34.0,733.0,590.0,,2417.0,226.0,673.0,173.0,3488.0,687.0,715.0,316.0,21.192,Full year; net income total (pre-NCI split); IFRS 16 adopted Jan 2019
Q1 2020,953.0,83.0,8.7,3.91,361.0,5.0,356.0,311.0,,,,,,,,,21.192,
Q2 2020,922.0,83.0,9.0,3.90,237.0,6.0,231.0,190.0,,,,,,,,,21.192,
Q3 2020,1003.0,122.0,12.2,5.78,234.0,8.0,226.0,181.0,,,,,,,,,21.192,
Q4 2020,1091.0,149.0,13.7,7.02,355.0,6.0,349.0,307.0,,,,,4375.0,1048.0,761.0,758.0,21.192,Debt: TSS 198+Deb 223+CSI current 113+WR 28+WR NC 199+CSI NC 421 approx
FY2020,3969.0,436.0,11.0,20.59,1186.0,25.0,1161.0,989.0,,,,,4375.0,1048.0,761.0,758.0,21.192,Full year; Debt approx from balance sheet current+non-current financial debt
Q1 2021,1176.0,-9.0,-0.8,-0.41,495.0,9.0,486.0,269.0,,,,,,,,,21.192,Net income = CSI common shareholders; NCI loss large in 2021 due to Topicus spinout
Q2 2021,1249.0,88.0,7.0,4.16,171.0,8.0,163.0,145.0,,,,,,,,,21.192,
Q3 2021,1299.0,107.0,8.2,5.04,292.0,6.0,286.0,226.0,,,,,,,,,21.192,
Q4 2021,1383.0,124.0,9.0,5.86,341.0,6.0,335.0,244.0,,,,,5766.0,1521.0,1125.0,763.0,21.192,Debt: CSI (143c+561nc)=704; WR (60c+354nc)=414; Rdm Pref 7; Total=1125
FY2021,5106.0,310.0,6.1,14.65,1300.0,29.0,1271.0,883.0,,,,,5766.0,1521.0,1125.0,763.0,21.192,Net income=CSI common shareholders; Redeemable pref 295 charge impacts NCI
Q1 2022,1431.0,98.0,6.9,4.63,498.0,8.0,490.0,324.0,,,,,,,,,21.192,
Q2 2022,1618.0,126.0,7.8,5.94,78.0,11.0,67.0,12.0,,,,,,,,,21.192,
Q3 2022,1725.0,136.0,7.9,6.42,321.0,11.0,310.0,229.0,,,,,,,,,21.192,
Q4 2022,1847.0,152.0,8.2,7.19,400.0,11.0,389.0,290.0,,,,,7882.0,1933.0,1974.0,811.0,21.192,Debt: CSI (505c+567nc)=1072; WR (316c+586nc)=902; Total=1974
FY2022,6622.0,512.0,7.7,24.18,1297.0,41.0,1256.0,853.0,,,,,7882.0,1933.0,1974.0,811.0,21.192,Full year; CSI shareholders net income
Q1 2023,1919.0,94.0,4.9,4.44,632.0,9.0,623.0,453.0,,,,,,,,,21.192,
Q2 2023,2039.0,103.0,5.1,4.88,123.0,11.0,112.0,14.0,,,,,,,,,21.192,
Q3 2023,2126.0,227.0,10.7,10.70,513.0,9.0,504.0,367.0,,,,,,,,,21.192,Net income restated to include $50M bargain purchase gain for Q3 2023
Q4 2023,2323.0,141.0,6.1,6.64,511.0,13.0,498.0,325.0,,,,,10899.0,1961.0,4148.0,1284.0,21.192,Debt: CSI (861c+863nc)=1724; WR (225c+1385nc)=1610; Rdm Pref 814; Total=4148
FY2023,8407.0,565.0,6.7,26.67,1779.0,42.0,1737.0,1160.0,,,,,10899.0,1961.0,4148.0,1284.0,21.192,Full year; large jump in debt due to Topicus/Lumine redeemable pref 814
