Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2018,499.0,,,,,,361.0,47.0,9.418837675350701,,,,,,,,,40.0,,,0.09,millions,NZD
FY2018,990.0,,,,266.0,26.86868686868687,653.0,85.0,8.585858585858585,0.2,508.0,766.0,-258.0,1022.0,4926.0,3904.0,1807.0,50.0,429.6,0.268,0.22,millions,NZD
H1-2019,489.0,,,,,,318.0,30.0,6.134969325153374,,,,,,,,,,,,0.095,millions,NZD
FY2019,970.0,,,,243.0,25.051546391752577,636.0,53.0,5.463917525773196,0.12,496.0,806.0,-310.0,979.0,5618.0,4639.0,2232.0,273.0,439.3,0.334,0.23,millions,NZD
H1-2020,483.0,,,,134.0,27.74327122153209,332.0,31.0,6.418219461697723,,,,,,,,,678.0,,,0.1,millions,NZD
FY2020,959.0,,,,246.0,25.651720542231494,648.0,52.0,5.422314911366007,0.12,474.0,679.0,-205.0,927.0,5642.0,4715.0,2322.0,0.0,444.5,0.392,0.24,millions,NZD
H1-2021,473.0,,,,114.0,24.101479915433405,323.0,24.0,5.07399577167019,,,,,,,,,268.0,,,0.105,millions,NZD
FY2021,955.0,,,,230.0,24.083769633507853,657.0,51.0,5.340314136125655,0.11,544.0,647.0,-103.0,989.0,5860.0,4871.0,2373.0,53.0,446.0,0.468,0.25,millions,NZD
H1-2022,483.0,,,,,,347.0,42.0,8.695652173913043,,,,,,,,,84.0,,,0.14,millions,NZD
FY2022,965.0,,,,248.0,25.699481865284973,675.0,64.0,6.632124352331606,0.14,570.0,518.0,52.0,1029.0,5846.0,4817.0,2322.0,88.0,446.5,0.527,0.35,millions,NZD
H1-2023,487.0,,,,,,342.0,9.0,1.8480492813141685,,,,,,,,,,,,0.17,millions,NZD
FY2023,980.0,,,,226.0,23.06122448979592,672.0,25.0,2.5510204081632653,0.06,524.0,495.0,29.0,1063.0,6165.0,5102.0,2528.0,76.0,443.0,1.638,0.425,millions,NZD
H1-2024,503.0,,,,,,347.0,5.0,0.9940357852882704,,,,,,,,,87.0,,,0.19,millions,NZD
FY2024,1010.0,,,,238.0,23.564356435643564,700.0,-9.0,-0.891089108910891,-0.02,513.0,442.0,71.0,841.0,6012.0,5171.0,2626.0,45.0,433.9,0.0,0.475,millions,NZD
H1-2025,500.0,,,,111.0,22.2,346.0,-5.0,-1.0,-0.02,257.0,193.0,64.0,662.0,6054.0,5392.0,2887.0,83.0,435.0,1.417,0.23,millions,NZD
FY2025,1014.0,,,,231.0,22.781065088757398,705.0,4.0,0.39447731755424065,0.01,559.0,397.0,162.0,567.0,6088.0,5521.0,3138.0,81.0,435.0,0.0,0.575,millions,NZD
H1-2026,506.0,,,,141.0,27.865612648221344,357.0,15.0,2.9644268774703555,0.03,228.0,163.0,65.0,430.0,6135.0,5705.0,3336.0,161.0,445.0,0.354,0.24,millions,NZD
