Date,Close
2016-09-30,20.5417
2016-10-31,21.7349
2016-11-30,22.3136
2016-12-31,23.7205
2017-01-31,22.2602
2017-02-28,21.4054
2017-03-31,21.1205
2017-04-30,21.2807
2017-05-31,20.7287
2017-06-30,23.017
2017-07-31,24.3794
2017-08-31,22.9547
2017-09-30,23.6314
2017-10-31,24.3081
2017-11-30,26.3294
2017-12-31,26.8903
2018-01-31,27.1574
2018-02-28,25.1184
2018-03-31,27.5581
2018-04-30,29.1965
2018-05-31,30.1937
2018-06-30,31.0396
2018-07-31,29.5704
2018-08-31,30.8348
2018-09-30,28.68
2018-10-31,27.3266
2018-11-30,30.4787
2018-12-31,31.0129
2019-01-31,33.1499
2019-02-28,34.2718
2019-03-31,33.3012
2019-04-30,33.6218
2019-05-31,36.6492
2019-06-30,36.293
2019-07-31,32.3129
2019-08-31,32.6958
2019-09-30,32.0102
2019-10-31,34.0403
2019-11-30,34.6547
2019-12-31,35.0821
2020-01-31,29.9177
2020-02-29,25.804
2020-03-31,28.8047
2020-04-30,30.8437
2020-05-31,31.8944
2020-06-30,32.7225
2020-07-31,33.7554
2020-08-31,31.6985
2020-09-30,30.078
2020-10-31,33.8978
2020-11-30,37.78
2020-12-31,38.7862
2021-01-31,43.7457
2021-02-28,40.3355
2021-03-31,42.4724
2021-04-30,42.606
2021-05-31,43.2471
2021-06-30,47.6279
2021-07-31,40.6115
2021-08-31,33.4882
2021-09-30,32.5711
2021-10-31,35.0554
2021-11-30,36.9519
2021-12-31,41.2704
2022-01-31,41.5464
2022-02-28,46.0786
2022-03-31,42.7485
2022-04-30,44.61
2022-05-31,41.25
2022-06-30,38.68
2022-07-31,40.6
2022-08-31,38.52
2022-09-30,37.36
2022-10-31,45.52
2022-11-30,45.63
2022-12-31,49.38
2023-01-31,45.2
2023-02-28,47.23
2023-03-31,44.4
2023-04-30,42.02
2023-05-31,44.99
2023-06-30,46.01
2023-07-31,44.85
2023-08-31,44.25
2023-09-30,44.5
2023-10-31,46.3
2023-11-30,50.41
2023-12-31,47.27
2024-01-31,43.93
2024-02-29,44.27
2024-03-31,43.03
2024-04-30,44.51
2024-05-31,42.68
2024-06-30,42.3
2024-07-31,40.77
2024-08-31,45.96
2024-09-30,42.64
2024-10-31,40.57
2024-11-30,39.55
2024-12-31,39.95
2025-01-31,39.04
2025-02-28,38.2
2025-03-31,38.19
2025-04-30,38.25
2025-05-31,36.75
2025-06-30,39.25
2025-07-31,43.19
2025-08-31,42.53
2025-09-30,43.45
2025-10-31,41.67
2025-11-30,45.49
2025-12-31,50.57
2026-01-31,58.41
2026-02-28,50.39
2026-03-31,53.72
2026-04-30,62.31
2026-05-31,59.4
2026-06-30,60.31
2026-07-31,66.23
2026-08-31,61.05
2026-09-21,60.78
