Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NetTangibleAssetsPerShare,BookValuePerShare,CET1Ratio,DividendPayoutRatio,NIM,NetInterestIncome,NonInterestIncome,ROE,ROTE,SpecialDividendPerShare
FY2023,21645.0,,,,10305.0,,,7195.0,33.24,2.053,-10796.0,1379.0,-12175.0,72495.0,1014198.0,943689.0,189749.0,102522.0,3502.0,90.0,1.42,,,,,millions,AUD,,,,69.2,1.9,18317.0,3328.0,10.09,11.39,
FY2024,21588.0,,,,10107.0,,,6990.0,32.38,2.009,-19767.0,1017.0,-20784.0,71705.0,1077544.0,1005492.0,207167.0,65667.0,3476.0,97.0,1.51,,,,,millions,AUD,,,,74.62,1.95,18753.0,2835.0,9.77,11.01,0.15
H1 FY2025,10793.0,,,,4845.0,,,3317.0,30.73,0.967,11969.0,489.0,11480.0,72015.0,1098893.0,1026540.0,212567.0,58352.0,3416.0,54.0,0.76,,,,,millions,AUD,17.97,21.03,12.24,78.38,1.92,9351.0,1442.0,9.42,10.63,
FY2025,22384.0,,,,10044.0,,,6916.0,30.9,2.019,9489.0,1147.0,8342.0,72766.0,1125356.0,1052263.0,211374.0,50430.0,3422.0,95.0,1.53,,,,,millions,AUD,18.25,21.27,12.53,73.14,1.94,19380.0,3004.0,9.66,11.13,
H1 FY2026,11293.0,,,,4913.0,,,3414.0,30.23,0.999,-6679.0,427.0,-7106.0,70761.0,1172583.0,1101512.0,225709.0,53491.0,3415.0,58.0,0.77,,,,,millions,AUD,17.73,20.69,12.42,77.09,1.89,9771.0,1522.0,9.58,10.79,
